system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,12.0,26.0,1.0,94.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,11.0,3.0,454.0,20190216T102111_20190216T102131_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
1,65.0,1.0,14.0,26.0,1.0,91.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,11.0,3.0,452.0,20190216T102111_20190216T102131_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
2,96.0,147.0,71.0,44.0,158.0,213.0,117.0,112.0,80.0,81.0,81.0,82.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,22.0,12.0,2035.0,20190726T102031_20190726T102028_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
3,65.0,13.0,13.0,27.0,60.0,137.0,39.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,14.0,4.0,397.0,20190216T102111_20190216T102131_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
4,96.0,156.0,73.0,45.0,160.0,213.0,121.0,113.0,83.0,82.0,83.0,84.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,22.0,13.0,2024.0,20190726T102031_20190726T102028_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
5,132.0,144.0,60.0,40.0,145.0,192.0,101.0,83.0,32.0,31.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,20.0,11.0,2079.0,20190726T102031_20190726T102028_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
6,65.0,17.0,15.0,27.0,55.0,134.0,37.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,15.0,4.0,394.0,20190216T102111_20190216T102131_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
7,138.0,141.0,58.0,38.0,133.0,186.0,93.0,74.0,16.0,19.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,20.0,11.0,2115.0,20190726T102031_20190726T102028_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
8,107.0,315.0,83.0,71.0,304.0,359.0,229.0,210.0,195.0,195.0,175.0,154.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,37.0,24.0,682.0,20190407T102021_20190407T102458_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
9,113.0,303.0,79.0,72.0,288.0,351.0,224.0,209.0,195.0,185.0,167.0,150.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,36.0,24.0,699.0,20190407T102021_20190407T102458_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
10,77.0,270.0,74.0,65.0,322.0,349.0,189.0,181.0,130.0,133.0,122.0,108.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,36.0,20.0,772.0,20190419T101029_20190419T101030_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
