system:index,AOT_RETRIEVAL_ACCURACY,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,DARK_FEATURES_PERCENTAGE,DATASTRIP_ID,DATATAKE_IDENTIFIER,DATATAKE_TYPE,DEGRADED_MSI_DATA_PERCENTAGE,FORMAT_CORRECTNESS,GENERAL_QUALITY,GENERATION_TIME,GEOMETRIC_QUALITY,GRANULE_ID,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_INCIDENCE_AZIMUTH_ANGLE_B1,MEAN_INCIDENCE_AZIMUTH_ANGLE_B10,MEAN_INCIDENCE_AZIMUTH_ANGLE_B11,MEAN_INCIDENCE_AZIMUTH_ANGLE_B12,MEAN_INCIDENCE_AZIMUTH_ANGLE_B2,MEAN_INCIDENCE_AZIMUTH_ANGLE_B3,MEAN_INCIDENCE_AZIMUTH_ANGLE_B4,MEAN_INCIDENCE_AZIMUTH_ANGLE_B5,MEAN_INCIDENCE_AZIMUTH_ANGLE_B6,MEAN_INCIDENCE_AZIMUTH_ANGLE_B7,MEAN_INCIDENCE_AZIMUTH_ANGLE_B8,MEAN_INCIDENCE_AZIMUTH_ANGLE_B8A,MEAN_INCIDENCE_AZIMUTH_ANGLE_B9,MEAN_INCIDENCE_ZENITH_ANGLE_B1,MEAN_INCIDENCE_ZENITH_ANGLE_B10,MEAN_INCIDENCE_ZENITH_ANGLE_B11,MEAN_INCIDENCE_ZENITH_ANGLE_B12,MEAN_INCIDENCE_ZENITH_ANGLE_B2,MEAN_INCIDENCE_ZENITH_ANGLE_B3,MEAN_INCIDENCE_ZENITH_ANGLE_B4,MEAN_INCIDENCE_ZENITH_ANGLE_B5,MEAN_INCIDENCE_ZENITH_ANGLE_B6,MEAN_INCIDENCE_ZENITH_ANGLE_B7,MEAN_INCIDENCE_ZENITH_ANGLE_B8,MEAN_INCIDENCE_ZENITH_ANGLE_B8A,MEAN_INCIDENCE_ZENITH_ANGLE_B9,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,MGRS_TILE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,PROCESSING_BASELINE,PRODUCT_ID,RADIATIVE_TRANSFER_ACCURACY,RADIOMETRIC_QUALITY,REFLECTANCE_CONVERSION_CORRECTION,SATURATED_DEFECTIVE_PIXEL_PERCENTAGE,SENSING_ORBIT_DIRECTION,SENSING_ORBIT_NUMBER,SENSOR_QUALITY,SNOW_ICE_PERCENTAGE,SOLAR_IRRADIANCE_B1,SOLAR_IRRADIANCE_B10,SOLAR_IRRADIANCE_B11,SOLAR_IRRADIANCE_B12,SOLAR_IRRADIANCE_B2,SOLAR_IRRADIANCE_B3,SOLAR_IRRADIANCE_B4,SOLAR_IRRADIANCE_B5,SOLAR_IRRADIANCE_B6,SOLAR_IRRADIANCE_B7,SOLAR_IRRADIANCE_B8,SOLAR_IRRADIANCE_B8A,SOLAR_IRRADIANCE_B9,SPACECRAFT_NAME,THIN_CIRRUS_PERCENTAGE,UNCLASSIFIED_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,WATER_VAPOUR_RETRIEVAL_ACCURACY,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_end,system:time_start,system:version,.geo
20200423T100549_20200423T100736_T33UVU,0.0,0.046211,0.04621100000000001,0.01006,0.724056,S2B_OPER_MSI_L2A_DS_SGS__20200423T144611_S20200423T100736_N02.14,GS2B_20200423T100549_016350_N02.14,INS-NOBS,0.0,PASSED,PASSED,1.587653171E12,PASSED,L2A_T33UVU_A016350_20200423T100736,0.028185,122.83469626772,125.800768749665,124.109046893526,123.012590143989,129.745109799335,126.956869140354,125.247103426856,124.550196365378,123.951815686655,123.459273456915,128.193752543072,123.148394779329,122.512038343911,3.84278864204262,3.4463694091881,3.61015129129138,3.79136847390022,3.27184879661587,3.36944010087457,3.47920786105682,3.54567827946341,3.61618715814218,3.6905990579183,3.31741226834733,3.7602459403763,3.92920240202714,163.184761184411,40.993025429975,0.01708,33UVU,1.16E-4,19.352075,02.14,S2B_MSIL2A_20200423T100549_N0214_R022_T33UVU_20200423T144611,0.0,PASSED,0.991246994106458,0.0,DESCENDING,22.0,PASSED,0.0,1874.3,365.41,247.08,87.75,1959.75,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,817.58,Sentinel-2B,9.46E-4,0.295474,77.149385,2.422742,0.0,1784421138,"[B1, B2, B3, B4, B5, B6, B7, B8, B8A, B9, B11, B12, AOT, WVP, SCL, TCI_R, TCI_G, TCI_B, MSK_CLDPRB, MSK_SNWPRB, QA10, QA20, QA60]",<Element>,"LinearRing(13.534412510203333,52.25353977685993, 13.534430936554596,52.253539281618245, 15.142714439260669,52.2625497881226, 15.1427822473415,52.26258621817259, 15.142857056343612,52.262617249783695, 15.142861680449837,52.26263199705373, 15.14612756681001,53.249536953261426, 15.146066489108335,53.24957845565531, 15.146014773392768,53.249624212977125, 15.145990047529565,53.24962708500324, 13.500937300247482,53.240290811085366, 13.500869216982977,53.24025334739203, 13.500793941861879,53.24022131705371, 13.50078977271733,53.24020647332304, 13.517779500062073,52.74693571701861, 13.534280896434991,52.25362746088999, 13.534342023512991,52.253586724452724, 13.5343942997885,52.25354165096098, 13.534412510203333,52.25353977685993)",COPERNICUS/S2_SR/20200423T100549_20200423T100736_T33UVU,1.587636963165E12,1.587636963165E12,1587851423186373,"{""type"":""Polygon"",""coordinates"":[[[13.534412510203337,52.253539776859924],[13.534430936554593,52.253539281618245],[15.142714439260669,52.2625497881226],[15.1427822473415,52.26258621817259],[15.142857056343617,52.2626172497837],[15.142861680449839,52.26263199705374],[15.14612756681001,53.249536953261426],[15.146066489108335,53.24957845565531],[15.146014773392768,53.24962421297712],[15.145990047529565,53.24962708500325],[13.500937300247484,53.240290811085366],[13.500869216982977,53.240253347392034],[13.500793941861879,53.24022131705371],[13.500789772717333,53.24020647332304],[13.517779500062074,52.74693571701861],[13.534280896434991,52.25362746088999],[13.534342023512993,52.25358672445273],[13.534394299788502,52.25354165096098],[13.534412510203337,52.253539776859924]]]}"
20200811T100559_20200811T101318_T33UVU,0.0,0.05211,0.05211,0.024907,0.381648,S2B_OPER_MSI_L2A_DS_EPAE_20200811T133733_S20200811T101318_N02.14,GS2B_20200811T100559_017923_N02.14,INS-NOBS,0.0,PASSED,PASSED,1.597153053E12,PASSED,L2A_T33UVU_A017923_20200811T101318,0.030325,122.90389889505,125.849309854531,124.172978804832,123.129867532371,129.759451645321,126.989756188776,125.295384901443,124.655419573429,124.12831207733,123.64682269284,128.217779239897,123.214150646791,122.545558468586,3.83935641230929,3.44246627816798,3.60222739636567,3.77638341007744,3.26902752120978,3.36674117365874,3.4766114845129,3.53543526926866,3.6052989561535,3.67990504149061,3.31465350291777,3.75672693167332,3.93097500200354,159.991984722304,39.055774594971,0.020873,33UVU,2.3E-5,33.057103,02.14,S2B_MSIL2A_20200811T100559_N0214_R022_T33UVU_20200811T133733,0.0,PASSED,0.972724458405694,0.0,DESCENDING,22.0,PASSED,0.0,1874.3,365.41,247.08,87.75,1959.75,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,817.58,Sentinel-2B,9.12E-4,0.18695,64.23229,2.064997,0.0,1774194329,"[B1, B2, B3, B4, B5, B6, B7, B8, B8A, B9, B11, B12, AOT, WVP, SCL, TCI_R, TCI_G, TCI_B, MSK_CLDPRB, MSK_SNWPRB, QA10, QA20, QA60]",<Element>,"LinearRing(13.534412510203333,52.25353977685993, 13.534430936554596,52.253539281618245, 15.142714439260669,52.2625497881226, 15.1427822473415,52.26258621817259, 15.142857056343612,52.262617249783695, 15.142861680449837,52.26263199705373, 15.14612756681001,53.249536953261426, 15.146066489108335,53.24957845565531, 15.146014773392768,53.249624212977125, 15.145990047529565,53.24962708500324, 13.500937300247482,53.240290811085366, 13.500869216982977,53.24025334739203, 13.500793941861879,53.24022131705371, 13.50078977271733,53.24020647332304, 13.517779500062073,52.74693571701861, 13.534280896434991,52.25362746088999, 13.534342023512991,52.253586724452724, 13.5343942997885,52.25354165096098, 13.534412510203333,52.25353977685993)",COPERNICUS/S2_SR/20200811T100559_20200811T101318_T33UVU,1.59714097232E12,1.59714097232E12,1597353116829728,"{""type"":""Polygon"",""coordinates"":[[[13.534412510203337,52.253539776859924],[13.534430936554593,52.253539281618245],[15.142714439260669,52.2625497881226],[15.1427822473415,52.26258621817259],[15.142857056343617,52.2626172497837],[15.142861680449839,52.26263199705374],[15.14612756681001,53.249536953261426],[15.146066489108335,53.24957845565531],[15.146014773392768,53.24962421297712],[15.145990047529565,53.24962708500325],[13.500937300247484,53.240290811085366],[13.500869216982977,53.240253347392034],[13.500793941861879,53.24022131705371],[13.500789772717333,53.24020647332304],[13.517779500062074,52.74693571701861],[13.534280896434991,52.25362746088999],[13.534342023512993,52.25358672445273],[13.534394299788502,52.25354165096098],[13.534412510203337,52.253539776859924]]]}"
20200421T102021_20200421T102321_T33UVU,0.0,0.073283,0.073283,0.013456,0.962232,S2A_OPER_MSI_L2A_DS_EPAE_20200421T120142_S20200421T102321_N02.14,GS2A_20200421T102021_025230_N02.14,INS-NOBS,0.0,PASSED,PASSED,1.587470502E12,PASSED,L2A_T33UVU_A025230_20200421T102321,0.042376,290.717553846464,289.454275442565,289.865274769061,290.293176733752,288.953049579571,289.33521893524,289.702938716359,289.893632329974,290.098446478722,290.319468149542,289.149075493912,290.526541025151,290.928284600902,8.97938135668483,8.86866745418059,8.92711299315222,8.99325741822991,8.81621845226071,8.8376017537431,8.86283817738541,8.88248340865169,8.90455745480899,8.9263509384084,8.82687472772533,8.95299550619676,9.01133944785734,166.901198232331,41.2715426283553,0.02387,33UVU,31.404874,19.598198,02.14,S2A_MSIL2A_20200421T102021_N0214_R065_T33UVU_20200421T120142,0.0,PASSED,0.992343105814982,0.0,DESCENDING,65.0,PASSED,2.9E-5,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,0.007038,0.385516,76.300353,2.666934,0.0,1209861390,"[B1, B2, B3, B4, B5, B6, B7, B8, B8A, B9, B11, B12, AOT, WVP, SCL, TCI_R, TCI_G, TCI_B, MSK_CLDPRB, MSK_SNWPRB, QA10, QA20, QA60]",<Element>,"LinearRing(13.500937300247482,53.240290811085366, 13.500789323478463,53.24021933662207, 13.517779500062073,52.74693571701861, 13.534280896434991,52.25362746088999, 13.534397503208124,52.25353888260181, 14.366540927405,52.26093679386143, 14.367303256028444,52.26189310518779, 14.368166674564062,52.263251953674846, 14.37502265095154,52.27596762211827, 14.483484516695233,52.47742904454511, 14.525059171137725,52.55446994374923, 14.553725711865484,52.60744352413258, 14.583332823686394,52.66203109255251, 14.879926053434575,53.20234477818976, 14.905875352032005,53.249296173316964, 14.905880236085753,53.249319683516916, 14.905879687398462,53.24958934267299, 14.90576321984872,53.249679213036146, 13.500937300247482,53.240290811085366)",COPERNICUS/S2_SR/20200421T102021_20200421T102321_T33UVU,1.587464766342E12,1.587464766342E12,1587585020101481,"{""type"":""Polygon"",""coordinates"":[[[13.500937300247484,53.240290811085366],[13.50078932347846,53.24021933662206],[13.517779500062074,52.74693571701861],[13.534280896434991,52.25362746088999],[13.534397503208126,52.2535388826018],[14.366540927405,52.26093679386143],[14.367303256028444,52.261893105187795],[14.368166674564062,52.26325195367484],[14.37502265095154,52.27596762211827],[14.483484516695233,52.47742904454511],[14.525059171137729,52.55446994374923],[14.553725711865484,52.60744352413258],[14.583332823686394,52.66203109255252],[14.879926053434575,53.20234477818976],[14.905875352032005,53.249296173316964],[14.905880236085753,53.249319683516916],[14.905879687398459,53.249589342672984],[14.90576321984872,53.24967921303615],[13.500937300247484,53.240290811085366]]]}"
20200816T101031_20200816T101030_T33UVU,0.0,0.277235,0.277235,0.2041,0.364412,S2A_OPER_MSI_L2A_DS_VGS2_20200816T130108_S20200816T101030_N02.14,GS2A_20200816T101031_026903_N02.14,INS-NOBS,0.0,PASSED,PASSED,1.597582868E12,PASSED,L2A_T33UVU_A026903_20200816T101030,0.184187,123.00494990463,125.3606634434,123.775432237083,122.917715503681,129.371961601004,126.836073129815,125.273454587909,124.642520163386,124.104537612408,123.660340118881,127.964577272262,123.279544222821,122.720438412651,3.8310028216591,3.40757554698868,3.56985408984152,3.74445400026238,3.24830892888029,3.34742986771846,3.45817585353733,3.52507742364526,3.59588545630024,3.67069956405387,3.29476571545969,3.74863259445793,3.91724308547251,160.860537889024,40.5163096294894,0.087107,33UVU,4.3E-5,33.992478,02.14,S2A_MSIL2A_20200816T101031_N0214_R022_T33UVU_20200816T130108,0.0,PASSED,0.974355005540297,0.0,DESCENDING,22.0,PASSED,4.55E-4,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,0.005942,0.25623,62.840348,2.064735,0.0,1781643626,"[B1, B2, B3, B4, B5, B6, B7, B8, B8A, B9, B11, B12, AOT, WVP, SCL, TCI_R, TCI_G, TCI_B, MSK_CLDPRB, MSK_SNWPRB, QA10, QA20, QA60]",<Element>,"LinearRing(13.534412510203333,52.25353977685993, 13.534430936554596,52.253539281618245, 15.142714439260669,52.2625497881226, 15.1427822473415,52.26258621817259, 15.142857056343612,52.262617249783695, 15.142861680449837,52.26263199705373, 15.14612756681001,53.249536953261426, 15.146066489108335,53.24957845565531, 15.146014773392768,53.249624212977125, 15.145990047529565,53.24962708500324, 13.500937300247482,53.240290811085366, 13.500869216982977,53.24025334739203, 13.500793941861879,53.24022131705371, 13.50078977271733,53.24020647332304, 13.517779500062073,52.74693571701861, 13.534280896434991,52.25362746088999, 13.534342023512991,52.253586724452724, 13.5343942997885,52.25354165096098, 13.534412510203333,52.25353977685993)",COPERNICUS/S2_SR/20200816T101031_20200816T101030_T33UVU,1.597572974769E12,1.597572974769E12,1597782574903091,"{""type"":""Polygon"",""coordinates"":[[[13.534412510203337,52.253539776859924],[13.534430936554593,52.253539281618245],[15.142714439260669,52.2625497881226],[15.1427822473415,52.26258621817259],[15.142857056343617,52.2626172497837],[15.142861680449839,52.26263199705374],[15.14612756681001,53.249536953261426],[15.146066489108335,53.24957845565531],[15.146014773392768,53.24962421297712],[15.145990047529565,53.24962708500325],[13.500937300247484,53.240290811085366],[13.500869216982977,53.240253347392034],[13.500793941861879,53.24022131705371],[13.500789772717333,53.24020647332304],[13.517779500062074,52.74693571701861],[13.534280896434991,52.25362746088999],[13.534342023512993,52.25358672445273],[13.534394299788502,52.25354165096098],[13.534412510203337,52.253539776859924]]]}"
20200406T101559_20200406T101807_T33UVU,0.0,0.282176,0.282176,0.011981,1.340422,S2B_OPER_MSI_L2A_DS_EPAE_20200406T134514_S20200406T101807_N02.14,GS2B_20200406T101559_016107_N02.14,INS-NOBS,0.0,PASSED,PASSED,1.586180714E12,PASSED,L2A_T33UVU_A016107_20200406T101807,0.036674,289.686280804115,288.633617944389,289.045455245488,289.480838565409,288.09474929575,288.451593374873,288.783769057901,288.957892879445,289.119587974733,289.322462618603,288.271722074018,289.510151831874,289.880169429061,8.99350457088699,8.85636109976749,8.91381016440979,8.97341032402741,8.81323590126021,8.84165850398481,8.87101294158928,8.89024191849579,8.91997453797239,8.94134544210885,8.82348249225578,8.96745845513608,9.02496376577658,166.672080013658,46.7279851255915,0.013749,33UVU,31.154218,27.038381,02.14,S2B_MSIL2A_20200406T101559_N0214_R065_T33UVU_20200406T134514,0.0,PASSED,1.00086407451109,0.0,DESCENDING,65.0,PASSED,1.0E-5,1874.3,365.41,247.08,87.75,1959.75,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,817.58,Sentinel-2B,0.231752,0.605011,67.923015,2.799001,0.0,1213525150,"[B1, B2, B3, B4, B5, B6, B7, B8, B8A, B9, B11, B12, AOT, WVP, SCL, TCI_R, TCI_G, TCI_B, MSK_CLDPRB, MSK_SNWPRB, QA10, QA20, QA60]",<Element>,"LinearRing(14.370814181374294,52.26135807446629, 14.370830999163298,52.26137859188324, 14.372547803312662,52.26435559715714, 14.387978950820973,52.29302790517878, 14.901417935417228,53.23121944897948, 14.911272255794154,53.24903238917455, 14.911423915140265,53.24958223417941, 14.91131680479516,53.24968025108141, 14.911274401848193,53.24968347800213, 13.500937300247482,53.240290811085366, 13.500789323478463,53.24021933662207, 13.517779500062073,52.74693571701861, 13.534280896434991,52.25362746088999, 13.534397503208124,52.25353888260181, 14.37025915646,52.260956629691826, 14.37029843671414,52.260978170009764, 14.370356627273608,52.260976915026475, 14.370814181374294,52.26135807446629)",COPERNICUS/S2_SR/20200406T101559_20200406T101807_T33UVU,1.586168762183E12,1.586168762183E12,1586290323974010,"{""type"":""Polygon"",""coordinates"":[[[14.370814181374298,52.26135807446629],[14.370830999163298,52.26137859188324],[14.372547803312665,52.26435559715714],[14.387978950820973,52.29302790517878],[14.901417935417228,53.23121944897948],[14.911272255794154,53.24903238917455],[14.911423915140261,53.24958223417941],[14.911316804795163,53.24968025108141],[14.911274401848196,53.24968347800213],[13.500937300247484,53.240290811085366],[13.50078932347846,53.24021933662206],[13.517779500062074,52.74693571701861],[13.534280896434991,52.25362746088999],[13.534397503208126,52.2535388826018],[14.37025915646,52.260956629691826],[14.37029843671414,52.260978170009764],[14.370356627273605,52.260976915026475],[14.370814181374298,52.26135807446629]]]}"
20200928T102031_20200928T102456_T33UVU,0.0,0.381533,0.381533,0.649625,1.712941,S2A_OPER_MSI_L2A_DS_VGS2_20200928T131819_S20200928T102456_N02.14,GS2A_20200928T102031_027518_N02.14,INS-NOBS,0.0,PASSED,PASSED,1.601299099E12,PASSED,L2A_T33UVU_A027518_20200928T102456,0.19715,290.605503930293,289.612044925955,290.12144689621,290.569832536728,288.945243095011,289.316906921264,289.682253668098,289.867910354051,290.083082230694,290.216993153714,289.127655757309,290.494262885756,290.82627658149,8.98604152787746,8.87241957442786,8.92026468298009,8.97623024433072,8.80723632666574,8.83094235445141,8.86405112326731,8.8836560316408,8.91358026932251,8.93255511326903,8.81791712115692,8.96738539879257,9.02574954864754,171.800910940487,55.3357173903185,0.163121,33UVU,31.680951,22.072329,02.14,S2A_MSIL2A_20200928T102031_N0214_R065_T33UVU_20200928T131819,0.0,PASSED,0.994777355595261,0.0,DESCENDING,65.0,PASSED,1.51E-4,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,0.021261,1.468159,71.314502,2.400761,0.0,1182976282,"[B1, B2, B3, B4, B5, B6, B7, B8, B8A, B9, B11, B12, AOT, WVP, SCL, TCI_R, TCI_G, TCI_B, MSK_CLDPRB, MSK_SNWPRB, QA10, QA20, QA60]",<Element>,"LinearRing(14.903130696941426,53.24961982525273, 14.903095324637201,53.2496684848192, 14.903055498716405,53.24967701379932, 13.500937300247482,53.240290811085366, 13.500789323478463,53.24021933662207, 13.517779500062073,52.74693571701861, 13.534280896434991,52.25362746088999, 13.534397503208124,52.25353888260181, 14.361761612752314,52.260910994422005, 14.361793886753821,52.260928769002284, 14.361836543985387,52.260924061910984, 14.361865380344389,52.26093804010656, 14.362025469312629,52.26103800030602, 14.362045257467596,52.2610636973315, 14.849558104659907,53.15295953378736, 14.88259419877113,53.2120556335231, 14.89690769955532,53.23795793863219, 14.903182642946394,53.24957426453643, 14.903130696941426,53.24961982525273)",COPERNICUS/S2_SR/20200928T102031_20200928T102456_T33UVU,1.601288770815E12,1.601288770815E12,1601543638569149,"{""type"":""Polygon"",""coordinates"":[[[14.903130696941426,53.249619825252736],[14.903095324637205,53.2496684848192],[14.903055498716402,53.24967701379932],[13.500937300247484,53.240290811085366],[13.50078932347846,53.24021933662206],[13.517779500062074,52.74693571701861],[13.534280896434991,52.25362746088999],[13.534397503208126,52.2535388826018],[14.361761612752318,52.26091099442201],[14.361793886753818,52.260928769002284],[14.361836543985383,52.26092406191099],[14.361865380344392,52.26093804010656],[14.362025469312625,52.261038000306016],[14.362045257467596,52.2610636973315],[14.849558104659907,53.15295953378736],[14.88259419877113,53.21205563352311],[14.896907699555316,53.23795793863219],[14.903182642946394,53.24957426453643],[14.903130696941426,53.249619825252736]]]}"
20200208T101151_20200208T101153_T33UVU,0.0,0.531734,0.531734,0.945449,14.905787,S2A_OPER_MSI_L2A_DS_MTI__20200208T114836_S20200208T101153_N02.14,GS2A_20200208T101151_024186_N02.14,INS-NOBS,0.0,PASSED,PASSED,1.581162516E12,PASSED,L2A_T33UVU_A024186_20200208T101153,0.014499,120.56616268,122.841378481,121.359201175,120.359274078,126.836108363,124.337782203,122.798345253,122.177428789,121.646888777,121.209430278,125.449352206,120.835819767,120.285560396,3.90071211507,3.48505240311,3.64420140144,3.82891915933,3.32526520354,3.4230711971,3.53238588158,3.59844305831,3.66838138138,3.74228850267,3.37110099278,3.82326835064,3.9859890736,164.281760909,69.1054146822,0.024194,33UVU,1.09E-4,11.159746,02.14,S2A_MSIL2A_20200208T101151_N0214_R022_T33UVU_20200208T114836,0.0,PASSED,1.02919608935,0.0,DESCENDING,22.0,PASSED,1.13E-4,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,0.493041,17.042656,52.921021,2.493495,0.0,1725775676,"[B1, B2, B3, B4, B5, B6, B7, B8, B8A, B9, B11, B12, AOT, WVP, SCL, TCI_R, TCI_G, TCI_B, MSK_CLDPRB, MSK_SNWPRB, QA10, QA20, QA60]",<Element>,"LinearRing(13.534412510203333,52.25353977685993, 13.534430936554596,52.253539281618245, 15.142714439260669,52.2625497881226, 15.1427822473415,52.26258621817259, 15.142857056343612,52.262617249783695, 15.142861680449837,52.26263199705373, 15.14612756681001,53.249536953261426, 15.146066489108335,53.24957845565531, 15.146014773392768,53.249624212977125, 15.145990047529565,53.24962708500324, 13.500937300247482,53.240290811085366, 13.500869216982977,53.24025334739203, 13.500793941861879,53.24022131705371, 13.50078977271733,53.24020647332304, 13.517779500062073,52.74693571701861, 13.534280896434991,52.25362746088999, 13.534342023512991,52.253586724452724, 13.5343942997885,52.25354165096098, 13.534412510203333,52.25353977685993)",COPERNICUS/S2_SR/20200208T101151_20200208T101153_T33UVU,1.581156961041E12,1.581156961041E12,1581378565579086,"{""type"":""Polygon"",""coordinates"":[[[13.534412510203337,52.253539776859924],[13.534430936554593,52.253539281618245],[15.142714439260669,52.2625497881226],[15.1427822473415,52.26258621817259],[15.142857056343617,52.2626172497837],[15.142861680449839,52.26263199705374],[15.14612756681001,53.249536953261426],[15.146066489108335,53.24957845565531],[15.146014773392768,53.24962421297712],[15.145990047529565,53.24962708500325],[13.500937300247484,53.240290811085366],[13.500869216982977,53.240253347392034],[13.500793941861879,53.24022131705371],[13.500789772717333,53.24020647332304],[13.517779500062074,52.74693571701861],[13.534280896434991,52.25362746088999],[13.534342023512993,52.25358672445273],[13.534394299788502,52.25354165096098],[13.534412510203337,52.253539776859924]]]}"
20200117T102249_20200117T102248_T33UVU,0.0,0.609557,0.609557,2.141129,22.003469,S2B_OPER_MSI_L2A_DS_EPAE_20200117T122813_S20200117T102248_N02.13,GS2B_20200117T102249_014963_N02.13,INS-NOBS,0.0,PASSED,PASSED,1.579264093E12,PASSED,L2A_T33UVU_A014963_20200117T102248,0.005494,289.588360911,288.531484042,288.924009063,289.336192153,288.024112797,288.352773705,288.66025316,288.821169195,288.997278413,289.189843402,288.18679784,289.418480597,289.776415316,8.97828070698,8.85179553926,8.89091051838,8.95066078902,8.80387254083,8.82677940485,8.85619792885,8.87546614249,8.89708577618,8.91849257968,8.81415117303,8.95220588388,9.00977273989,168.702890877,74.2504332365,0.013474,33UVU,30.976367,6.168784,02.13,S2B_MSIL2A_20200117T102249_N0213_R065_T33UVU_20200117T122813,0.0,PASSED,1.03381715272,0.0,DESCENDING,65.0,PASSED,9.1E-5,1874.3,365.41,247.08,87.75,1959.75,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,817.58,Sentinel-2B,0.590589,18.679148,47.647458,2.750364,0.0,1173670881,"[B1, B2, B3, B4, B5, B6, B7, B8, B8A, B9, B11, B12, AOT, WVP, SCL, TCI_R, TCI_G, TCI_B, MSK_CLDPRB, MSK_SNWPRB, QA10, QA20, QA60]",<Element>,"LinearRing(14.372114325758359,52.260966578313294, 14.372584391617751,52.261656002169346, 14.376871958199322,52.26950387215251, 14.490526609889027,52.479617136148015, 14.552974072881755,52.59422498946533, 14.570377575081011,52.626114353913216, 14.643747502517249,52.76012808843047, 14.683236972608164,52.83197849698076, 14.74404021232217,52.942158314555876, 14.776770190539997,53.00155501879858, 14.873712826485965,53.17698895285031, 14.913070045528702,53.248220373103656, 14.913523964080865,53.2492235476968, 14.913522982281934,53.249685079841875, 13.50078690643119,53.240288864446, 13.517779500062073,52.74693571701861, 13.534283955378939,52.25353749472775, 14.372114325758359,52.260966578313294)",COPERNICUS/S2_SR/20200117T102249_20200117T102248_T33UVU,1.579256759244E12,1.579256759244E12,1579441226575840,"{""type"":""Polygon"",""coordinates"":[[[14.372114325758355,52.26096657831329],[14.372584391617755,52.26165600216934],[14.376871958199322,52.26950387215251],[14.490526609889027,52.479617136148015],[14.552974072881755,52.59422498946534],[14.570377575081011,52.626114353913216],[14.643747502517252,52.76012808843048],[14.68323697260816,52.83197849698076],[14.74404021232217,52.94215831455587],[14.77677019054,53.00155501879858],[14.873712826485969,53.1769889528503],[14.913070045528702,53.24822037310366],[14.913523964080865,53.24922354769681],[14.913522982281934,53.24968507984188],[13.50078690643119,53.240288864446],[13.517779500062074,52.74693571701861],[13.534283955378939,52.25353749472775],[14.372114325758355,52.26096657831329]]]}"
