system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,3.0,1.0,34.0,136.0,49.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,14.0,5.0,397.0,20190216T102111_20190216T102131_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
1,132.0,391.0,255.0,222.0,465.0,861.0,552.0,707.0,353.0,359.0,294.0,296.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,87.0,58.0,2079.0,20190726T102031_20190726T102028_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
2,65.0,1.0,3.0,1.0,16.0,117.0,50.0,61.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,13.0,7.0,394.0,20190216T102111_20190216T102131_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
3,138.0,379.0,247.0,217.0,483.0,868.0,563.0,693.0,349.0,340.0,305.0,282.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,89.0,58.0,2115.0,20190726T102031_20190726T102028_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
4,77.0,287.0,67.0,60.0,306.0,356.0,221.0,227.0,153.0,140.0,135.0,110.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,37.0,23.0,772.0,20190419T101029_20190419T101030_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
5,77.0,281.0,67.0,59.0,315.0,351.0,218.0,223.0,153.0,141.0,137.0,109.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,36.0,23.0,791.0,20190419T101029_20190419T101030_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
6,84.0,147.0,32.0,25.0,133.0,254.0,162.0,247.0,156.0,111.0,132.0,150.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,26.0,17.0,786.0,20191110T101241_20191110T101236_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
7,65.0,247.0,92.0,79.0,269.0,355.0,232.0,239.0,176.0,188.0,182.0,175.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,37.0,24.0,689.0,20190417T102031_20190417T102431_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
8,59.0,84.0,31.0,41.0,151.0,236.0,145.0,141.0,67.0,81.0,73.0,71.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,24.0,14.0,637.0,20190422T102029_20190422T102029_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
9,59.0,75.0,34.0,40.0,166.0,235.0,145.0,139.0,69.0,82.0,73.0,71.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,25.0,16.0,641.0,20190422T102029_20190422T102029_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
10,198.0,87.0,19.0,29.0,61.0,151.0,126.0,216.0,72.0,59.0,47.0,22.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,16.0,13.0,1269.0,20190911T101021_20190911T101023_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
11,96.0,89.0,33.0,29.0,100.0,202.0,108.0,191.0,66.0,64.0,65.0,41.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,21.0,12.0,1420.0,20190921T101031_20190921T101152_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
12,192.0,101.0,21.0,27.0,100.0,174.0,131.0,220.0,79.0,66.0,55.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,18.0,14.0,1266.0,20190911T101021_20190911T101023_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
13,84.0,145.0,28.0,23.0,127.0,254.0,157.0,259.0,156.0,109.0,115.0,136.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,26.0,17.0,791.0,20191110T101241_20191110T101236_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
