system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,84.0,186.0,53.0,36.0,205.0,383.0,214.0,403.0,188.0,220.0,176.0,154.0,44.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,38.0,22.0,1143.0,20210903T102021_20210903T102024_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
1,204.0,22.0,387.0,288.0,138.0,333.0,294.0,425.0,378.0,372.0,401.0,412.0,469.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,34.0,32.0,1183.0,20210225T102021_20210225T102421_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
2,84.0,190.0,49.0,25.0,226.0,382.0,229.0,404.0,204.0,220.0,177.0,145.0,53.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,40.0,25.0,1127.0,20210903T102021_20210903T102024_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
3,66.0,84.0,62.0,44.0,55.0,123.0,74.0,94.0,53.0,37.0,44.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,13.0,8.0,640.0,20210222T101021_20210222T101415_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
4,66.0,79.0,62.0,49.0,58.0,127.0,69.0,90.0,37.0,45.0,50.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,13.0,8.0,640.0,20210222T101021_20210222T101415_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
5,204.0,25.0,393.0,272.0,138.0,328.0,313.0,438.0,380.0,383.0,417.0,418.0,462.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,33.0,30.0,1182.0,20210225T102021_20210225T102421_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
6,66.0,144.0,99.0,92.0,232.0,289.0,198.0,197.0,99.0,127.0,110.0,94.0,70.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,29.0,20.0,946.0,20210531T101559_20210531T101558_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
7,66.0,142.0,90.0,87.0,221.0,287.0,190.0,192.0,113.0,131.0,117.0,96.0,72.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,29.0,20.0,948.0,20210531T101559_20210531T101558_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
8,168.0,287.0,71.0,59.0,320.0,335.0,226.0,248.0,102.0,110.0,79.0,59.0,61.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,35.0,23.0,2549.0,20210617T100559_20210617T101301_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
9,168.0,284.0,70.0,50.0,315.0,339.0,228.0,258.0,100.0,110.0,76.0,58.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,35.0,24.0,2541.0,20210617T100559_20210617T101301_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
10,114.0,389.0,113.0,38.0,393.0,434.0,290.0,325.0,292.0,306.0,271.0,253.0,242.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,45.0,30.0,1775.0,20210607T100559_20210607T101225_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
11,116.0,382.0,107.0,44.0,397.0,418.0,279.0,313.0,274.0,296.0,265.0,244.0,230.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,43.0,29.0,1806.0,20210607T100559_20210607T101225_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
12,66.0,145.0,43.0,29.0,144.0,179.0,118.0,237.0,101.0,79.0,70.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,19.0,12.0,587.0,20211010T100941_20211010T101120_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
13,66.0,149.0,45.0,25.0,114.0,190.0,121.0,237.0,105.0,90.0,74.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,20.0,13.0,585.0,20211010T100941_20211010T101120_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
14,78.0,132.0,44.0,26.0,223.0,368.0,184.0,474.0,210.0,202.0,166.0,123.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,38.0,19.0,1982.0,20210908T101559_20210908T102114_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
15,78.0,130.0,46.0,15.0,242.0,363.0,181.0,474.0,202.0,214.0,167.0,100.0,27.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,37.0,19.0,1984.0,20210908T101559_20210908T102114_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
16,66.0,1.0,29.0,17.0,62.0,81.0,65.0,170.0,40.0,44.0,33.0,8.0,,0.0,0.0,0.0,0.0,0.0,6.0,8.0,9.0,7.0,1368.0,20211028T102039_20211028T102038_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
