system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,202.0,10363.0,743.0,826.0,10182.0,9508.0,9429.0,9497.0,9257.0,9030.0,8881.0,8728.0,7772.0,0.0,0.0,0.0,7.0,255.0,255.0,255.0,236.0,20180303T102021_20180303T102019_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
1,89.0,21.0,47.0,32.0,137.0,156.0,101.0,177.0,65.0,89.0,63.0,76.0,10.0,0.0,0.0,0.0,6.0,14.0,17.0,11.0,947.0,20181014T102019_20181014T102019_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
2,88.0,17.0,49.0,34.0,115.0,164.0,113.0,171.0,69.0,94.0,72.0,69.0,26.0,0.0,0.0,0.0,6.0,13.0,16.0,11.0,950.0,20181014T102019_20181014T102019_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
3,202.0,9196.0,780.0,848.0,8643.0,8567.0,8721.0,9003.0,8837.0,8647.0,8498.0,8404.0,8107.0,0.0,0.0,0.0,10.0,255.0,255.0,255.0,309.0,20180303T102021_20180303T102019_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
4,89.0,84.0,52.0,35.0,163.0,196.0,129.0,185.0,76.0,102.0,81.0,73.0,42.0,0.0,0.0,0.0,6.0,17.0,19.0,13.0,1015.0,20181014T102019_20181014T102019_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
5,196.0,8973.0,776.0,847.0,8430.0,8356.0,8631.0,8891.0,8743.0,8586.0,8434.0,8334.0,8185.0,0.0,0.0,0.0,10.0,255.0,255.0,255.0,319.0,20180303T102021_20180303T102019_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
6,71.0,123.0,62.0,47.0,178.0,270.0,158.0,154.0,71.0,96.0,64.0,62.0,40.0,0.0,0.0,0.0,6.0,18.0,27.0,16.0,1321.0,20180507T102019_20180507T102022_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
7,71.0,66.0,65.0,43.0,108.0,130.0,70.0,80.0,42.0,65.0,64.0,66.0,83.0,0.0,0.0,0.0,6.0,11.0,13.0,7.0,1179.0,20180606T102019_20180606T102512_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
8,71.0,129.0,61.0,42.0,185.0,277.0,155.0,152.0,69.0,97.0,59.0,65.0,69.0,0.0,0.0,0.0,6.0,18.0,28.0,15.0,1321.0,20180507T102019_20180507T102022_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
9,71.0,59.0,64.0,49.0,103.0,127.0,76.0,77.0,39.0,54.0,65.0,69.0,96.0,0.0,0.0,0.0,6.0,10.0,12.0,8.0,1191.0,20180606T102019_20180606T102512_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
