system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,WVP,id,lake,lat,lon,.geo
0,113.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,304.0,20180208T101151_20180208T101153_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
1,113.0,51.0,2.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,430.0,20180208T101151_20180208T101153_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
2,113.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,302.0,20180208T101151_20180208T101153_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
3,113.0,57.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,444.0,20180208T101151_20180208T101153_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
4,119.0,1.0,37.0,22.0,77.0,7.0,17.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,614.0,20180213T101119_20180213T101118_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
5,167.0,48.0,1.0,10.0,86.0,118.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,231.0,20180303T102021_20180303T102019_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
6,202.0,4.0,1.0,11.0,75.0,71.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,236.0,20180303T102021_20180303T102019_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
7,83.0,148.0,22.0,11.0,212.0,149.0,70.0,55.0,42.0,32.0,27.0,27.0,5.0,0.0,0.0,0.0,6.0,846.0,20181011T101019_20181011T101020_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
8,83.0,179.0,24.0,16.0,204.0,155.0,69.0,59.0,50.0,41.0,32.0,14.0,4.0,0.0,0.0,0.0,6.0,846.0,20181011T101019_20181011T101020_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
9,190.0,105.0,94.0,87.0,106.0,168.0,59.0,95.0,103.0,88.0,66.0,75.0,2.0,0.0,0.0,0.0,6.0,1609.0,20181016T101021_20181016T101021_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
10,89.0,18.0,21.0,17.0,141.0,135.0,54.0,45.0,24.0,40.0,29.0,19.0,1.0,0.0,0.0,0.0,6.0,947.0,20181014T102019_20181014T102019_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
11,190.0,143.0,102.0,76.0,108.0,165.0,49.0,92.0,105.0,103.0,72.0,90.0,21.0,0.0,0.0,0.0,6.0,1614.0,20181016T101021_20181016T101021_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
12,89.0,21.0,33.0,14.0,144.0,128.0,52.0,48.0,39.0,42.0,36.0,25.0,,0.0,0.0,0.0,6.0,950.0,20181014T102019_20181014T102019_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
13,202.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,309.0,20180303T102021_20180303T102019_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
14,125.0,1.0,11.0,18.0,24.0,40.0,42.0,27.0,14.0,31.0,11.0,1.0,1.0,0.0,0.0,0.0,6.0,204.0,20180223T101019_20180223T101508_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
15,95.0,63.0,19.0,17.0,173.0,153.0,60.0,47.0,22.0,39.0,28.0,13.0,,0.0,0.0,0.0,6.0,1018.0,20181014T102019_20181014T102019_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
16,83.0,124.0,30.0,32.0,356.0,461.0,127.0,100.0,67.0,75.0,67.0,58.0,68.0,0.0,0.0,0.0,6.0,1584.0,20180822T101019_20180822T101321_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
17,89.0,86.0,34.0,14.0,193.0,158.0,66.0,56.0,42.0,44.0,37.0,25.0,1.0,0.0,0.0,0.0,6.0,1015.0,20181014T102019_20181014T102019_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
18,83.0,131.0,46.0,30.0,244.0,291.0,77.0,68.0,51.0,68.0,48.0,52.0,26.0,0.0,0.0,0.0,6.0,1411.0,20180807T101021_20180807T101024_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
