system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,WVP,id,lake,lat,lon,.geo
19,95.0,273.0,61.0,35.0,330.0,428.0,185.0,178.0,174.0,184.0,171.0,159.0,120.0,0.0,0.0,0.0,6.0,1507.0,20180608T101021_20180608T101024_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
20,196.0,1.0,5.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,319.0,20180303T102021_20180303T102019_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
21,83.0,123.0,31.0,20.0,357.0,460.0,126.0,96.0,76.0,83.0,75.0,68.0,74.0,0.0,0.0,0.0,6.0,1607.0,20180822T101019_20180822T101321_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
22,71.0,107.0,48.0,25.0,153.0,210.0,105.0,89.0,74.0,79.0,71.0,69.0,69.0,0.0,0.0,0.0,6.0,1500.0,20180529T101031_20180529T101225_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
23,77.0,125.0,45.0,34.0,242.0,291.0,74.0,64.0,63.0,84.0,63.0,73.0,35.0,0.0,0.0,0.0,6.0,1405.0,20180807T101021_20180807T101024_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
24,71.0,116.0,47.0,39.0,192.0,164.0,55.0,54.0,56.0,62.0,58.0,45.0,55.0,0.0,0.0,0.0,6.0,1321.0,20180507T102019_20180507T102022_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
25,71.0,224.0,103.0,107.0,293.0,333.0,165.0,160.0,106.0,109.0,88.0,110.0,187.0,0.0,0.0,0.0,6.0,1179.0,20180606T102019_20180606T102512_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
26,89.0,169.0,32.0,31.0,154.0,146.0,77.0,73.0,37.0,65.0,52.0,39.0,13.0,0.0,0.0,0.0,6.0,1483.0,20181006T101021_20181006T101510_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
27,89.0,211.0,31.0,22.0,160.0,149.0,79.0,69.0,55.0,69.0,58.0,48.0,16.0,0.0,0.0,0.0,6.0,1490.0,20181006T101021_20181006T101510_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
28,71.0,102.0,51.0,33.0,151.0,207.0,101.0,88.0,80.0,84.0,79.0,76.0,64.0,0.0,0.0,0.0,6.0,1524.0,20180529T101031_20180529T101225_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
29,71.0,119.0,49.0,33.0,201.0,154.0,55.0,64.0,54.0,70.0,65.0,54.0,54.0,0.0,0.0,0.0,6.0,1321.0,20180507T102019_20180507T102022_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
30,71.0,183.0,145.0,146.0,277.0,336.0,173.0,190.0,162.0,177.0,102.0,182.0,157.0,0.0,0.0,0.0,6.0,1191.0,20180606T102019_20180606T102512_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
31,101.0,167.0,20.0,15.0,221.0,159.0,64.0,47.0,28.0,15.0,8.0,1.0,1.0,0.0,0.0,0.0,6.0,829.0,20181011T101019_20181011T101020_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
32,95.0,176.0,20.0,11.0,232.0,157.0,70.0,49.0,32.0,21.0,17.0,16.0,1.0,0.0,0.0,0.0,6.0,826.0,20181011T101019_20181011T101020_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
33,113.0,136.0,152.0,131.0,224.0,257.0,185.0,198.0,200.0,224.0,204.0,204.0,206.0,0.0,0.0,0.0,6.0,1660.0,20180509T101031_20180509T101027_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
34,107.0,139.0,157.0,129.0,221.0,254.0,184.0,196.0,212.0,231.0,220.0,224.0,208.0,0.0,0.0,0.0,6.0,1658.0,20180509T101031_20180509T101027_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
35,107.0,324.0,32.0,41.0,274.0,144.0,46.0,17.0,26.0,51.0,9.0,1.0,1.0,0.0,0.0,0.0,6.0,896.0,20181205T101401_20181205T101359_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
36,119.0,1.0,17.0,17.0,22.0,49.0,46.0,32.0,17.0,36.0,17.0,1.0,1.0,0.0,0.0,0.0,6.0,202.0,20180223T101019_20180223T101508_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
37,113.0,307.0,29.0,39.0,260.0,131.0,35.0,4.0,13.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,827.0,20181205T101401_20181205T101359_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
38,113.0,315.0,17.0,31.0,292.0,153.0,36.0,24.0,61.0,22.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,837.0,20181205T101401_20181205T101359_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
39,101.0,266.0,60.0,31.0,326.0,423.0,179.0,179.0,182.0,193.0,177.0,172.0,133.0,0.0,0.0,0.0,6.0,1519.0,20180608T101021_20180608T101024_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
40,107.0,390.0,20.0,32.0,299.0,162.0,45.0,38.0,76.0,37.0,15.0,1.0,1.0,0.0,0.0,0.0,6.0,901.0,20181205T101401_20181205T101359_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
41,119.0,123.0,1.0,1.0,133.0,56.0,35.0,1.0,1.0,2.0,1.0,2.0,,0.0,0.0,0.0,6.0,513.0,20181128T102351_20181128T102346_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
42,89.0,200.0,2.0,12.0,237.0,110.0,86.0,49.0,31.0,41.0,35.0,1.0,1.0,0.0,0.0,0.0,6.0,505.0,20181128T102351_20181128T102346_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
43,107.0,160.0,84.0,57.0,217.0,262.0,161.0,188.0,200.0,206.0,176.0,173.0,224.0,0.0,0.0,0.0,6.0,1560.0,20180419T101031_20180419T101457_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
44,101.0,161.0,1.0,9.0,206.0,84.0,67.0,31.0,13.0,25.0,16.0,2.0,8.0,0.0,0.0,0.0,6.0,548.0,20181128T102351_20181128T102346_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
45,154.0,124.0,151.0,98.0,177.0,219.0,177.0,200.0,214.0,233.0,226.0,227.0,239.0,0.0,0.0,0.0,6.0,1132.0,20180409T101031_20180409T101343_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
46,101.0,175.0,1.0,2.0,167.0,91.0,65.0,29.0,6.0,16.0,21.0,,,0.0,0.0,0.0,6.0,551.0,20181128T102351_20181128T102346_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
47,113.0,158.0,78.0,57.0,221.0,258.0,154.0,175.0,204.0,194.0,166.0,171.0,214.0,0.0,0.0,0.0,6.0,1556.0,20180419T101031_20180419T101457_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
48,155.0,121.0,151.0,97.0,184.0,221.0,184.0,198.0,211.0,243.0,224.0,233.0,247.0,0.0,0.0,0.0,6.0,1128.0,20180409T101031_20180409T101343_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
49,95.0,112.0,27.0,32.0,366.0,468.0,125.0,94.0,56.0,62.0,55.0,47.0,41.0,0.0,0.0,0.0,6.0,1514.0,20180822T101019_20180822T101321_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
50,95.0,121.0,29.0,19.0,372.0,472.0,126.0,90.0,57.0,61.0,57.0,48.0,37.0,0.0,0.0,0.0,6.0,1499.0,20180822T101019_20180822T101321_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
51,65.0,52.0,49.0,33.0,225.0,169.0,63.0,66.0,49.0,65.0,65.0,52.0,48.0,0.0,0.0,0.0,6.0,1253.0,20180507T102019_20180507T102022_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
52,101.0,107.0,43.0,29.0,234.0,285.0,70.0,59.0,31.0,46.0,27.0,31.0,14.0,0.0,0.0,0.0,6.0,1680.0,20180807T101021_20180807T101024_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
53,95.0,113.0,40.0,33.0,238.0,289.0,69.0,54.0,36.0,53.0,35.0,43.0,16.0,0.0,0.0,0.0,6.0,1679.0,20180807T101021_20180807T101024_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
54,65.0,45.0,48.0,39.0,168.0,161.0,62.0,55.0,58.0,65.0,64.0,52.0,54.0,0.0,0.0,0.0,6.0,1242.0,20180507T102019_20180507T102022_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
55,101.0,269.0,51.0,49.0,325.0,378.0,102.0,88.0,60.0,48.0,25.0,63.0,36.0,0.0,0.0,0.0,6.0,2569.0,20180731T102021_20180731T102024_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
56,107.0,255.0,49.0,46.0,324.0,381.0,96.0,85.0,60.0,49.0,32.0,59.0,54.0,0.0,0.0,0.0,6.0,2583.0,20180731T102021_20180731T102024_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
57,71.0,65.0,46.0,36.0,188.0,199.0,95.0,92.0,82.0,87.0,69.0,72.0,121.0,0.0,0.0,0.0,6.0,1372.0,20180524T101019_20180524T101022_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
58,65.0,102.0,54.0,42.0,162.0,191.0,111.0,107.0,111.0,118.0,108.0,113.0,74.0,0.0,0.0,0.0,6.0,1598.0,20180429T101031_20180429T101258_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
59,71.0,203.0,146.0,147.0,296.0,348.0,179.0,193.0,156.0,169.0,97.0,176.0,139.0,0.0,0.0,0.0,6.0,1154.0,20180606T102019_20180606T102512_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
60,71.0,136.0,50.0,33.0,176.0,219.0,105.0,86.0,69.0,71.0,69.0,64.0,40.0,0.0,0.0,0.0,6.0,1344.0,20180529T101031_20180529T101225_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
61,83.0,105.0,95.0,69.0,228.0,244.0,138.0,154.0,139.0,160.0,145.0,137.0,164.0,0.0,0.0,0.0,6.0,1556.0,20180514T101029_20180514T101052_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
62,59.0,23.0,37.0,34.0,128.0,163.0,74.0,59.0,65.0,79.0,82.0,71.0,112.0,0.0,0.0,0.0,6.0,780.0,20180504T101029_20180504T101023_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
63,160.0,96.0,69.0,51.0,176.0,226.0,127.0,138.0,143.0,149.0,128.0,125.0,146.0,0.0,0.0,0.0,6.0,1500.0,20180419T101031_20180419T101457_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
64,96.0,288.0,59.0,31.0,347.0,438.0,185.0,177.0,168.0,176.0,165.0,158.0,108.0,0.0,0.0,0.0,6.0,1430.0,20180608T101021_20180608T101024_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
65,65.0,95.0,55.0,43.0,158.0,194.0,112.0,105.0,112.0,119.0,112.0,110.0,86.0,0.0,0.0,0.0,6.0,1601.0,20180429T101031_20180429T101258_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
66,77.0,125.0,47.0,25.0,163.0,214.0,104.0,87.0,66.0,71.0,62.0,60.0,48.0,0.0,0.0,0.0,6.0,1374.0,20180529T101031_20180529T101225_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
67,71.0,231.0,105.0,108.0,305.0,341.0,170.0,162.0,106.0,108.0,89.0,107.0,182.0,0.0,0.0,0.0,6.0,1177.0,20180606T102019_20180606T102512_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
68,71.0,70.0,44.0,40.0,188.0,199.0,101.0,99.0,72.0,77.0,57.0,60.0,105.0,0.0,0.0,0.0,6.0,1371.0,20180524T101019_20180524T101022_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
69,95.0,273.0,60.0,35.0,341.0,434.0,187.0,176.0,169.0,179.0,168.0,155.0,99.0,0.0,0.0,0.0,6.0,1430.0,20180608T101021_20180608T101024_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
70,167.0,75.0,64.0,51.0,172.0,218.0,119.0,126.0,153.0,142.0,122.0,128.0,134.0,0.0,0.0,0.0,6.0,1491.0,20180419T101031_20180419T101457_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
71,59.0,9.0,40.0,30.0,128.0,161.0,73.0,53.0,70.0,84.0,82.0,70.0,118.0,0.0,0.0,0.0,6.0,804.0,20180504T101029_20180504T101023_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
72,142.0,107.0,150.0,127.0,200.0,230.0,167.0,163.0,151.0,166.0,167.0,170.0,161.0,0.0,0.0,0.0,6.0,1780.0,20180509T101031_20180509T101027_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
73,119.0,273.0,46.0,44.0,343.0,392.0,96.0,71.0,30.0,11.0,6.0,31.0,12.0,0.0,0.0,0.0,6.0,2504.0,20180731T102021_20180731T102024_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
74,83.0,343.0,385.0,302.0,410.0,530.0,312.0,309.0,461.0,504.0,611.0,511.0,595.0,0.0,0.0,0.0,2.0,1665.0,20180909T102021_20180909T102205_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
75,83.0,349.0,415.0,304.0,412.0,529.0,320.0,337.0,506.0,547.0,611.0,525.0,598.0,0.0,0.0,0.0,2.0,1658.0,20180909T102021_20180909T102205_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
76,83.0,113.0,100.0,69.0,233.0,241.0,138.0,146.0,130.0,148.0,138.0,127.0,168.0,0.0,0.0,0.0,6.0,1541.0,20180514T101029_20180514T101052_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
77,125.0,258.0,46.0,45.0,325.0,377.0,93.0,69.0,29.0,15.0,1.0,37.0,,0.0,0.0,0.0,6.0,2509.0,20180731T102021_20180731T102024_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
78,143.0,104.0,145.0,130.0,204.0,236.0,170.0,166.0,146.0,169.0,161.0,161.0,169.0,0.0,0.0,0.0,6.0,1794.0,20180509T101031_20180509T101027_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
79,77.0,148.0,39.0,48.0,212.0,135.0,42.0,24.0,21.0,15.0,14.0,11.0,1.0,0.0,0.0,0.0,6.0,1311.0,20181021T101039_20181021T101201_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
80,77.0,155.0,32.0,38.0,210.0,129.0,44.0,26.0,25.0,13.0,21.0,14.0,1.0,0.0,0.0,0.0,6.0,1315.0,20181021T101039_20181021T101201_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
81,172.0,90.0,51.0,46.0,366.0,458.0,129.0,109.0,95.0,114.0,96.0,84.0,58.0,0.0,0.0,0.0,6.0,2969.0,20180726T102019_20180726T102150_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
82,172.0,109.0,55.0,47.0,382.0,451.0,133.0,104.0,84.0,88.0,69.0,68.0,52.0,0.0,0.0,0.0,6.0,2970.0,20180726T102019_20180726T102150_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
83,185.0,265.0,58.0,35.0,401.0,462.0,180.0,142.0,71.0,104.0,79.0,95.0,26.0,0.0,0.0,0.0,6.0,1954.0,20180906T101021_20180906T101022_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
84,83.0,127.0,94.0,69.0,244.0,253.0,143.0,154.0,133.0,153.0,139.0,131.0,134.0,0.0,0.0,0.0,6.0,1330.0,20180514T101029_20180514T101052_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
85,71.0,66.0,53.0,41.0,132.0,174.0,103.0,104.0,110.0,118.0,105.0,111.0,74.0,0.0,0.0,0.0,6.0,1589.0,20180429T101031_20180429T101258_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
86,83.0,114.0,101.0,69.0,245.0,249.0,142.0,147.0,132.0,151.0,142.0,130.0,135.0,0.0,0.0,0.0,6.0,1340.0,20180514T101029_20180514T101052_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
87,65.0,65.0,53.0,42.0,140.0,183.0,107.0,101.0,106.0,113.0,106.0,104.0,83.0,0.0,0.0,0.0,6.0,1587.0,20180429T101031_20180429T101258_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
