system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
20,114.0,3554.0,5122.0,4227.0,5596.0,5096.0,4804.0,5138.0,5539.0,5603.0,6468.0,5601.0,6479.0,100.0,0.0,0.0,0.0,0.0,9.0,255.0,255.0,1522.0,20190623T101031_20190623T101029_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
21,137.0,366.0,126.0,110.0,413.0,324.0,226.0,221.0,189.0,201.0,201.0,169.0,130.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,22.0,864.0,20190228T101029_20190228T101023_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
22,300.0,1475.0,675.0,686.0,1246.0,1330.0,883.0,948.0,1008.0,1137.0,1192.0,1287.0,4900.0,5.0,0.0,0.0,0.0,2048.0,10.0,136.0,90.0,2805.0,20190901T101031_20190901T101134_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
23,144.0,471.0,132.0,122.0,458.0,471.0,258.0,224.0,249.0,256.0,227.0,251.0,311.0,0.0,0.0,0.0,0.0,0.0,6.0,48.0,27.0,1443.0,20190822T101031_20190822T101027_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
24,96.0,383.0,28.0,38.0,422.0,413.0,164.0,134.0,72.0,78.0,61.0,52.0,83.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,17.0,1533.0,20190718T101039_20190718T101040_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
25,108.0,261.0,65.0,61.0,328.0,303.0,156.0,143.0,130.0,134.0,122.0,105.0,188.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,16.0,1429.0,20190711T102029_20190711T102032_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
26,84.0,238.0,341.0,208.0,543.0,418.0,226.0,187.0,172.0,148.0,608.0,81.0,236.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,22.0,818.0,20191006T101029_20191006T101025_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
27,107.0,251.0,77.0,45.0,243.0,223.0,120.0,122.0,122.0,136.0,127.0,123.0,110.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,13.0,1076.0,20190417T102031_20190417T102431_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
28,90.0,347.0,184.0,170.0,480.0,461.0,275.0,264.0,270.0,276.0,248.0,264.0,367.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,28.0,1006.0,20190919T102019_20190919T102022_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
29,249.0,76.0,131.0,102.0,116.0,137.0,106.0,126.0,187.0,209.0,168.0,213.0,140.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,11.0,3052.0,20190626T102031_20190626T102028_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
