system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
67,102.0,14915.0,8302.0,6860.0,13864.0,13024.0,12840.0,13195.0,12586.0,12252.0,13200.0,11960.0,15557.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,781.0,20190514T101031_20190514T101441_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
68,126.0,5197.0,2570.0,2292.0,4028.0,3496.0,3130.0,3083.0,2898.0,2842.0,2954.0,2684.0,4183.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,2024.0,20190926T101029_20190926T101317_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
69,216.0,11581.0,5683.0,4547.0,8856.0,8304.0,8440.0,9121.0,8956.0,8936.0,8100.0,8929.0,16064.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,1847.0,20190812T101031_20190812T101028_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
70,126.0,555.0,407.0,359.0,549.0,571.0,469.0,506.0,576.0,587.0,672.0,632.0,1197.0,0.0,0.0,0.0,0.0,2048.0,10.0,59.0,48.0,635.0,20191031T101141_20191031T101411_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
71,120.0,12817.0,6208.0,4574.0,12000.0,11624.0,11488.0,12133.0,11616.0,11359.0,11232.0,10946.0,15675.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,1150.0,20191009T102029_20191009T102303_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
72,131.0,6167.0,6173.0,6198.0,6176.0,6232.0,6424.0,6852.0,6658.0,6641.0,6256.0,6544.0,6797.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,783.0,20190221T102039_20190221T102520_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
73,101.0,4035.0,3614.0,3603.0,3182.0,3024.0,3156.0,3620.0,3714.0,3803.0,3342.0,3900.0,4902.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,681.0,20190313T102019_20190313T102552_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
74,204.0,1516.0,984.0,886.0,1492.0,1362.0,1232.0,1377.0,1564.0,1687.0,1648.0,1662.0,3399.0,12.0,0.0,0.0,0.0,2048.0,10.0,139.0,126.0,2131.0,20190621T102029_20190621T102031_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
75,125.0,638.0,537.0,603.0,667.0,537.0,517.0,545.0,547.0,570.0,716.0,632.0,814.0,0.0,0.0,0.0,0.0,0.0,6.0,55.0,53.0,390.0,20190102T102429_20190102T102505_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
76,178.0,96.0,183.0,174.0,85.0,146.0,95.0,93.0,131.0,135.0,157.0,154.0,354.0,0.0,0.0,0.0,0.0,2048.0,10.0,15.0,9.0,707.0,20190223T101021_20190223T101031_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
77,204.0,8602.0,2678.0,2371.0,8512.0,8032.0,7892.0,7832.0,7807.0,7785.0,8232.0,7719.0,7049.0,0.0,45.0,0.0,0.0,1024.0,8.0,255.0,255.0,421.0,20191215T101329_20191215T101327_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
78,107.0,2188.0,984.0,827.0,2144.0,1508.0,1284.0,1216.0,1168.0,1184.0,1196.0,1088.0,828.0,19.0,0.0,0.0,0.0,1024.0,6.0,154.0,131.0,481.0,20190129T101259_20190129T101440_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
79,114.0,13179.0,8257.0,6966.0,12888.0,12200.0,11728.0,12488.0,11835.0,11629.0,11960.0,11369.0,15627.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,1743.0,20190628T101039_20190628T101033_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
80,114.0,7674.0,5196.0,4842.0,7316.0,6812.0,6564.0,6293.0,5900.0,5749.0,6476.0,5735.0,6089.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,875.0,20191110T101241_20191110T101236_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
81,126.0,11083.0,6698.0,5614.0,9640.0,9272.0,9200.0,9786.0,9395.0,9140.0,9120.0,8945.0,15662.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,1185.0,20190703T101031_20190703T101051_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
82,202.0,2524.0,2402.0,1976.0,2718.0,2476.0,2498.0,2601.0,2688.0,2710.0,3056.0,2768.0,3962.0,56.0,0.0,0.0,0.0,2048.0,8.0,252.0,254.0,752.0,20190206T102211_20190206T102327_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
83,204.0,14629.0,6155.0,4960.0,13888.0,12432.0,11720.0,12160.0,11349.0,10991.0,11520.0,10505.0,15979.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,1500.0,20190708T101039_20190708T101033_T33UVU,Werbellinsee,52.91951411672295,13.709939443907867,"{""type"":""Point"",""coordinates"":[13.709939443907867,52.91951411672296]}"
