system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,118.0,3020.0,346.0,353.0,1600.0,1684.0,1489.0,1749.0,1462.0,1326.0,1723.0,1350.0,2405.0,0.0,0.0,0.0,11.0,163.0,171.0,151.0,624.0,20180213T101119_20180213T101559_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
1,118.0,4082.0,375.0,375.0,683.0,547.0,643.0,1771.0,1469.0,1521.0,406.0,1603.0,3336.0,0.0,0.0,0.0,11.0,69.0,55.0,65.0,591.0,20180213T101119_20180213T101559_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
2,165.0,214.0,45.0,57.0,398.0,204.0,149.0,115.0,95.0,72.0,115.0,37.0,1.0,0.0,0.0,0.0,6.0,40.0,20.0,15.0,571.0,20180114T101349_20180114T101347_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
3,118.0,1.0,1.0,1.0,64.0,74.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,7.0,,304.0,20180206T102209_20180206T102206_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
4,112.0,130.0,25.0,14.0,203.0,287.0,183.0,238.0,81.0,75.0,71.0,15.0,1.0,0.0,0.0,0.0,6.0,21.0,30.0,19.0,773.0,20181011T101019_20181011T101020_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
5,118.0,68.0,32.0,39.0,195.0,269.0,182.0,241.0,94.0,92.0,77.0,52.0,2.0,0.0,0.0,0.0,6.0,22.0,29.0,18.0,1095.0,20181014T102019_20181014T102019_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
6,112.0,137.0,25.0,14.0,254.0,281.0,169.0,236.0,77.0,76.0,59.0,21.0,1.0,0.0,0.0,0.0,6.0,27.0,29.0,18.0,786.0,20181011T101019_20181011T101020_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
7,112.0,72.0,35.0,39.0,211.0,310.0,182.0,255.0,108.0,109.0,102.0,58.0,3.0,0.0,0.0,0.0,6.0,22.0,32.0,19.0,1114.0,20181014T102019_20181014T102019_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
8,118.0,164.0,13.0,3.0,212.0,232.0,127.0,157.0,89.0,98.0,67.0,92.0,,0.0,0.0,0.0,6.0,19.0,25.0,14.0,477.0,20181128T102351_20181128T102346_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
9,112.0,180.0,13.0,1.0,221.0,228.0,156.0,179.0,111.0,113.0,66.0,124.0,2.0,0.0,0.0,0.0,6.0,23.0,23.0,15.0,471.0,20181128T102351_20181128T102346_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
10,118.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,,,310.0,20180206T102209_20180206T102206_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
11,142.0,143.0,172.0,111.0,206.0,375.0,270.0,306.0,257.0,262.0,262.0,251.0,229.0,0.0,0.0,0.0,6.0,21.0,38.0,27.0,963.0,20180409T101031_20180409T101343_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
12,136.0,133.0,174.0,112.0,221.0,373.0,294.0,316.0,262.0,268.0,261.0,258.0,220.0,0.0,0.0,0.0,6.0,22.0,38.0,29.0,948.0,20180409T101031_20180409T101343_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
