system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,66.0,1091.0,1004.0,1012.0,1080.0,1182.0,1089.0,1071.0,1036.0,1020.0,1036.0,1022.0,977.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,20.0,10.0,496.0,20220309T100841_20220309T101114_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
1,66.0,1089.0,1001.0,1012.0,1078.0,1184.0,1087.0,1070.0,1035.0,1019.0,1036.0,1018.0,982.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,19.0,9.0,494.0,20220309T100841_20220309T101114_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
2,102.0,1113.0,1036.0,1018.0,1078.0,1212.0,1155.0,1188.0,1101.0,1052.0,1073.0,1084.0,948.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,22.0,15.0,950.0,20221114T101301_20221114T101258_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
3,102.0,1111.0,1036.0,1017.0,1118.0,1198.0,1144.0,1183.0,1103.0,1052.0,1071.0,1084.0,954.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,21.0,15.0,954.0,20221114T101301_20221114T101258_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
4,150.0,1041.0,1168.0,1143.0,1182.0,1262.0,1174.0,1200.0,1135.0,1173.0,1159.0,1165.0,1054.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,26.0,17.0,1899.0,20221030T101039_20221030T101041_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
5,150.0,1038.0,1168.0,1135.0,1176.0,1253.0,1192.0,1190.0,1133.0,1170.0,1163.0,1166.0,1056.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,26.0,19.0,1903.0,20221030T101039_20221030T101041_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
6,90.0,1149.0,1022.0,1020.0,1227.0,1277.0,1173.0,1254.0,1089.0,1098.0,1081.0,1051.0,996.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,29.0,19.0,1281.0,20220930T100729_20220930T101327_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
7,90.0,1148.0,1022.0,1023.0,1238.0,1283.0,1176.0,1253.0,1086.0,1100.0,1073.0,1050.0,995.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,29.0,18.0,1281.0,20220930T100729_20220930T101327_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
8,114.0,1151.0,1041.0,1039.0,1215.0,1268.0,1125.0,1116.0,1065.0,1068.0,1050.0,1037.0,1048.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,28.0,13.0,480.0,20220324T100649_20220324T100645_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
9,60.0,1054.0,1022.0,1031.0,1124.0,1202.0,1120.0,1108.0,1049.0,1047.0,1059.0,1048.0,997.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,21.0,13.0,168.0,20220312T101831_20220312T102427_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
10,108.0,1163.0,1042.0,1039.0,1236.0,1264.0,1140.0,1124.0,1072.0,1075.0,1057.0,1042.0,1054.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,27.0,16.0,470.0,20220324T100649_20220324T100645_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
