system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
342,142.0,6519.0,3794.0,3025.0,6224.0,5712.0,5368.0,5740.0,5467.0,5354.0,5812.0,5215.0,11028.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,860.0,20190208T101159_20190208T101158_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
343,144.0,5563.0,4899.0,3687.0,6084.0,5856.0,6124.0,6371.0,6238.0,6236.0,6328.0,5997.0,6750.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,501.0,20191128T102259_20191128T102255_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
344,166.0,2513.0,2864.0,3056.0,1402.0,1780.0,2270.0,2555.0,2846.0,3062.0,2522.0,3208.0,4791.0,79.0,0.0,0.0,0.0,1024.0,8.0,143.0,181.0,231.0,532.0,20190308T102021_20190308T102017_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
345,125.0,6836.0,3413.0,2745.0,6528.0,5724.0,5684.0,5879.0,5704.0,5545.0,5876.0,5431.0,6856.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,494.0,20190211T102149_20190211T102246_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
346,77.0,6439.0,4467.0,3672.0,5756.0,5260.0,5396.0,5465.0,5559.0,5513.0,5816.0,5644.0,5606.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,342.0,20190117T102351_20190117T102347_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
347,202.0,5695.0,3244.0,1955.0,5548.0,5204.0,5480.0,5694.0,5527.0,5466.0,5548.0,5464.0,5477.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,795.0,20190107T102411_20190107T102405_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
348,204.0,4483.0,2295.0,2402.0,4152.0,4196.0,4300.0,4563.0,4787.0,4860.0,5016.0,4927.0,6951.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,813.0,20190805T102031_20190805T102440_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
349,131.0,4822.0,2900.0,2949.0,4612.0,4252.0,4036.0,4282.0,4236.0,4185.0,4680.0,4194.0,7117.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,707.0,20190310T101019_20190310T101022_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
350,144.0,5605.0,4883.0,3767.0,6020.0,5772.0,6068.0,6224.0,6209.0,6230.0,6328.0,6114.0,7006.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,499.0,20191128T102259_20191128T102255_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
351,202.0,5564.0,3215.0,1920.0,5592.0,5184.0,5412.0,5612.0,5446.0,5397.0,5504.0,5405.0,5322.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,792.0,20190107T102411_20190107T102405_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
