system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
227,202.0,2264.0,1227.0,1283.0,1984.0,1849.0,1709.0,1848.0,1849.0,1900.0,1959.0,1982.0,4810.0,0.0,0.0,2048.0,8.0,202.0,188.0,174.0,1324.0,20180412T102021_20180412T102024_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
228,202.0,9690.0,2307.0,2505.0,9616.0,9584.0,9584.0,9555.0,9385.0,9347.0,9704.0,9291.0,12356.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,768.0,20180830T102021_20180830T102524_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
229,202.0,6703.0,3233.0,2865.0,5112.0,4396.0,4268.0,4365.0,4246.0,4134.0,4208.0,4138.0,4454.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,495.0,20181215T101421_20181215T101420_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
230,202.0,7994.0,3890.0,3657.0,7485.0,6635.0,6844.0,7112.0,6891.0,6803.0,7097.0,6842.0,8387.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,438.0,20180102T102421_20180102T102420_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
231,202.0,3704.0,2255.0,2284.0,3331.0,2988.0,2716.0,2743.0,2915.0,3200.0,3752.0,3434.0,3920.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,177.0,20180109T101401_20180109T101536_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
232,202.0,3826.0,2295.0,2316.0,3314.0,2979.0,2699.0,2700.0,2942.0,3271.0,3760.0,3580.0,3817.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,162.0,20180109T101401_20180109T101536_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
233,202.0,10808.0,5861.0,4888.0,9697.0,8794.0,8221.0,8486.0,8047.0,7915.0,7588.0,7737.0,8954.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,673.0,20180315T101019_20180315T101038_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
234,202.0,13879.0,6729.0,5193.0,12920.0,11728.0,11032.0,11439.0,10702.0,10402.0,10384.0,10010.0,15610.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1944.0,20180706T102019_20180706T102022_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
235,202.0,2208.0,1212.0,1260.0,1965.0,1840.0,1702.0,1847.0,1782.0,1835.0,1949.0,1935.0,4915.0,0.0,0.0,2048.0,8.0,200.0,187.0,173.0,1380.0,20180412T102021_20180412T102024_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
236,202.0,9536.0,5767.0,3831.0,10119.0,9610.0,9729.0,9788.0,9408.0,9026.0,10062.0,8852.0,8893.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,376.0,20180119T101331_20180119T101331_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
237,202.0,10227.0,6185.0,4777.0,9685.0,9143.0,8909.0,9208.0,8961.0,8768.0,8435.0,8649.0,9668.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,845.0,20180313T102021_20180313T102540_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
238,202.0,4817.0,2259.0,1611.0,4408.0,3875.0,3684.0,3756.0,3629.0,3648.0,3730.0,3584.0,2443.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,466.0,20180112T102401_20180112T102355_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
239,202.0,4814.0,2181.0,1587.0,4382.0,3873.0,3686.0,3763.0,3634.0,3632.0,3732.0,3609.0,2437.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,461.0,20180112T102401_20180112T102355_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
240,202.0,7089.0,3898.0,3644.0,6984.0,6304.0,6593.0,6930.0,6755.0,6682.0,6924.0,6713.0,8192.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,434.0,20180102T102421_20180102T102420_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
241,202.0,3842.0,4256.0,3535.0,3606.0,3970.0,4184.0,4350.0,4494.0,4488.0,4708.0,4467.0,5292.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1342.0,20180820T102021_20180820T102358_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
242,202.0,2934.0,4130.0,3435.0,3646.0,4016.0,4232.0,4263.0,4400.0,4347.0,4748.0,4352.0,4653.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1350.0,20180820T102021_20180820T102358_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
243,202.0,8610.0,4447.0,3216.0,8504.0,7724.0,7460.0,7621.0,7316.0,7060.0,7344.0,6767.0,7997.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1049.0,20181123T102339_20181123T102334_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
244,202.0,9638.0,2313.0,2540.0,9576.0,9520.0,9520.0,9655.0,9428.0,9364.0,9656.0,9313.0,13521.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,892.0,20180830T102021_20180830T102524_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
245,202.0,10847.0,6132.0,5198.0,9533.0,8667.0,8119.0,8735.0,8338.0,8215.0,7543.0,8020.0,9139.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,674.0,20180315T101019_20180315T101038_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
246,202.0,7730.0,4199.0,2981.0,7752.0,7160.0,7028.0,7270.0,6949.0,6675.0,7016.0,6418.0,7654.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1055.0,20181123T102339_20181123T102334_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
247,202.0,3662.0,1838.0,1689.0,3598.0,3428.0,3172.0,3462.0,3423.0,3323.0,3508.0,3172.0,8097.0,0.0,0.0,2048.0,9.0,255.0,255.0,255.0,1302.0,20181009T102021_20181009T102559_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
248,202.0,10006.0,3756.0,3140.0,10031.0,9738.0,9928.0,10426.0,10241.0,10203.0,10278.0,9997.0,10147.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,607.0,20180328T102019_20180328T102018_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
249,202.0,9900.0,6178.0,4780.0,9334.0,8906.0,8762.0,9090.0,8833.0,8682.0,8332.0,8573.0,9570.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,829.0,20180313T102021_20180313T102540_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
250,202.0,13781.0,6737.0,5194.0,12264.0,11296.0,10744.0,11419.0,10644.0,10381.0,10208.0,9960.0,15460.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1904.0,20180706T102019_20180706T102022_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
251,202.0,9332.0,3460.0,3550.0,7988.0,7408.0,6972.0,7174.0,6911.0,6812.0,6888.0,6748.0,13061.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,821.0,20181026T101111_20181026T101108_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
252,191.0,12467.0,3279.0,3634.0,10895.0,9807.0,9321.0,9626.0,9078.0,8820.0,9231.0,8560.0,15971.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1041.0,20180502T102031_20180502T102434_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
253,190.0,12440.0,3265.0,3633.0,10883.0,9788.0,9305.0,9623.0,9094.0,8821.0,9220.0,8555.0,15968.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1041.0,20180502T102031_20180502T102434_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
254,202.0,9311.0,3483.0,3591.0,7964.0,7408.0,6968.0,7161.0,6988.0,6876.0,6880.0,6687.0,15102.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1042.0,20181026T101111_20181026T101108_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
255,202.0,10289.0,3733.0,3164.0,10036.0,9741.0,9941.0,10448.0,10234.0,10229.0,10303.0,9950.0,10370.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,600.0,20180328T102019_20180328T102018_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
256,202.0,3467.0,1816.0,1693.0,3594.0,3432.0,3168.0,3414.0,3378.0,3281.0,3514.0,3205.0,7661.0,0.0,0.0,2048.0,9.0,255.0,255.0,255.0,1305.0,20181009T102021_20181009T102559_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
257,202.0,10151.0,5907.0,4065.0,10265.0,9701.0,9793.0,9951.0,9667.0,9378.0,10090.0,9179.0,9313.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,363.0,20180119T101331_20180119T101331_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
258,202.0,3011.0,2924.0,2531.0,3160.0,3142.0,3040.0,3161.0,3226.0,3217.0,3354.0,3206.0,4000.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1419.0,20181004T102019_20181004T102018_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
259,202.0,2914.0,2850.0,2442.0,3174.0,3160.0,3030.0,3058.0,3099.0,3080.0,3360.0,3081.0,3828.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1419.0,20181004T102019_20181004T102018_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
260,202.0,6087.0,5061.0,4237.0,5628.0,5252.0,5184.0,6521.0,6268.0,6163.0,6092.0,6134.0,8922.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1437.0,20180613T101019_20180613T101424_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
261,202.0,5842.0,5004.0,4216.0,5436.0,5136.0,5140.0,6182.0,6026.0,6036.0,6020.0,6027.0,8899.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1419.0,20180613T101019_20180613T101424_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
262,202.0,9425.0,5699.0,4897.0,8613.0,8228.0,8046.0,8133.0,8031.0,7945.0,8311.0,7957.0,7568.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,251.0,20180203T101219_20180203T101237_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
263,202.0,879.0,928.0,824.0,812.0,888.0,854.0,970.0,1061.0,1098.0,1210.0,1156.0,2662.0,0.0,0.0,2048.0,8.0,83.0,91.0,87.0,1299.0,20180926T101021_20180926T101020_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
