system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,42.0,38.0,10.0,29.0,13.0,1.0,1.0,18.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,3.0,454.0,20190216T102111_20190216T102131_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
1,65.0,1.0,38.0,25.0,1.0,19.0,5.0,1.0,,16.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,,2.0,1.0,452.0,20190216T102111_20190216T102131_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
2,90.0,242.0,74.0,30.0,350.0,409.0,108.0,102.0,102.0,90.0,98.0,89.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,42.0,11.0,2035.0,20190726T102031_20190726T102028_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
3,90.0,242.0,73.0,38.0,360.0,412.0,105.0,104.0,105.0,92.0,94.0,103.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,42.0,12.0,2024.0,20190726T102031_20190726T102028_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
4,95.0,222.0,106.0,78.0,251.0,308.0,181.0,168.0,168.0,167.0,164.0,123.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,32.0,19.0,682.0,20190407T102021_20190407T102458_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
5,101.0,210.0,108.0,75.0,254.0,309.0,179.0,170.0,164.0,163.0,154.0,137.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,33.0,20.0,699.0,20190407T102021_20190407T102458_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
6,65.0,277.0,88.0,62.0,321.0,308.0,165.0,145.0,154.0,144.0,121.0,93.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,32.0,17.0,700.0,20190419T101029_20190419T101030_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
7,65.0,274.0,87.0,60.0,311.0,307.0,165.0,146.0,145.0,146.0,125.0,105.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,32.0,17.0,708.0,20190419T101029_20190419T101030_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
8,83.0,164.0,66.0,59.0,255.0,306.0,160.0,153.0,148.0,141.0,130.0,99.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,32.0,17.0,712.0,20190402T102029_20190402T102026_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
9,89.0,149.0,66.0,57.0,260.0,293.0,150.0,145.0,146.0,132.0,121.0,105.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,30.0,16.0,724.0,20190402T102029_20190402T102026_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
10,192.0,196.0,50.0,35.0,171.0,258.0,103.0,98.0,58.0,49.0,38.0,36.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,27.0,11.0,1317.0,20190911T101021_20190911T101023_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
11,114.0,231.0,44.0,31.0,141.0,109.0,51.0,13.0,36.0,53.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,12.0,6.0,697.0,20191210T101411_20191210T101409_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
12,186.0,213.0,50.0,38.0,207.0,271.0,116.0,100.0,64.0,57.0,46.0,38.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,28.0,12.0,1316.0,20190911T101021_20190911T101023_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
13,89.0,268.0,76.0,53.0,310.0,312.0,152.0,160.0,147.0,146.0,123.0,127.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,32.0,16.0,588.0,20190409T101029_20190409T101028_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
14,282.0,222.0,91.0,74.0,314.0,409.0,153.0,172.0,119.0,59.0,47.0,131.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,42.0,16.0,2879.0,20190825T102031_20190825T102430_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
15,126.0,206.0,35.0,27.0,75.0,73.0,10.0,25.0,1.0,29.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,2.0,690.0,20191210T101411_20191210T101409_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
