system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,113.0,1.0,76.0,68.0,128.0,160.0,214.0,321.0,149.0,142.0,150.0,124.0,22.0,0.0,0.0,0.0,6.0,13.0,16.0,21.0,304.0,20180208T101151_20180208T101153_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
1,113.0,1.0,75.0,63.0,143.0,164.0,234.0,329.0,148.0,153.0,156.0,135.0,20.0,0.0,0.0,0.0,6.0,14.0,16.0,23.0,302.0,20180208T101151_20180208T101153_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
2,113.0,1789.0,626.0,594.0,2148.0,2075.0,2101.0,2290.0,2096.0,2025.0,2124.0,1931.0,1724.0,0.0,0.0,0.0,11.0,219.0,211.0,214.0,748.0,20180213T101119_20180213T101559_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
3,113.0,1943.0,638.0,594.0,2047.0,2100.0,2101.0,2308.0,2081.0,2017.0,2132.0,1941.0,1862.0,0.0,0.0,0.0,11.0,208.0,214.0,214.0,747.0,20180213T101119_20180213T101559_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
4,167.0,72.0,59.0,70.0,137.0,219.0,216.0,359.0,117.0,108.0,81.0,77.0,1.0,0.0,0.0,0.0,6.0,13.0,22.0,22.0,231.0,20180303T102021_20180303T102019_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
5,202.0,1.0,45.0,64.0,116.0,137.0,158.0,300.0,64.0,43.0,15.0,15.0,1.0,0.0,0.0,0.0,6.0,11.0,13.0,16.0,236.0,20180303T102021_20180303T102019_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
6,125.0,1.0,45.0,46.0,135.0,194.0,217.0,312.0,131.0,128.0,116.0,88.0,36.0,0.0,0.0,0.0,6.0,13.0,19.0,22.0,204.0,20180223T101019_20180223T101508_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
7,95.0,1.0,67.0,63.0,125.0,212.0,131.0,307.0,111.0,102.0,77.0,53.0,1.0,0.0,0.0,0.0,6.0,13.0,22.0,13.0,1018.0,20181014T102019_20181014T102019_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
8,89.0,5.0,69.0,61.0,145.0,224.0,135.0,321.0,119.0,114.0,83.0,67.0,,0.0,0.0,0.0,6.0,15.0,23.0,13.0,1015.0,20181014T102019_20181014T102019_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
9,101.0,95.0,45.0,44.0,142.0,188.0,120.0,262.0,91.0,99.0,64.0,54.0,1.0,0.0,0.0,0.0,6.0,15.0,20.0,13.0,829.0,20181011T101019_20181011T101020_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
