system:index,AOT,B1,B12,B2,B3,B4,B5,B6,B7,B8,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
62,105.0,294.0,38.0,322.0,390.0,255.0,292.0,162.0,164.0,133.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,39.0,25.0,2097.0,20190601T102029_20190601T102031_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
63,84.0,142.0,32.0,146.0,285.0,166.0,332.0,130.0,134.0,112.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,29.0,17.0,1533.0,20190921T101031_20190921T101152_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
64,101.0,1529.0,1975.0,1550.0,1734.0,1806.0,2060.0,2423.0,2667.0,2352.0,25.0,0.0,0.0,0.0,0.0,8.0,158.0,177.0,184.0,1117.0,20190320T101029_20190320T101437_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
65,102.0,9128.0,6578.0,9512.0,9008.0,8848.0,9496.0,9230.0,9069.0,9528.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1675.0,20190718T101039_20190718T101040_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
66,77.0,285.0,63.0,182.0,134.0,98.0,119.0,106.0,101.0,102.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,14.0,10.0,610.0,20190114T101351_20190114T101352_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
67,102.0,8983.0,6404.0,9528.0,8984.0,8856.0,9456.0,9144.0,8960.0,9528.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1687.0,20190718T101039_20190718T101040_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
68,84.0,226.0,92.0,297.0,278.0,190.0,276.0,233.0,257.0,212.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,29.0,19.0,950.0,20191029T102039_20191029T102520_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
69,113.0,191.0,62.0,208.0,294.0,170.0,193.0,142.0,136.0,130.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,30.0,18.0,656.0,20190330T101029_20190330T101153_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
70,107.0,196.0,71.0,228.0,288.0,169.0,207.0,149.0,140.0,132.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,30.0,18.0,657.0,20190330T101029_20190330T101153_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
71,120.0,338.0,74.0,365.0,451.0,279.0,331.0,202.0,218.0,183.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,46.0,29.0,1866.0,20190519T101039_20190519T101033_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
72,84.0,163.0,82.0,257.0,238.0,170.0,227.0,197.0,214.0,176.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,25.0,18.0,952.0,20191029T102039_20191029T102520_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
73,120.0,336.0,71.0,358.0,452.0,281.0,343.0,196.0,214.0,180.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,46.0,29.0,1872.0,20190519T101039_20190519T101033_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
74,126.0,359.0,40.0,430.0,571.0,310.0,519.0,244.0,240.0,185.0,0.0,0.0,0.0,0.0,0.0,6.0,45.0,59.0,32.0,1667.0,20190711T102029_20190711T102032_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
75,108.0,184.0,91.0,216.0,336.0,230.0,350.0,172.0,174.0,153.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,35.0,24.0,1101.0,20190914T102021_20190914T102608_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
76,90.0,109.0,49.0,135.0,110.0,72.0,68.0,28.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,12.0,8.0,914.0,20190529T101039_20190529T101232_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
77,113.0,544.0,251.0,352.0,445.0,351.0,417.0,430.0,469.0,361.0,0.0,0.0,0.0,0.0,2048.0,10.0,36.0,46.0,36.0,1006.0,20190404T101031_20190404T101025_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
78,102.0,186.0,80.0,224.0,347.0,229.0,351.0,177.0,186.0,169.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,36.0,24.0,1102.0,20190914T102021_20190914T102608_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
79,90.0,111.0,71.0,137.0,112.0,73.0,71.0,32.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,12.0,8.0,910.0,20190529T101039_20190529T101232_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
80,132.0,355.0,51.0,425.0,563.0,307.0,518.0,239.0,235.0,188.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,58.0,32.0,1701.0,20190711T102029_20190711T102032_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
81,113.0,524.0,252.0,368.0,447.0,355.0,398.0,389.0,440.0,354.0,0.0,0.0,0.0,0.0,2048.0,10.0,38.0,46.0,37.0,1005.0,20190404T101031_20190404T101025_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
82,246.0,757.0,109.0,640.0,713.0,511.0,494.0,399.0,392.0,309.0,0.0,0.0,0.0,0.0,0.0,6.0,66.0,73.0,52.0,2603.0,20190606T102031_20190606T102358_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
83,154.0,187.0,62.0,230.0,278.0,173.0,190.0,98.0,114.0,89.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,29.0,18.0,886.0,20190228T101029_20190228T101023_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
84,161.0,167.0,63.0,232.0,243.0,167.0,191.0,95.0,108.0,79.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,25.0,17.0,891.0,20190228T101029_20190228T101023_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
85,342.0,1303.0,589.0,1190.0,1054.0,872.0,903.0,792.0,840.0,941.0,5.0,0.0,0.0,0.0,0.0,6.0,121.0,108.0,89.0,3112.0,20190611T102029_20190611T102030_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
86,114.0,413.0,102.0,412.0,411.0,283.0,329.0,277.0,299.0,268.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,41.0,28.0,1903.0,20190701T102029_20190701T102032_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
87,108.0,421.0,99.0,422.0,418.0,293.0,337.0,285.0,309.0,279.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,42.0,29.0,1890.0,20190701T102029_20190701T102032_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
88,342.0,1292.0,570.0,1128.0,1013.0,867.0,900.0,797.0,813.0,872.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,103.0,89.0,3105.0,20190611T102029_20190611T102030_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
89,156.0,749.0,86.0,767.0,844.0,541.0,723.0,439.0,415.0,376.0,0.0,0.0,0.0,0.0,0.0,6.0,78.0,86.0,55.0,2173.0,20190721T102029_20190721T102325_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
90,156.0,752.0,79.0,769.0,819.0,529.0,726.0,454.0,422.0,373.0,0.0,0.0,0.0,0.0,0.0,6.0,80.0,84.0,54.0,2173.0,20190721T102029_20190721T102325_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
91,96.0,41.0,5.0,48.0,163.0,110.0,189.0,79.0,86.0,76.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,17.0,12.0,849.0,20191110T101241_20191110T101236_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
92,102.0,318.0,214.0,261.0,245.0,197.0,221.0,233.0,261.0,225.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,25.0,21.0,618.0,20190507T102031_20190507T102226_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
93,102.0,347.0,256.0,270.0,252.0,201.0,238.0,277.0,318.0,218.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,26.0,21.0,613.0,20190507T102031_20190507T102226_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
94,108.0,4822.0,3971.0,3992.0,3536.0,3182.0,3672.0,4126.0,4514.0,4528.0,99.0,0.0,0.0,0.0,0.0,9.0,255.0,255.0,255.0,1524.0,20190517T102031_20190517T102508_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
95,288.0,319.0,42.0,393.0,515.0,325.0,597.0,327.0,352.0,256.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,53.0,34.0,2712.0,20190830T102029_20190830T102552_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
96,77.0,3121.0,2108.0,3046.0,2576.0,2446.0,2640.0,2703.0,2646.0,2912.0,69.0,0.0,0.0,0.0,1024.0,8.0,255.0,255.0,249.0,599.0,20190102T102429_20190102T102505_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
97,270.0,351.0,113.0,331.0,603.0,335.0,644.0,217.0,209.0,151.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,62.0,35.0,2696.0,20190901T101031_20190901T101134_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
98,292.0,313.0,49.0,410.0,537.0,313.0,585.0,328.0,353.0,250.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,55.0,32.0,2725.0,20190830T102029_20190830T102552_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
99,270.0,367.0,120.0,363.0,588.0,349.0,642.0,240.0,239.0,166.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,60.0,36.0,2687.0,20190901T101031_20190901T101134_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
100,108.0,5001.0,4382.0,4324.0,3626.0,3228.0,4184.0,4678.0,5118.0,4816.0,85.0,0.0,0.0,0.0,0.0,9.0,255.0,255.0,255.0,1521.0,20190517T102031_20190517T102508_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
101,96.0,35.0,9.0,72.0,166.0,115.0,205.0,61.0,102.0,77.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,17.0,12.0,855.0,20191110T101241_20191110T101236_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
102,126.0,329.0,198.0,347.0,405.0,331.0,374.0,298.0,337.0,305.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,42.0,34.0,1748.0,20190618T101029_20190618T101307_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
103,138.0,1786.0,1465.0,854.0,1126.0,838.0,1178.0,1311.0,1466.0,1156.0,5.0,0.0,0.0,0.0,2048.0,10.0,87.0,115.0,86.0,1659.0,20190812T101031_20190812T101028_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
104,96.0,1130.0,1520.0,1456.0,1372.0,1172.0,1382.0,1733.0,1882.0,2114.0,11.0,0.0,0.0,0.0,2048.0,8.0,148.0,140.0,120.0,2045.0,20190810T102029_20190810T102030_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
105,77.0,3159.0,2129.0,3018.0,2532.0,2442.0,2688.0,2750.0,2707.0,2944.0,71.0,0.0,0.0,0.0,1024.0,8.0,255.0,255.0,249.0,592.0,20190102T102429_20190102T102505_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
106,96.0,1127.0,1535.0,1466.0,1344.0,1138.0,1360.0,1752.0,1871.0,2114.0,8.0,0.0,0.0,0.0,2048.0,8.0,149.0,137.0,116.0,2041.0,20190810T102029_20190810T102030_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
107,240.0,14399.0,6319.0,12640.0,11608.0,10824.0,11523.0,11112.0,10902.0,11672.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2126.0,20190802T101031_20190802T101344_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
108,126.0,333.0,187.0,326.0,405.0,331.0,368.0,294.0,331.0,309.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,42.0,34.0,1759.0,20190618T101029_20190618T101307_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
109,126.0,2019.0,1483.0,874.0,1154.0,822.0,1230.0,1279.0,1730.0,1202.0,4.0,0.0,0.0,0.0,2048.0,10.0,89.0,118.0,84.0,1656.0,20190812T101031_20190812T101028_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
110,240.0,14167.0,6470.0,12696.0,11768.0,11000.0,11897.0,11350.0,11113.0,11832.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2140.0,20190802T101031_20190802T101344_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
111,148.0,2550.0,1979.0,1766.0,1716.0,1690.0,2097.0,2243.0,2352.0,2020.0,34.0,0.0,0.0,0.0,0.0,8.0,180.0,175.0,172.0,1219.0,20190221T102039_20190221T102520_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
112,84.0,303.0,448.0,358.0,474.0,346.0,551.0,592.0,652.0,713.0,0.0,0.0,0.0,0.0,0.0,10.0,37.0,49.0,36.0,795.0,20191006T101029_20191006T101025_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
113,119.0,2789.0,1003.0,3040.0,2980.0,3086.0,3179.0,3097.0,3115.0,3232.0,0.0,40.0,0.0,0.0,0.0,11.0,255.0,255.0,255.0,563.0,20190122T102329_20190122T102330_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
114,65.0,152.0,394.0,294.0,333.0,279.0,382.0,342.0,380.0,481.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,34.0,29.0,769.0,20190313T102019_20190313T102552_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
115,126.0,200.0,156.0,282.0,405.0,270.0,434.0,251.0,258.0,240.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,42.0,28.0,933.0,20190919T102019_20190919T102022_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
116,143.0,2356.0,1933.0,1802.0,1740.0,1698.0,2057.0,2219.0,2303.0,2038.0,35.0,0.0,0.0,0.0,0.0,8.0,184.0,177.0,173.0,1198.0,20190221T102039_20190221T102520_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
117,65.0,142.0,357.0,295.0,338.0,271.0,379.0,332.0,350.0,487.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,35.0,28.0,768.0,20190313T102019_20190313T102552_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
118,119.0,2832.0,1022.0,3106.0,3040.0,3110.0,3256.0,3186.0,3135.0,3286.0,0.0,43.0,0.0,0.0,0.0,11.0,255.0,255.0,255.0,569.0,20190122T102329_20190122T102330_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
119,84.0,309.0,455.0,362.0,471.0,351.0,556.0,564.0,632.0,720.0,0.0,0.0,0.0,0.0,0.0,10.0,37.0,48.0,36.0,795.0,20191006T101029_20191006T101025_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
120,149.0,364.0,80.0,413.0,457.0,318.0,378.0,285.0,275.0,228.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,47.0,33.0,1261.0,20190323T102029_20190323T102023_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
121,120.0,6085.0,4512.0,5492.0,5576.0,5404.0,6028.0,6133.0,6263.0,5972.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2168.0,20190926T101029_20190926T101317_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
122,138.0,173.0,150.0,267.0,390.0,256.0,420.0,231.0,229.0,215.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,39.0,27.0,930.0,20190919T102019_20190919T102022_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
123,160.0,351.0,78.0,413.0,443.0,305.0,370.0,262.0,260.0,228.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,46.0,31.0,1268.0,20190323T102029_20190323T102023_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
124,126.0,5900.0,4493.0,5296.0,5528.0,5424.0,5936.0,6062.0,6173.0,5856.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2151.0,20190926T101029_20190926T101317_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
125,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,20190914T102021_20190914T102022_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
126,138.0,3393.0,2988.0,2666.0,2648.0,2540.0,2992.0,3217.0,3514.0,3646.0,83.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1615.0,20190628T101039_20190628T101033_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
127,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,20190914T102021_20190914T102022_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
128,77.0,3022.0,2769.0,3200.0,2978.0,2954.0,3288.0,3430.0,3480.0,3638.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1024.0,20190208T101159_20190208T101158_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
129,114.0,3332.0,2943.0,2480.0,2524.0,2442.0,2779.0,3215.0,3450.0,3510.0,69.0,0.0,0.0,0.0,1024.0,8.0,252.0,255.0,249.0,1636.0,20190628T101039_20190628T101033_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
130,119.0,262.0,319.0,241.0,330.0,278.0,366.0,328.0,358.0,365.0,0.0,0.0,0.0,0.0,2048.0,10.0,25.0,34.0,29.0,743.0,20190223T101021_20190223T101031_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
131,89.0,2864.0,2694.0,3260.0,3066.0,2976.0,3389.0,3500.0,3510.0,3724.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1023.0,20190208T101159_20190208T101158_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
132,113.0,249.0,331.0,261.0,303.0,272.0,327.0,354.0,362.0,331.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,31.0,28.0,1475.0,20190226T102021_20190226T102019_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
133,119.0,259.0,324.0,239.0,335.0,283.0,381.0,335.0,359.0,368.0,0.0,0.0,0.0,0.0,2048.0,10.0,25.0,35.0,29.0,736.0,20190223T101021_20190223T101031_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
134,101.0,437.0,157.0,357.0,380.0,299.0,347.0,210.0,228.0,217.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,39.0,31.0,762.0,20190305T101021_20190305T101019_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
135,101.0,445.0,142.0,355.0,383.0,305.0,345.0,220.0,221.0,233.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,39.0,31.0,767.0,20190305T101021_20190305T101019_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
136,154.0,150.0,345.0,185.0,221.0,204.0,276.0,312.0,339.0,252.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,23.0,21.0,1524.0,20190226T102021_20190226T102019_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
137,138.0,7657.0,2603.0,6844.0,6220.0,5864.0,5939.0,5736.0,5756.0,5580.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1296.0,20190916T101029_20190916T101024_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
138,348.0,1001.0,516.0,893.0,992.0,832.0,915.0,852.0,862.0,824.0,5.0,0.0,0.0,0.0,2048.0,10.0,91.0,101.0,85.0,1385.0,20190524T101031_20190524T101129_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
139,252.0,383.0,164.0,405.0,454.0,350.0,375.0,202.0,217.0,180.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,48.0,37.0,1881.0,20190621T102029_20190621T102031_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
140,138.0,7663.0,2573.0,6788.0,6208.0,5880.0,5933.0,5706.0,5742.0,5540.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1295.0,20190916T101029_20190916T101024_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
141,282.0,318.0,156.0,371.0,424.0,326.0,359.0,149.0,156.0,120.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,44.0,34.0,1870.0,20190621T102029_20190621T102031_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
142,432.0,896.0,511.0,791.0,905.0,764.0,860.0,716.0,729.0,682.0,5.0,0.0,0.0,0.0,2048.0,10.0,81.0,92.0,78.0,1387.0,20190524T101031_20190524T101129_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
143,166.0,651.0,545.0,792.0,624.0,659.0,709.0,739.0,697.0,785.0,0.0,0.0,0.0,0.0,2048.0,8.0,81.0,64.0,67.0,652.0,20190119T101339_20190119T101338_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
144,102.0,2840.0,2333.0,3034.0,2986.0,2712.0,3081.0,3105.0,3103.0,3364.0,93.0,0.0,0.0,0.0,2048.0,9.0,255.0,255.0,255.0,1021.0,20191128T102259_20191128T102255_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
