system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_R,WVP,id,lake,lat,lon,.geo
0,113.0,1.0,56.0,22.0,1.0,1.0,16.0,33.0,1.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,304.0,20180208T101151_20180208T101153_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
1,113.0,1.0,58.0,19.0,1.0,1.0,13.0,36.0,1.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,302.0,20180208T101151_20180208T101153_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
2,119.0,31.0,58.0,58.0,121.0,89.0,73.0,64.0,52.0,58.0,42.0,31.0,1.0,0.0,0.0,0.0,6.0,7.0,614.0,20180213T101119_20180213T101118_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
3,167.0,76.0,41.0,33.0,140.0,189.0,108.0,73.0,20.0,17.0,19.0,49.0,12.0,0.0,0.0,0.0,6.0,11.0,231.0,20180303T102021_20180303T102019_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
4,202.0,1.0,23.0,26.0,75.0,93.0,40.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,236.0,20180303T102021_20180303T102019_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
5,125.0,1.0,24.0,38.0,29.0,79.0,32.0,32.0,2.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,204.0,20180223T101019_20180223T101508_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
6,95.0,23.0,44.0,50.0,125.0,154.0,92.0,102.0,51.0,66.0,54.0,47.0,4.0,0.0,0.0,0.0,6.0,10.0,1018.0,20181014T102019_20181014T102019_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
7,89.0,30.0,47.0,52.0,162.0,147.0,106.0,107.0,69.0,80.0,62.0,61.0,3.0,0.0,0.0,0.0,6.0,11.0,1015.0,20181014T102019_20181014T102019_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
8,101.0,145.0,39.0,39.0,172.0,152.0,107.0,109.0,53.0,70.0,46.0,33.0,2.0,0.0,0.0,0.0,6.0,11.0,829.0,20181011T101019_20181011T101020_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
9,95.0,167.0,41.0,41.0,181.0,168.0,110.0,110.0,61.0,73.0,53.0,39.0,7.0,0.0,0.0,0.0,6.0,12.0,826.0,20181011T101019_20181011T101020_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
10,119.0,1.0,27.0,39.0,51.0,88.0,40.0,48.0,12.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,202.0,20180223T101019_20180223T101508_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
11,113.0,304.0,55.0,38.0,201.0,107.0,78.0,77.0,13.0,47.0,5.0,16.0,1.0,0.0,0.0,0.0,6.0,8.0,827.0,20181205T101401_20181205T101359_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
12,113.0,309.0,59.0,40.0,200.0,112.0,90.0,85.0,19.0,51.0,20.0,19.0,1.0,0.0,0.0,0.0,6.0,10.0,837.0,20181205T101401_20181205T101359_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
13,119.0,147.0,20.0,5.0,131.0,127.0,99.0,73.0,30.0,16.0,12.0,6.0,2.0,0.0,0.0,0.0,10.0,12.0,513.0,20181128T102351_20181128T102346_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
14,89.0,215.0,31.0,10.0,180.0,172.0,142.0,130.0,99.0,77.0,68.0,57.0,1.0,0.0,0.0,0.0,10.0,15.0,505.0,20181128T102351_20181128T102346_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
15,154.0,148.0,217.0,153.0,206.0,315.0,243.0,285.0,279.0,291.0,288.0,280.0,309.0,0.0,0.0,0.0,6.0,24.0,1132.0,20180409T101031_20180409T101343_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
16,155.0,140.0,217.0,154.0,210.0,315.0,236.0,282.0,278.0,291.0,293.0,279.0,314.0,0.0,0.0,0.0,6.0,24.0,1128.0,20180409T101031_20180409T101343_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
17,95.0,1.0,79.0,68.0,153.0,302.0,179.0,206.0,109.0,132.0,106.0,99.0,97.0,0.0,0.0,0.0,6.0,19.0,1514.0,20180822T101019_20180822T101321_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
18,95.0,1.0,80.0,67.0,155.0,302.0,182.0,207.0,111.0,135.0,109.0,101.0,102.0,0.0,0.0,0.0,6.0,19.0,1499.0,20180822T101019_20180822T101321_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
19,65.0,75.0,101.0,94.0,240.0,284.0,173.0,146.0,130.0,145.0,136.0,123.0,89.0,0.0,0.0,0.0,6.0,17.0,1253.0,20180507T102019_20180507T102022_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
20,101.0,87.0,92.0,55.0,165.0,446.0,214.0,252.0,118.0,129.0,112.0,102.0,84.0,0.0,0.0,0.0,6.0,22.0,1680.0,20180807T101021_20180807T101024_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
21,95.0,96.0,94.0,54.0,169.0,445.0,215.0,256.0,127.0,141.0,121.0,106.0,81.0,0.0,0.0,0.0,6.0,22.0,1679.0,20180807T101021_20180807T101024_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
22,65.0,59.0,101.0,95.0,200.0,266.0,173.0,142.0,131.0,146.0,135.0,122.0,83.0,0.0,0.0,0.0,6.0,17.0,1242.0,20180507T102019_20180507T102022_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
23,65.0,97.0,101.0,73.0,135.0,234.0,164.0,166.0,147.0,170.0,152.0,150.0,117.0,0.0,0.0,0.0,6.0,16.0,1598.0,20180429T101031_20180429T101258_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
24,71.0,119.0,87.0,93.0,179.0,246.0,123.0,119.0,79.0,102.0,77.0,81.0,47.0,0.0,0.0,0.0,6.0,13.0,1154.0,20180606T102019_20180606T102512_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
25,71.0,120.0,113.0,109.0,187.0,258.0,168.0,159.0,137.0,136.0,137.0,123.0,97.0,0.0,0.0,0.0,6.0,18.0,1344.0,20180529T101031_20180529T101225_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
26,59.0,17.0,79.0,65.0,107.0,198.0,137.0,131.0,126.0,145.0,138.0,129.0,162.0,0.0,0.0,0.0,6.0,13.0,780.0,20180504T101029_20180504T101023_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
27,166.0,144.0,116.0,91.0,228.0,320.0,236.0,257.0,218.0,239.0,215.0,196.0,226.0,0.0,0.0,0.0,6.0,24.0,1500.0,20180419T101031_20180419T101457_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
28,104.0,209.0,95.0,77.0,293.0,460.0,247.0,264.0,215.0,229.0,202.0,201.0,129.0,0.0,0.0,0.0,6.0,26.0,1430.0,20180608T101021_20180608T101024_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
