system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_R,WVP,id,lake,lat,lon,.geo
29,65.0,88.0,101.0,72.0,137.0,243.0,164.0,165.0,146.0,168.0,151.0,151.0,107.0,0.0,0.0,0.0,6.0,16.0,1601.0,20180429T101031_20180429T101258_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
30,77.0,107.0,111.0,106.0,180.0,261.0,167.0,151.0,125.0,127.0,123.0,114.0,97.0,0.0,0.0,0.0,6.0,17.0,1374.0,20180529T101031_20180529T101225_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
31,71.0,109.0,91.0,100.0,187.0,250.0,132.0,122.0,80.0,99.0,75.0,85.0,33.0,0.0,0.0,0.0,6.0,14.0,1177.0,20180606T102019_20180606T102512_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
32,107.0,196.0,95.0,76.0,278.0,456.0,243.0,264.0,213.0,227.0,199.0,195.0,116.0,0.0,0.0,0.0,6.0,25.0,1430.0,20180608T101021_20180608T101024_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
33,173.0,126.0,114.0,89.0,190.0,311.0,233.0,255.0,209.0,228.0,208.0,186.0,216.0,0.0,0.0,0.0,6.0,23.0,1491.0,20180419T101031_20180419T101457_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
34,59.0,5.0,79.0,63.0,127.0,201.0,140.0,128.0,124.0,144.0,137.0,128.0,165.0,0.0,0.0,0.0,6.0,14.0,804.0,20180504T101029_20180504T101023_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
35,142.0,91.0,175.0,160.0,168.0,312.0,222.0,205.0,188.0,203.0,188.0,194.0,188.0,0.0,0.0,0.0,6.0,22.0,1780.0,20180509T101031_20180509T101027_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
36,125.0,307.0,113.0,97.0,356.0,732.0,361.0,367.0,167.0,169.0,139.0,141.0,50.0,0.0,0.0,0.0,6.0,36.0,2504.0,20180731T102021_20180731T102024_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
37,83.0,55.0,60.0,50.0,86.0,185.0,102.0,116.0,52.0,51.0,27.0,30.0,2.0,0.0,0.0,0.0,6.0,11.0,1665.0,20180909T102021_20180909T102205_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
38,83.0,62.0,58.0,50.0,100.0,187.0,101.0,120.0,53.0,54.0,41.0,40.0,,0.0,0.0,0.0,6.0,11.0,1658.0,20180909T102021_20180909T102205_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
39,131.0,281.0,109.0,95.0,350.0,735.0,352.0,362.0,157.0,157.0,127.0,128.0,39.0,0.0,0.0,0.0,6.0,36.0,2509.0,20180731T102021_20180731T102024_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
40,149.0,85.0,173.0,158.0,172.0,315.0,216.0,201.0,178.0,190.0,178.0,183.0,179.0,0.0,0.0,0.0,3.0,22.0,1794.0,20180509T101031_20180509T101027_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
41,77.0,103.0,76.0,59.0,144.0,146.0,83.0,119.0,17.0,47.0,39.0,37.0,1.0,0.0,0.0,0.0,6.0,9.0,1311.0,20181021T101039_20181021T101201_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
42,77.0,97.0,77.0,62.0,138.0,140.0,85.0,119.0,17.0,47.0,41.0,38.0,1.0,0.0,0.0,0.0,6.0,9.0,1315.0,20181021T101039_20181021T101201_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
43,185.0,57.0,69.0,62.0,128.0,246.0,127.0,167.0,82.0,85.0,67.0,64.0,36.0,0.0,0.0,0.0,6.0,13.0,1954.0,20180906T101021_20180906T101022_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
44,83.0,140.0,130.0,110.0,242.0,302.0,221.0,213.0,207.0,230.0,208.0,199.0,193.0,0.0,0.0,0.0,6.0,22.0,1330.0,20180514T101029_20180514T101052_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
45,83.0,127.0,131.0,110.0,242.0,304.0,227.0,211.0,205.0,229.0,207.0,200.0,189.0,0.0,0.0,0.0,6.0,23.0,1340.0,20180514T101029_20180514T101052_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
46,184.0,63.0,70.0,62.0,116.0,250.0,129.0,164.0,87.0,89.0,74.0,76.0,32.0,0.0,0.0,0.0,6.0,14.0,1964.0,20180906T101021_20180906T101022_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
47,137.0,175.0,129.0,100.0,392.0,873.0,424.0,430.0,243.0,269.0,208.0,201.0,86.0,0.0,0.0,0.0,6.0,43.0,2632.0,20180726T102019_20180726T102150_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
48,131.0,180.0,133.0,103.0,393.0,865.0,413.0,427.0,250.0,276.0,214.0,209.0,85.0,0.0,0.0,0.0,6.0,42.0,2656.0,20180726T102019_20180726T102150_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
49,155.0,130.0,79.0,73.0,151.0,255.0,152.0,165.0,95.0,91.0,95.0,79.0,16.0,0.0,0.0,0.0,6.0,15.0,2215.0,20180919T102021_20180919T102018_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
50,107.0,4.0,87.0,71.0,147.0,207.0,149.0,201.0,140.0,143.0,130.0,105.0,81.0,0.0,0.0,0.0,6.0,15.0,989.0,20180417T102019_20180417T102021_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
51,95.0,3012.0,4186.0,3337.0,3419.0,3713.0,3657.0,3876.0,4646.0,4897.0,5490.0,5041.0,7011.0,0.0,0.0,0.0,9.0,255.0,1102.0,20180522T102031_20180522T102025_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
52,95.0,40.0,31.0,28.0,225.0,468.0,215.0,204.0,51.0,54.0,52.0,25.0,,0.0,0.0,0.0,6.0,21.0,1950.0,20180716T102019_20180716T102549_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
53,113.0,1.0,85.0,69.0,139.0,195.0,149.0,193.0,130.0,137.0,121.0,97.0,81.0,0.0,0.0,0.0,6.0,15.0,1006.0,20180417T102019_20180417T102021_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
54,89.0,2406.0,4144.0,3284.0,3469.0,3687.0,3609.0,3816.0,4580.0,4838.0,5478.0,4945.0,6002.0,0.0,0.0,0.0,9.0,255.0,1117.0,20180522T102031_20180522T102025_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
55,196.0,179.0,187.0,157.0,163.0,211.0,177.0,186.0,143.0,142.0,118.0,139.0,57.0,0.0,0.0,0.0,6.0,18.0,1657.0,20181016T101021_20181016T101021_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
56,191.0,210.0,184.0,160.0,197.0,217.0,180.0,187.0,149.0,155.0,126.0,147.0,68.0,0.0,0.0,0.0,6.0,19.0,1653.0,20181016T101021_20181016T101021_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
57,148.0,141.0,79.0,75.0,150.0,258.0,158.0,174.0,104.0,99.0,93.0,89.0,37.0,0.0,0.0,0.0,6.0,15.0,2194.0,20180919T102021_20180919T102018_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
58,95.0,34.0,34.0,28.0,233.0,487.0,218.0,202.0,50.0,52.0,50.0,23.0,1.0,0.0,0.0,0.0,6.0,23.0,1932.0,20180716T102019_20180716T102549_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
59,71.0,125.0,45.0,48.0,256.0,480.0,222.0,204.0,81.0,99.0,74.0,55.0,54.0,0.0,0.0,0.0,6.0,23.0,1154.0,20180703T101029_20180703T101023_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
60,95.0,170.0,116.0,101.0,292.0,440.0,241.0,240.0,182.0,191.0,175.0,169.0,87.0,0.0,0.0,0.0,6.0,25.0,1868.0,20180723T101019_20180723T101036_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
61,101.0,170.0,127.0,110.0,282.0,431.0,233.0,237.0,189.0,209.0,160.0,183.0,135.0,0.0,0.0,0.0,6.0,24.0,1891.0,20180723T101019_20180723T101036_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
62,71.0,122.0,43.0,47.0,254.0,484.0,233.0,203.0,80.0,96.0,73.0,55.0,54.0,0.0,0.0,0.0,6.0,24.0,1142.0,20180703T101029_20180703T101023_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
63,113.0,1.0,5.0,24.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,,309.0,20180206T102209_20180206T102206_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
64,113.0,1.0,1.0,23.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,313.0,20180206T102209_20180206T102206_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
65,95.0,262.0,157.0,144.0,480.0,889.0,473.0,445.0,200.0,193.0,164.0,185.0,129.0,0.0,0.0,0.0,6.0,50.0,1526.0,20180611T102021_20180611T102022_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
66,83.0,1227.0,2227.0,1732.0,1824.0,1746.0,1719.0,2127.0,2227.0,2300.0,2189.0,2325.0,1369.0,0.0,0.0,0.0,8.0,175.0,618.0,20180402T102021_20180402T102435_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
67,83.0,1259.0,2132.0,1636.0,1695.0,1645.0,1594.0,2015.0,2120.0,2191.0,2061.0,2180.0,1425.0,0.0,0.0,0.0,8.0,162.0,613.0,20180402T102021_20180402T102435_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
68,95.0,246.0,155.0,141.0,473.0,883.0,473.0,437.0,197.0,196.0,162.0,188.0,139.0,0.0,0.0,0.0,6.0,49.0,1519.0,20180611T102021_20180611T102022_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
69,71.0,248.0,74.0,89.0,204.0,239.0,176.0,157.0,90.0,58.0,66.0,71.0,104.0,0.0,0.0,0.0,6.0,18.0,1105.0,20180929T102021_20180929T102019_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
70,113.0,2600.0,3430.0,3367.0,2560.0,2649.0,2839.0,3211.0,3376.0,3350.0,3295.0,3368.0,4184.0,0.0,0.0,0.0,9.0,255.0,648.0,20180216T102059_20180216T102102_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
71,113.0,2673.0,3442.0,3424.0,2580.0,2636.0,2831.0,3232.0,3416.0,3402.0,3287.0,3426.0,4370.0,0.0,0.0,0.0,9.0,255.0,652.0,20180216T102059_20180216T102102_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
72,77.0,251.0,72.0,92.0,209.0,222.0,164.0,160.0,92.0,56.0,60.0,63.0,121.0,0.0,0.0,0.0,6.0,17.0,1111.0,20180929T102021_20180929T102019_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
73,95.0,239.0,171.0,143.0,353.0,381.0,304.0,311.0,281.0,316.0,271.0,251.0,212.0,0.0,0.0,0.0,3.0,31.0,1019.0,20180427T102019_20180427T102022_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
74,101.0,251.0,175.0,142.0,356.0,379.0,303.0,308.0,272.0,309.0,268.0,243.0,227.0,0.0,0.0,0.0,3.0,30.0,1014.0,20180427T102019_20180427T102022_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
75,107.0,718.0,880.0,727.0,857.0,980.0,801.0,948.0,1270.0,1455.0,1514.0,1480.0,2271.0,0.0,0.0,2048.0,10.0,82.0,1429.0,20180524T101019_20180524T101022_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
76,208.0,134.0,53.0,45.0,296.0,499.0,273.0,262.0,70.0,80.0,44.0,33.0,8.0,0.0,0.0,0.0,6.0,28.0,2292.0,20180713T101029_20180713T101023_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
77,119.0,115.0,38.0,48.0,140.0,44.0,18.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,6.0,1.0,570.0,20180201T102241_20180201T102237_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
78,113.0,711.0,881.0,724.0,851.0,959.0,792.0,945.0,1266.0,1447.0,1520.0,1477.0,2352.0,0.0,0.0,2048.0,10.0,81.0,1447.0,20180524T101019_20180524T101022_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
79,208.0,133.0,54.0,47.0,281.0,504.0,273.0,264.0,72.0,85.0,48.0,38.0,2.0,0.0,0.0,0.0,6.0,28.0,2307.0,20180713T101029_20180713T101023_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
80,166.0,1291.0,193.0,172.0,1242.0,1015.0,800.0,679.0,556.0,527.0,758.0,479.0,675.0,0.0,0.0,0.0,6.0,81.0,212.0,20180228T101021_20180228T101021_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
81,119.0,93.0,36.0,45.0,113.0,44.0,18.0,1.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,6.0,1.0,563.0,20180201T102241_20180201T102237_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
82,119.0,106.0,214.0,166.0,354.0,437.0,307.0,288.0,279.0,271.0,640.0,275.0,389.0,0.0,0.0,0.0,6.0,31.0,1066.0,20180422T102031_20180422T102115_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
83,167.0,1304.0,183.0,163.0,1200.0,986.0,727.0,651.0,532.0,500.0,716.0,456.0,695.0,0.0,0.0,0.0,6.0,74.0,212.0,20180228T101021_20180228T101021_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
84,167.0,395.0,112.0,80.0,486.0,310.0,210.0,176.0,149.0,160.0,170.0,150.0,31.0,0.0,0.0,0.0,6.0,21.0,407.0,20180114T101349_20180114T101347_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
