system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
135,108.0,8671.0,6035.0,5363.0,9288.0,8544.0,7956.0,7988.0,7639.0,7464.0,8488.0,7252.0,12163.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,996.0,20200516T101559_20200516T102113_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
136,186.0,188.0,369.0,321.0,334.0,422.0,383.0,543.0,493.0,528.0,518.0,500.0,1377.0,0.0,0.0,0.0,0.0,2048.0,10.0,35.0,43.0,38.0,2165.0,20200913T101629_20200913T102037_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
137,180.0,197.0,367.0,324.0,340.0,434.0,374.0,548.0,501.0,526.0,525.0,512.0,1375.0,0.0,0.0,0.0,0.0,2048.0,10.0,35.0,45.0,38.0,2159.0,20200913T101629_20200913T102037_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
138,108.0,5660.0,4258.0,3589.0,6356.0,5728.0,5192.0,5511.0,5473.0,5573.0,6224.0,5491.0,9020.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1764.0,20200804T101559_20200804T101730_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
139,216.0,5211.0,3003.0,2628.0,4220.0,4080.0,3882.0,4542.0,4999.0,5040.0,4556.0,4864.0,13863.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1337.0,20201025T101121_20201025T101419_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
140,102.0,5772.0,4654.0,4370.0,6132.0,5684.0,5064.0,5169.0,5278.0,5401.0,6280.0,5429.0,8641.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,895.0,20200513T100559_20200513T101020_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
141,108.0,5716.0,4097.0,3473.0,6132.0,5428.0,4900.0,5102.0,5256.0,5387.0,5992.0,5396.0,9085.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1747.0,20200804T101559_20200804T101730_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
142,204.0,5199.0,2999.0,2611.0,4152.0,4034.0,3816.0,4411.0,4939.0,4980.0,4536.0,4861.0,13845.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1328.0,20201025T101121_20201025T101419_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
143,96.0,5706.0,4990.0,4508.0,6200.0,5772.0,5284.0,5698.0,5691.0,5668.0,6348.0,5583.0,8609.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,900.0,20200513T100559_20200513T101020_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
144,102.0,9818.0,5585.0,4982.0,9784.0,9440.0,9408.0,9921.0,9651.0,9431.0,9976.0,9218.0,14251.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,863.0,20201129T101359_20201129T101355_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
