system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
219,204.0,9540.0,7075.0,5656.0,10304.0,10104.0,10456.0,10957.0,10626.0,10478.0,10832.0,10444.0,11676.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,808.0,20210106T102411_20210106T102530_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
220,204.0,7623.0,3868.0,3539.0,7188.0,6588.0,6768.0,6925.0,6905.0,6784.0,7120.0,6728.0,8067.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,287.0,20211209T101411_20211209T101415_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
221,204.0,4692.0,2512.0,2513.0,4860.0,4152.0,3110.0,3535.0,3815.0,4029.0,5036.0,4221.0,12762.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1889.0,20210615T102021_20210615T102602_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
222,204.0,10065.0,3407.0,3320.0,9280.0,9024.0,8464.0,8290.0,7987.0,7858.0,8248.0,7688.0,11230.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,481.0,20211107T102129_20211107T102157_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
223,120.0,8278.0,4830.0,3945.0,5760.0,5856.0,6432.0,7124.0,7091.0,7029.0,5904.0,7020.0,15583.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2136.0,20210705T102031_20210705T102026_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
224,132.0,8268.0,4750.0,4390.0,7796.0,7436.0,7116.0,7418.0,7099.0,6964.0,7012.0,6695.0,13393.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,948.0,20211117T102219_20211117T102218_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
225,204.0,10384.0,3410.0,3630.0,10592.0,10224.0,10000.0,10247.0,9803.0,9502.0,10368.0,9194.0,15359.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,456.0,20211104T101109_20211104T101445_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
226,114.0,5719.0,5809.0,6213.0,5876.0,5796.0,6056.0,6358.0,6130.0,6047.0,6376.0,6051.0,10695.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1079.0,20211207T102319_20211207T102344_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
227,204.0,2522.0,1590.0,1309.0,2504.0,1914.0,1642.0,1780.0,1861.0,2001.0,2136.0,2063.0,3142.0,28.0,0.0,0.0,0.0,1024.0,8.0,255.0,195.0,167.0,2323.0,20210925T101019_20210925T101413_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
228,204.0,7999.0,3437.0,2766.0,7680.0,6756.0,6232.0,6369.0,6007.0,5903.0,6012.0,5850.0,7759.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1697.0,20211119T101321_20211119T101416_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
229,204.0,9855.0,3416.0,3290.0,9232.0,8872.0,8400.0,8292.0,7973.0,7821.0,8304.0,7620.0,10988.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,481.0,20211107T102129_20211107T102157_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
230,204.0,10982.0,8430.0,6937.0,10624.0,10576.0,10696.0,10783.0,10553.0,10503.0,11024.0,10557.0,9342.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,546.0,20210304T101021_20210304T101415_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
231,132.0,6206.0,3058.0,3067.0,5844.0,5536.0,5444.0,5683.0,5591.0,5494.0,5888.0,5318.0,10942.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,522.0,20211127T102259_20211127T102319_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
232,204.0,6794.0,3542.0,2609.0,6992.0,6596.0,6796.0,6865.0,6756.0,6725.0,6944.0,6720.0,6399.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,521.0,20210101T102329_20210101T102357_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
233,204.0,6910.0,3556.0,2612.0,6876.0,6712.0,6744.0,6932.0,6807.0,6743.0,7064.0,6723.0,6493.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,521.0,20210101T102329_20210101T102357_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
234,126.0,8045.0,4733.0,4366.0,7660.0,7216.0,7020.0,7310.0,6989.0,6887.0,6988.0,6661.0,12903.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,913.0,20211117T102219_20211117T102218_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
235,204.0,11224.0,8469.0,6984.0,10704.0,10544.0,10664.0,10930.0,10698.0,10620.0,10936.0,10618.0,9937.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,596.0,20210304T101021_20210304T101415_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
236,204.0,8379.0,3460.0,3174.0,6708.0,6588.0,6576.0,7042.0,6920.0,6819.0,6456.0,6776.0,10533.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,778.0,20210202T101231_20210202T101415_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
237,204.0,8228.0,3473.0,2847.0,7968.0,6984.0,6352.0,6528.0,6129.0,6022.0,6084.0,5952.0,8935.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1889.0,20211119T101321_20211119T101416_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
238,204.0,7157.0,3385.0,2530.0,6968.0,5980.0,5556.0,5529.0,5405.0,5296.0,5856.0,5189.0,7113.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,855.0,20211204T101309_20211204T101309_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
239,204.0,7444.0,3398.0,2554.0,7084.0,6124.0,5664.0,5639.0,5502.0,5401.0,5944.0,5301.0,7204.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,860.0,20211204T101309_20211204T101309_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
240,204.0,6497.0,4283.0,3384.0,6352.0,5804.0,5704.0,5834.0,5648.0,5584.0,5976.0,5509.0,5591.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,584.0,20210317T102021_20210317T102420_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
241,204.0,6565.0,4298.0,3399.0,6452.0,5844.0,5776.0,5818.0,5638.0,5607.0,6048.0,5509.0,5498.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,545.0,20210317T102021_20210317T102420_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
242,204.0,10461.0,7212.0,5984.0,10696.0,10000.0,9504.0,10478.0,10084.0,9843.0,9360.0,9337.0,16199.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1598.0,20211114T101159_20211114T101201_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
243,204.0,8135.0,3452.0,3150.0,6708.0,6608.0,6728.0,6979.0,6879.0,6815.0,6484.0,6812.0,9701.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,707.0,20210202T101231_20210202T101415_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
244,204.0,10024.0,3403.0,3586.0,10296.0,10040.0,9768.0,9980.0,9623.0,9418.0,10312.0,9169.0,15089.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,335.0,20211104T101109_20211104T101445_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
245,204.0,9327.0,6966.0,5153.0,9656.0,9456.0,9280.0,9848.0,9561.0,9558.0,9408.0,9359.0,13068.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2863.0,20210717T100559_20210717T101305_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
246,204.0,8215.0,2202.0,2358.0,8312.0,8072.0,8056.0,8400.0,8067.0,7720.0,8400.0,7597.0,13238.0,0.0,100.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,775.0,20210103T101411_20210103T101417_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
247,132.0,12439.0,5870.0,4314.0,11752.0,11144.0,10896.0,11071.0,10655.0,10511.0,10960.0,10263.0,13760.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,746.0,20210612T101031_20210612T101329_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
248,174.0,2796.0,3274.0,3059.0,2990.0,3000.0,2962.0,3221.0,3499.0,3669.0,3828.0,3721.0,5580.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1990.0,20210819T101559_20210819T101556_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
249,204.0,9895.0,7300.0,5795.0,10560.0,9864.0,9504.0,10590.0,10118.0,9698.0,9624.0,9086.0,16151.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1605.0,20211114T101159_20211114T101201_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
250,168.0,2810.0,3302.0,3078.0,3000.0,2968.0,2928.0,3221.0,3518.0,3687.0,3846.0,3728.0,5761.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1970.0,20210819T101559_20210819T101556_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
251,132.0,11777.0,5855.0,4290.0,11312.0,10888.0,10672.0,10833.0,10510.0,10419.0,10928.0,10177.0,12926.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,668.0,20210612T101031_20210612T101329_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
252,204.0,8556.0,3140.0,3228.0,7536.0,6748.0,6304.0,6676.0,6375.0,6100.0,6452.0,5799.0,16077.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,919.0,20211127T102259_20211127T102319_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
253,132.0,5154.0,3158.0,2199.0,5132.0,5152.0,5156.0,5036.0,5173.0,5506.0,5356.0,5483.0,2864.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,599.0,20210707T100559_20210707T101548_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
254,126.0,5110.0,3157.0,2179.0,5140.0,5092.0,5160.0,5014.0,5168.0,5520.0,5328.0,5487.0,2821.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,587.0,20210707T100559_20210707T101548_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
255,204.0,8017.0,2197.0,2353.0,8168.0,7928.0,8048.0,8217.0,7960.0,7655.0,8384.0,7586.0,11663.0,0.0,100.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,659.0,20210103T101411_20210103T101417_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
256,204.0,9293.0,6982.0,5230.0,9592.0,9520.0,9264.0,9884.0,9596.0,9562.0,9512.0,9376.0,14703.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,3131.0,20210717T100559_20210717T101305_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
257,204.0,9583.0,2222.0,2436.0,9272.0,9184.0,9024.0,9110.0,8999.0,8901.0,9152.0,8691.0,12860.0,73.0,0.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,510.0,20211005T101029_20211005T101024_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
258,204.0,13317.0,4084.0,4682.0,12800.0,11848.0,11248.0,11521.0,11033.0,10677.0,11448.0,10245.0,15766.0,100.0,1.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,580.0,20210111T102309_20210111T102336_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
259,204.0,9356.0,2217.0,2431.0,9128.0,9088.0,8928.0,9019.0,8922.0,8858.0,9024.0,8652.0,12638.0,73.0,0.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,498.0,20211005T101029_20211005T101024_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
260,204.0,6777.0,6028.0,6314.0,6324.0,6232.0,6488.0,6908.0,6614.0,6520.0,6676.0,6523.0,10938.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,945.0,20211207T102319_20211207T102344_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
261,204.0,4085.0,2744.0,1814.0,4256.0,4002.0,3904.0,3890.0,3849.0,3851.0,4196.0,3832.0,4194.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,415.0,20210227T101029_20210227T101023_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
262,204.0,4385.0,2841.0,1916.0,4152.0,3928.0,3850.0,3998.0,3956.0,3972.0,4094.0,3942.0,4419.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,418.0,20210227T101029_20210227T101023_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
263,204.0,10610.0,1828.0,2370.0,10560.0,10520.0,10400.0,11051.0,10540.0,10165.0,10656.0,9761.0,15453.0,0.0,100.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,1422.0,20210630T101559_20210630T101648_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
264,204.0,13196.0,4079.0,4559.0,12640.0,11688.0,11120.0,11267.0,10856.0,10645.0,11408.0,10217.0,15749.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,378.0,20210111T102309_20210111T102336_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
265,204.0,13306.0,5262.0,4051.0,11688.0,10448.0,10208.0,10173.0,9742.0,9571.0,9968.0,9368.0,10181.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,338.0,20210314T101021_20210314T101230_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
266,204.0,6579.0,1710.0,1931.0,6320.0,6248.0,6136.0,6318.0,6440.0,6497.0,6856.0,6504.0,8356.0,0.0,100.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,506.0,20210801T101031_20210801T101419_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
