system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,WVP,id,lake,lat,lon,.geo
0,113.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,304.0,20180208T101151_20180208T101153_T32UQD,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
1,113.0,60.0,9.0,5.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,430.0,20180208T101151_20180208T101153_T32UQE,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
2,113.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,301.0,20180208T101151_20180208T101153_T33UUU,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
3,113.0,70.0,9.0,5.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,444.0,20180208T101151_20180208T101153_T33UUV,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
4,119.0,11.0,50.0,20.0,57.0,60.0,49.0,40.0,29.0,52.0,40.0,43.0,1.0,0.0,0.0,0.0,6.0,615.0,20180213T101119_20180213T101118_T32UQD,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
5,167.0,9199.0,859.0,950.0,9349.0,9050.0,9112.0,9230.0,9075.0,8833.0,8793.0,8596.0,7579.0,0.0,0.0,0.0,10.0,231.0,20180303T102021_20180303T102019_T32UQD,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
6,202.0,10393.0,820.0,919.0,10178.0,9556.0,9449.0,9555.0,9318.0,8993.0,8936.0,8721.0,7817.0,0.0,0.0,0.0,7.0,236.0,20180303T102021_20180303T102019_T33UUU,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
7,83.0,150.0,25.0,33.0,193.0,156.0,78.0,71.0,38.0,43.0,35.0,34.0,1.0,0.0,0.0,0.0,6.0,846.0,20181011T101019_20181011T101020_T32UQE,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
8,83.0,144.0,26.0,34.0,194.0,152.0,75.0,67.0,37.0,42.0,33.0,33.0,1.0,0.0,0.0,0.0,6.0,846.0,20181011T101019_20181011T101020_T33UUV,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
9,190.0,110.0,120.0,87.0,131.0,134.0,86.0,82.0,62.0,71.0,66.0,82.0,25.0,0.0,0.0,0.0,6.0,1609.0,20181016T101021_20181016T101021_T32UQE,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
10,88.0,35.0,17.0,22.0,93.0,98.0,44.0,19.0,12.0,23.0,12.0,,1.0,0.0,0.0,0.0,6.0,947.0,20181014T102019_20181014T102019_T32UQE,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
11,190.0,105.0,121.0,87.0,129.0,132.0,83.0,79.0,62.0,71.0,66.0,79.0,32.0,0.0,0.0,0.0,6.0,1614.0,20181016T101021_20181016T101021_T33UUV,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
12,83.0,44.0,21.0,21.0,102.0,102.0,46.0,21.0,9.0,21.0,15.0,5.0,,0.0,0.0,0.0,6.0,950.0,20181014T102019_20181014T102019_T33UUV,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
13,202.0,8825.0,844.0,932.0,8497.0,8441.0,8639.0,8921.0,8761.0,8521.0,8452.0,8305.0,8038.0,0.0,0.0,0.0,10.0,309.0,20180303T102021_20180303T102019_T32UQE,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
14,125.0,2857.0,707.0,691.0,3160.0,3063.0,3003.0,3099.0,2985.0,2961.0,2879.0,2852.0,2558.0,0.0,0.0,0.0,8.0,204.0,20180223T101019_20180223T101508_T33UUU,Wummsee,53.18663317442364,12.799407780830178,"{""type"":""Point"",""coordinates"":[12.799407780830176,53.18663317442364]}"
