system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,101.0,103.0,60.0,37.0,212.0,316.0,211.0,322.0,109.0,123.0,89.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,33.0,22.0,1118.0,20181014T102019_20181014T102019_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
1,113.0,200.0,205.0,125.0,223.0,266.0,214.0,229.0,212.0,222.0,225.0,221.0,252.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,27.0,21.0,1065.0,20180409T101031_20180409T101343_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
2,83.0,1.0,56.0,36.0,77.0,229.0,169.0,200.0,65.0,87.0,76.0,64.0,46.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,24.0,18.0,1421.0,20180822T101019_20180822T101321_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
3,77.0,96.0,43.0,32.0,185.0,306.0,188.0,305.0,101.0,109.0,92.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,30.0,18.0,973.0,20181011T101019_20181011T101020_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
4,89.0,296.0,71.0,55.0,272.0,219.0,160.0,284.0,127.0,108.0,68.0,81.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,24.0,19.0,931.0,20181205T101401_20181205T101359_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
5,83.0,64.0,101.0,39.0,137.0,265.0,173.0,181.0,86.0,90.0,99.0,94.0,111.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,26.0,17.0,1749.0,20180807T101021_20180807T101024_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
6,95.0,224.0,73.0,50.0,175.0,331.0,218.0,222.0,87.0,95.0,75.0,66.0,21.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,34.0,23.0,2542.0,20180731T102021_20180731T102024_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
7,65.0,226.0,137.0,106.0,182.0,316.0,239.0,283.0,131.0,148.0,131.0,131.0,131.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,32.0,25.0,1207.0,20180529T101031_20180529T101225_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
8,65.0,184.0,118.0,92.0,253.0,337.0,234.0,301.0,168.0,183.0,178.0,148.0,95.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,34.0,23.0,1344.0,20180507T102019_20180507T102022_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
9,95.0,10.0,66.0,49.0,41.0,201.0,144.0,195.0,9.0,1.0,1.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,21.0,15.0,1293.0,20180608T101021_20180608T101024_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
10,65.0,1.0,92.0,58.0,123.0,231.0,175.0,244.0,156.0,180.0,196.0,169.0,202.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,23.0,17.0,1052.0,20180504T101029_20180504T101023_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
11,65.0,106.0,61.0,74.0,143.0,239.0,161.0,201.0,49.0,64.0,47.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,25.0,17.0,1101.0,20180606T102019_20180606T102512_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
12,107.0,77.0,105.0,61.0,152.0,267.0,195.0,211.0,161.0,151.0,134.0,133.0,156.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,27.0,19.0,1629.0,20180419T101031_20180419T101457_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
13,119.0,1618.0,514.0,517.0,1660.0,1631.0,1658.0,1703.0,1649.0,1599.0,1556.0,1564.0,1322.0,,,0.0,0.0,0.0,8.0,169.0,166.0,169.0,199.0,20180223T101019_20180223T101508_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
14,71.0,19.0,113.0,88.0,168.0,280.0,212.0,301.0,173.0,186.0,186.0,154.0,133.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,28.0,21.0,1003.0,20180514T101029_20180514T101052_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
15,113.0,1612.0,553.0,537.0,1838.0,1773.0,1794.0,1875.0,1786.0,1755.0,1823.0,1760.0,1644.0,,,0.0,0.0,0.0,8.0,187.0,180.0,182.0,644.0,20180213T101119_20180213T101118_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
16,119.0,54.0,181.0,139.0,153.0,323.0,266.0,313.0,164.0,166.0,171.0,157.0,177.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,32.0,27.0,1713.0,20180509T101031_20180509T101027_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
17,202.0,257.0,178.0,148.0,238.0,355.0,257.0,287.0,148.0,141.0,111.0,128.0,357.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,37.0,27.0,2119.0,20180817T101021_20180817T101024_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
18,119.0,34.0,79.0,63.0,151.0,223.0,146.0,174.0,128.0,137.0,117.0,115.0,56.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,22.0,14.0,1019.0,20180417T102019_20180417T102021_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
19,226.0,61.0,230.0,167.0,114.0,327.0,248.0,357.0,161.0,168.0,179.0,164.0,27.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,34.0,25.0,1704.0,20181016T101021_20181016T101021_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
20,83.0,76.0,147.0,88.0,187.0,319.0,180.0,251.0,102.0,136.0,439.0,125.0,159.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,33.0,19.0,1544.0,20180909T102021_20180909T102205_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
21,83.0,99.0,60.0,48.0,170.0,322.0,194.0,227.0,151.0,177.0,138.0,128.0,74.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,33.0,20.0,2439.0,20180726T102019_20180726T102150_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
22,160.0,1.0,15.0,7.0,14.0,157.0,110.0,111.0,1.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,17.0,12.0,2228.0,20180723T101019_20180723T101036_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
