system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B7,B8,B8A,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
82,252.0,10301.0,7641.0,7175.0,9704.0,9176.0,8776.0,9579.0,8959.0,8736.0,8630.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2996.0,20190830T102029_20190830T102552_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
83,112.0,1144.0,835.0,666.0,1686.0,1260.0,1060.0,1102.0,1186.0,1662.0,1212.0,7.0,0.0,0.0,0.0,2048.0,10.0,172.0,129.0,108.0,695.0,20190330T101029_20190330T101153_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
84,66.0,174.0,170.0,129.0,218.0,238.0,182.0,200.0,204.0,222.0,198.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,24.0,18.0,668.0,20190512T102029_20190512T102248_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
85,96.0,259.0,181.0,124.0,298.0,317.0,244.0,290.0,231.0,216.0,199.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,33.0,25.0,1161.0,20190906T101029_20190906T101026_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
86,90.0,296.0,174.0,120.0,314.0,320.0,246.0,295.0,234.0,229.0,195.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,33.0,25.0,1165.0,20190906T101029_20190906T101026_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
87,174.0,1690.0,2526.0,1949.0,1990.0,2150.0,2118.0,2162.0,2613.0,2752.0,2750.0,38.0,0.0,0.0,0.0,1024.0,8.0,203.0,219.0,216.0,1985.0,20190713T101031_20190713T101515_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
88,83.0,389.0,188.0,179.0,280.0,239.0,221.0,204.0,171.0,285.0,179.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,25.0,23.0,616.0,20190114T101351_20190114T101352_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
89,104.0,378.0,131.0,85.0,366.0,333.0,226.0,246.0,213.0,179.0,168.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,34.0,23.0,2091.0,20190601T102029_20190601T102031_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
90,66.0,182.0,168.0,125.0,215.0,235.0,179.0,202.0,206.0,217.0,199.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,25.0,20.0,669.0,20190512T102029_20190512T102248_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
91,101.0,206.0,240.0,180.0,316.0,314.0,227.0,284.0,251.0,269.0,226.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,32.0,24.0,1113.0,20190320T101029_20190320T101437_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
92,102.0,378.0,131.0,85.0,374.0,338.0,227.0,248.0,215.0,179.0,160.0,0.0,0.0,0.0,0.0,0.0,6.0,39.0,35.0,23.0,2097.0,20190601T102029_20190601T102031_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
93,84.0,84.0,56.0,42.0,77.0,137.0,95.0,119.0,79.0,54.0,63.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,14.0,10.0,1533.0,20190921T101031_20190921T101152_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
94,112.0,117.0,50.0,19.0,180.0,154.0,117.0,111.0,38.0,49.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,17.0,12.0,501.0,20190122T102329_20190122T102330_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
95,101.0,225.0,234.0,178.0,314.0,312.0,229.0,279.0,247.0,269.0,218.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,32.0,24.0,1117.0,20190320T101029_20190320T101437_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
96,114.0,1061.0,1205.0,1076.0,651.0,803.0,780.0,1044.0,1338.0,977.0,1461.0,6.0,0.0,0.0,0.0,0.0,6.0,67.0,82.0,80.0,978.0,20191130T101401_20191130T101406_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
97,114.0,858.0,170.0,127.0,673.0,535.0,378.0,352.0,316.0,259.0,248.0,0.0,0.0,0.0,0.0,0.0,6.0,70.0,53.0,37.0,806.0,20191213T102421_20191213T102424_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
98,102.0,352.0,77.0,58.0,353.0,340.0,229.0,295.0,194.0,149.0,122.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,35.0,24.0,1675.0,20190718T101039_20190718T101040_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
99,77.0,461.0,193.0,172.0,297.0,256.0,234.0,210.0,164.0,293.0,169.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,27.0,24.0,610.0,20190114T101351_20190114T101352_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
100,102.0,354.0,78.0,60.0,361.0,341.0,230.0,300.0,193.0,149.0,119.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,35.0,24.0,1687.0,20190718T101039_20190718T101040_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
101,84.0,320.0,122.0,100.0,367.0,260.0,184.0,183.0,168.0,165.0,148.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,28.0,21.0,950.0,20191029T102039_20191029T102520_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
102,113.0,1073.0,820.0,653.0,1622.0,1216.0,1030.0,1076.0,1168.0,1636.0,1191.0,7.0,0.0,0.0,0.0,2048.0,10.0,165.0,124.0,105.0,656.0,20190330T101029_20190330T101153_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
103,107.0,1016.0,830.0,659.0,1602.0,1210.0,1028.0,1087.0,1159.0,1624.0,1190.0,7.0,0.0,0.0,0.0,2048.0,10.0,163.0,123.0,105.0,657.0,20190330T101029_20190330T101153_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
104,108.0,233.0,67.0,52.0,253.0,243.0,156.0,191.0,147.0,116.0,89.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,25.0,16.0,1866.0,20190519T101039_20190519T101033_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
105,138.0,1163.0,2054.0,1773.0,1356.0,1262.0,1226.0,1477.0,1852.0,2192.0,1947.0,11.0,0.0,0.0,0.0,0.0,6.0,137.0,129.0,125.0,1606.0,20190904T102021_20190904T102045_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
