system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B7,B8,B8A,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
40,138.0,268.0,125.0,100.0,363.0,250.0,161.0,146.0,110.0,139.0,82.0,0.0,0.0,0.0,0.0,0.0,10.0,37.0,26.0,17.0,1443.0,20191205T101309_20191205T101308_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
41,65.0,171.0,87.0,60.0,157.0,198.0,148.0,202.0,127.0,131.0,124.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,21.0,16.0,872.0,20190417T102031_20190417T102431_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
42,142.0,152.0,43.0,41.0,191.0,225.0,110.0,145.0,39.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,21.0,10.0,1129.0,20190323T102029_20190323T102023_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
43,180.0,266.0,79.0,64.0,304.0,313.0,214.0,235.0,163.0,121.0,99.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,32.0,22.0,2567.0,20190728T101029_20190728T101332_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
44,96.0,168.0,59.0,34.0,121.0,217.0,132.0,164.0,80.0,68.0,53.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,23.0,14.0,2317.0,20190723T101031_20190723T101347_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
45,132.0,790.0,2039.0,1902.0,484.0,676.0,869.0,1343.0,2085.0,894.0,2202.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,69.0,90.0,2462.0,20191014T102031_20191014T102207_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
46,114.0,312.0,45.0,36.0,168.0,176.0,137.0,93.0,41.0,36.0,68.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,18.0,14.0,1611.0,20191220T101431_20191220T101426_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
47,84.0,807.0,2019.0,1872.0,527.0,719.0,891.0,1342.0,2083.0,945.0,2200.0,0.0,0.0,0.0,0.0,0.0,5.0,55.0,74.0,90.0,2201.0,20191014T102031_20191014T102207_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
48,102.0,884.0,2001.0,1923.0,447.0,750.0,913.0,1329.0,2116.0,984.0,2237.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,76.0,93.0,2234.0,20191014T102031_20191014T102207_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
49,112.0,274.0,83.0,60.0,295.0,324.0,196.0,279.0,208.0,187.0,159.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,33.0,20.0,841.0,20190402T102029_20190402T102026_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
50,186.0,262.0,77.0,62.0,301.0,309.0,209.0,230.0,155.0,113.0,92.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,32.0,22.0,2561.0,20190728T101029_20190728T101332_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
51,318.0,295.0,82.0,62.0,274.0,340.0,212.0,293.0,254.0,183.0,162.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,35.0,21.0,2897.0,20190825T102031_20190825T102430_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
52,132.0,252.0,91.0,75.0,119.0,128.0,78.0,44.0,10.0,38.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,14.0,7.0,788.0,20191210T101411_20191210T101409_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
53,90.0,175.0,63.0,35.0,129.0,225.0,136.0,170.0,93.0,77.0,64.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,23.0,14.0,2321.0,20190723T101031_20190723T101347_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
54,77.0,322.0,247.0,183.0,386.0,365.0,267.0,310.0,287.0,308.0,256.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,38.0,28.0,861.0,20190320T101029_20190320T101437_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
55,162.0,300.0,79.0,50.0,204.0,228.0,142.0,192.0,204.0,173.0,190.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,24.0,15.0,1432.0,20190822T101031_20190822T101027_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
56,162.0,313.0,76.0,50.0,215.0,236.0,146.0,202.0,195.0,176.0,184.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,24.0,15.0,1434.0,20190822T101031_20190822T101027_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
57,120.0,310.0,31.0,30.0,161.0,161.0,123.0,61.0,35.0,21.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,13.0,1624.0,20191220T101431_20191220T101426_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
58,240.0,503.0,189.0,171.0,359.0,393.0,287.0,334.0,324.0,248.0,279.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,39.0,28.0,3351.0,20190626T102031_20190626T102028_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
59,126.0,1162.0,1108.0,964.0,636.0,798.0,778.0,970.0,1191.0,1001.0,1322.0,6.0,0.0,0.0,0.0,0.0,6.0,65.0,82.0,80.0,958.0,20191130T101401_20191130T101406_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
60,228.0,476.0,194.0,170.0,368.0,402.0,292.0,348.0,346.0,255.0,292.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,41.0,30.0,3348.0,20190626T102031_20190626T102028_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
61,255.0,180.0,303.0,220.0,158.0,290.0,248.0,340.0,361.0,366.0,369.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,30.0,26.0,1705.0,20190424T101031_20190424T101032_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
62,244.0,207.0,311.0,221.0,182.0,303.0,266.0,358.0,393.0,388.0,397.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,31.0,28.0,1704.0,20190424T101031_20190424T101032_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
63,156.0,87.0,35.0,38.0,64.0,68.0,41.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,5.0,1664.0,20190613T101031_20190613T101027_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
64,90.0,188.0,162.0,123.0,215.0,228.0,170.0,193.0,178.0,187.0,171.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,24.0,18.0,722.0,20190512T102029_20190512T102248_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
65,126.0,1020.0,1203.0,1073.0,614.0,777.0,761.0,1022.0,1327.0,964.0,1455.0,6.0,0.0,0.0,0.0,0.0,6.0,63.0,79.0,78.0,945.0,20191130T101401_20191130T101406_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
66,120.0,127.0,48.0,45.0,103.0,105.0,67.0,71.0,17.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,11.0,7.0,1591.0,20190613T101031_20190613T101027_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
67,96.0,271.0,50.0,37.0,186.0,189.0,108.0,113.0,90.0,76.0,58.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,20.0,11.0,1530.0,20190623T101031_20190623T101029_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
68,186.0,336.0,338.0,237.0,290.0,397.0,329.0,443.0,508.0,498.0,498.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,41.0,34.0,1653.0,20190424T101031_20190424T101032_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
69,96.0,266.0,53.0,39.0,181.0,189.0,108.0,113.0,91.0,77.0,61.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,20.0,11.0,1521.0,20190623T101031_20190623T101029_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
70,144.0,724.0,151.0,112.0,586.0,483.0,323.0,282.0,213.0,213.0,186.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,49.0,32.0,921.0,20191213T102421_20191213T102424_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
71,216.0,526.0,200.0,173.0,406.0,427.0,310.0,364.0,381.0,283.0,324.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,43.0,31.0,3169.0,20190626T102031_20190626T102028_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
72,224.0,206.0,66.0,50.0,278.0,241.0,157.0,226.0,144.0,121.0,86.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,24.0,15.0,1023.0,20190409T101029_20190409T101028_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
73,306.0,176.0,42.0,41.0,265.0,254.0,155.0,174.0,107.0,80.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,26.0,16.0,3175.0,20190827T101029_20190827T101554_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
74,138.0,759.0,153.0,125.0,598.0,484.0,340.0,299.0,272.0,232.0,217.0,0.0,0.0,0.0,0.0,0.0,6.0,63.0,52.0,36.0,928.0,20191213T102421_20191213T102424_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
75,312.0,170.0,39.0,41.0,253.0,245.0,151.0,170.0,99.0,73.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,25.0,16.0,3171.0,20190827T101029_20190827T101554_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
76,97.0,276.0,48.0,37.0,189.0,190.0,106.0,110.0,83.0,69.0,52.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,20.0,11.0,1492.0,20190623T101031_20190623T101029_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
77,102.0,166.0,57.0,40.0,176.0,140.0,78.0,69.0,37.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,16.0,8.0,1785.0,20190618T101029_20190618T101307_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
78,162.0,320.0,79.0,50.0,221.0,236.0,147.0,196.0,209.0,179.0,194.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,24.0,15.0,1375.0,20190822T101031_20190822T101027_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
79,120.0,127.0,48.0,43.0,100.0,105.0,69.0,72.0,12.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,11.0,8.0,1591.0,20190613T101031_20190613T101027_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
80,175.0,1268.0,2243.0,1792.0,2008.0,2180.0,2094.0,1870.0,2320.0,2774.0,2433.0,22.0,0.0,0.0,0.0,1024.0,8.0,205.0,222.0,213.0,1998.0,20190713T101031_20190713T101515_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
81,84.0,86.0,60.0,46.0,77.0,142.0,94.0,128.0,78.0,50.0,63.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,15.0,10.0,1528.0,20190921T101031_20190921T101152_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
