system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B8,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,41.0,30.0,1.0,69.0,69.0,50.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,8.0,8.0,454.0,20190216T102111_20190216T102131_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
1,65.0,1.0,44.0,51.0,1.0,74.0,67.0,51.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,8.0,7.0,452.0,20190216T102111_20190216T102131_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
2,96.0,118.0,112.0,93.0,123.0,402.0,202.0,346.0,156.0,156.0,119.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,43.0,22.0,2035.0,20190726T102031_20190726T102028_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
3,96.0,122.0,104.0,98.0,127.0,406.0,209.0,347.0,160.0,156.0,135.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,41.0,20.0,2024.0,20190726T102031_20190726T102028_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
4,95.0,190.0,103.0,70.0,212.0,325.0,257.0,331.0,177.0,180.0,140.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,34.0,27.0,682.0,20190407T102021_20190407T102458_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
5,101.0,180.0,104.0,77.0,204.0,321.0,251.0,322.0,174.0,171.0,135.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,33.0,26.0,699.0,20190407T102021_20190407T102458_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
6,65.0,313.0,104.0,74.0,330.0,369.0,265.0,373.0,225.0,221.0,158.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,38.0,27.0,700.0,20190419T101029_20190419T101030_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
7,65.0,309.0,104.0,81.0,336.0,366.0,269.0,371.0,225.0,220.0,160.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,38.0,28.0,708.0,20190419T101029_20190419T101030_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
8,83.0,135.0,69.0,46.0,204.0,275.0,211.0,279.0,164.0,142.0,71.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,28.0,22.0,712.0,20190402T102029_20190402T102026_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
9,89.0,121.0,67.0,43.0,200.0,245.0,198.0,274.0,152.0,131.0,59.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,25.0,21.0,724.0,20190402T102029_20190402T102026_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
10,198.0,282.0,120.0,81.0,244.0,294.0,205.0,395.0,263.0,238.0,103.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,30.0,21.0,1317.0,20190911T101021_20190911T101023_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
