system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
168,202.0,13568.0,5230.0,3760.0,13008.0,11808.0,11288.0,11606.0,11104.0,10742.0,11608.0,10287.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,597.0,20190318T102021_20190318T102020_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
169,204.0,5069.0,4843.0,4491.0,4332.0,4460.0,4352.0,4875.0,5100.0,5192.0,5092.0,5266.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2065.0,20190924T102021_20190924T102418_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
170,113.0,5855.0,3251.0,2389.0,5816.0,5080.0,4776.0,4827.0,4772.0,4567.0,5048.0,4352.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,507.0,20190211T102149_20190211T102246_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
171,202.0,13308.0,5129.0,3689.0,12776.0,11600.0,11120.0,11439.0,10971.0,10606.0,11456.0,10203.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,577.0,20190318T102021_20190318T102020_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
172,77.0,4360.0,2504.0,2318.0,4228.0,3784.0,3416.0,3413.0,3430.0,3347.0,3808.0,3277.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,365.0,20190117T102351_20190117T102347_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
173,167.0,911.0,754.0,787.0,555.0,780.0,969.0,1104.0,1156.0,1221.0,1015.0,1308.0,15.0,0.0,0.0,0.0,1024.0,6.0,57.0,80.0,99.0,537.0,20190308T102021_20190308T102017_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
174,168.0,1483.0,1359.0,1395.0,1482.0,1248.0,1284.0,1558.0,1485.0,1460.0,1702.0,1515.0,18.0,0.0,0.0,0.0,2048.0,10.0,151.0,127.0,131.0,1185.0,20191223T102431_20191223T102430_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
175,204.0,15386.0,2222.0,2719.0,13512.0,12152.0,11400.0,12068.0,11141.0,10568.0,10896.0,10110.0,57.0,0.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,1820.0,20190616T102031_20190616T102027_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
176,166.0,990.0,768.0,795.0,610.0,833.0,993.0,1098.0,1162.0,1223.0,1026.0,1300.0,16.0,0.0,0.0,0.0,1024.0,6.0,62.0,85.0,101.0,532.0,20190308T102021_20190308T102017_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
177,125.0,6035.0,3360.0,2460.0,6004.0,5244.0,4952.0,5008.0,4924.0,4675.0,5180.0,4408.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,494.0,20190211T102149_20190211T102246_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
