system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,113.0,1.0,52.0,43.0,147.0,217.0,179.0,181.0,139.0,156.0,142.0,131.0,50.0,0.0,0.0,0.0,6.0,14.0,22.0,18.0,304.0,20180208T101151_20180208T101153_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
1,113.0,1.0,44.0,39.0,159.0,220.0,185.0,180.0,147.0,148.0,146.0,140.0,28.0,0.0,0.0,0.0,6.0,16.0,22.0,18.0,302.0,20180208T101151_20180208T101153_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
2,118.0,4795.0,977.0,1006.0,5042.0,4748.0,4824.0,4910.0,4747.0,4662.0,4878.0,4565.0,4185.0,0.0,0.0,0.0,8.0,255.0,255.0,255.0,544.0,20180213T101119_20180213T101559_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
3,113.0,4856.0,982.0,1014.0,4993.0,4713.0,4792.0,4928.0,4770.0,4676.0,4881.0,4564.0,4409.0,0.0,0.0,0.0,8.0,255.0,255.0,255.0,584.0,20180213T101119_20180213T101559_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
4,118.0,4881.0,976.0,1005.0,5068.0,4755.0,4827.0,4929.0,4760.0,4690.0,4881.0,4598.0,4276.0,0.0,0.0,0.0,8.0,255.0,255.0,255.0,548.0,20180213T101119_20180213T101559_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
5,113.0,4982.0,981.0,1012.0,5013.0,4714.0,4789.0,4944.0,4778.0,4700.0,4879.0,4593.0,4518.0,0.0,0.0,0.0,8.0,255.0,255.0,255.0,589.0,20180213T101119_20180213T101559_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
6,167.0,82.0,39.0,43.0,134.0,219.0,121.0,86.0,60.0,49.0,20.0,54.0,1.0,0.0,0.0,0.0,6.0,13.0,22.0,12.0,231.0,20180303T102021_20180303T102019_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
7,202.0,1.0,26.0,42.0,98.0,148.0,61.0,29.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,9.0,15.0,6.0,236.0,20180303T102021_20180303T102019_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
8,165.0,88.0,21.0,62.0,276.0,205.0,110.0,104.0,55.0,1.0,44.0,16.0,1.0,0.0,0.0,0.0,6.0,28.0,20.0,11.0,571.0,20180114T101349_20180114T101347_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
9,118.0,1.0,20.0,7.0,99.0,110.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,10.0,11.0,,305.0,20180206T102209_20180206T102206_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
10,125.0,1.0,43.0,30.0,217.0,199.0,148.0,125.0,108.0,105.0,93.0,85.0,48.0,0.0,0.0,0.0,6.0,22.0,20.0,15.0,204.0,20180223T101019_20180223T101508_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
11,95.0,3.0,49.0,34.0,142.0,232.0,119.0,106.0,36.0,50.0,42.0,13.0,,0.0,0.0,0.0,6.0,15.0,25.0,14.0,1018.0,20181014T102019_20181014T102019_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
12,89.0,27.0,46.0,37.0,157.0,239.0,127.0,115.0,46.0,53.0,53.0,22.0,,0.0,0.0,0.0,6.0,14.0,25.0,13.0,1015.0,20181014T102019_20181014T102019_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
13,112.0,98.0,28.0,25.0,189.0,260.0,121.0,115.0,3.0,14.0,13.0,2.0,2.0,0.0,0.0,0.0,6.0,20.0,27.0,13.0,773.0,20181011T101019_20181011T101020_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
14,118.0,48.0,36.0,30.0,165.0,234.0,109.0,85.0,3.0,8.0,10.0,2.0,,0.0,0.0,0.0,6.0,17.0,24.0,12.0,1095.0,20181014T102019_20181014T102019_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
15,112.0,71.0,28.0,32.0,194.0,262.0,120.0,130.0,8.0,6.0,11.0,2.0,2.0,0.0,0.0,0.0,6.0,20.0,27.0,13.0,786.0,20181011T101019_20181011T101020_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
16,112.0,70.0,44.0,32.0,171.0,247.0,117.0,98.0,20.0,26.0,19.0,,3.0,0.0,0.0,0.0,6.0,17.0,26.0,13.0,1114.0,20181014T102019_20181014T102019_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
17,101.0,29.0,31.0,33.0,167.0,246.0,117.0,134.0,19.0,18.0,23.0,5.0,1.0,0.0,0.0,0.0,6.0,17.0,25.0,12.0,829.0,20181011T101019_20181011T101020_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
18,95.0,46.0,33.0,27.0,170.0,251.0,125.0,125.0,23.0,34.0,34.0,23.0,1.0,0.0,0.0,0.0,6.0,18.0,26.0,13.0,826.0,20181011T101019_20181011T101020_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
19,118.0,178.0,30.0,16.0,142.0,143.0,111.0,72.0,22.0,13.0,25.0,1.0,,0.0,0.0,0.0,6.0,13.0,16.0,13.0,477.0,20181128T102351_20181128T102346_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
20,112.0,213.0,34.0,13.0,158.0,157.0,124.0,94.0,47.0,32.0,41.0,11.0,4.0,0.0,0.0,0.0,6.0,13.0,17.0,15.0,471.0,20181128T102351_20181128T102346_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
21,119.0,1.0,41.0,31.0,215.0,205.0,158.0,136.0,119.0,129.0,102.0,88.0,54.0,0.0,0.0,0.0,6.0,21.0,20.0,16.0,202.0,20180223T101019_20180223T101508_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
22,113.0,112.0,15.0,44.0,107.0,112.0,23.0,48.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,11.0,12.0,3.0,827.0,20181205T101401_20181205T101359_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
23,113.0,119.0,7.0,36.0,107.0,120.0,22.0,47.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,11.0,13.0,3.0,837.0,20181205T101401_20181205T101359_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
24,118.0,57.0,5.0,5.0,92.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,9.0,6.0,,310.0,20180206T102209_20180206T102206_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
25,119.0,140.0,30.0,17.0,122.0,136.0,112.0,77.0,28.0,22.0,29.0,1.0,5.0,0.0,0.0,0.0,6.0,11.0,15.0,13.0,513.0,20181128T102351_20181128T102346_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
26,89.0,220.0,47.0,19.0,196.0,198.0,163.0,137.0,95.0,81.0,88.0,57.0,12.0,0.0,0.0,0.0,6.0,17.0,21.0,17.0,505.0,20181128T102351_20181128T102346_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
27,148.0,107.0,174.0,109.0,217.0,303.0,204.0,201.0,196.0,212.0,214.0,238.0,192.0,0.0,0.0,0.0,6.0,22.0,30.0,20.0,963.0,20180409T101031_20180409T101343_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
28,141.0,96.0,176.0,112.0,213.0,303.0,210.0,206.0,211.0,218.0,222.0,235.0,190.0,0.0,0.0,0.0,6.0,21.0,30.0,21.0,948.0,20180409T101031_20180409T101343_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
29,154.0,47.0,167.0,107.0,166.0,270.0,186.0,183.0,176.0,191.0,195.0,220.0,204.0,0.0,0.0,0.0,6.0,16.0,27.0,18.0,1132.0,20180409T101031_20180409T101343_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
30,155.0,39.0,167.0,108.0,166.0,268.0,186.0,182.0,183.0,190.0,196.0,210.0,209.0,0.0,0.0,0.0,6.0,16.0,27.0,18.0,1128.0,20180409T101031_20180409T101343_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
31,128.0,1.0,31.0,44.0,83.0,214.0,124.0,81.0,8.0,10.0,6.0,1.0,1.0,0.0,0.0,0.0,6.0,9.0,22.0,13.0,1844.0,20180822T101019_20180822T101321_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
32,95.0,1.0,45.0,48.0,92.0,229.0,145.0,117.0,65.0,72.0,59.0,40.0,14.0,0.0,0.0,0.0,6.0,10.0,24.0,15.0,1514.0,20180822T101019_20180822T101321_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
33,95.0,1.0,45.0,48.0,94.0,233.0,144.0,117.0,67.0,72.0,59.0,41.0,1.0,0.0,0.0,0.0,6.0,10.0,24.0,15.0,1499.0,20180822T101019_20180822T101321_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
34,71.0,110.0,111.0,95.0,229.0,285.0,143.0,124.0,90.0,110.0,94.0,111.0,69.0,0.0,0.0,0.0,6.0,23.0,29.0,14.0,1034.0,20180507T102019_20180507T102022_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
35,207.0,52.0,69.0,59.0,141.0,272.0,151.0,142.0,96.0,82.0,79.0,68.0,89.0,0.0,0.0,0.0,6.0,14.0,27.0,15.0,1393.0,20180419T101031_20180419T101457_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
36,201.0,48.0,71.0,60.0,147.0,279.0,157.0,145.0,107.0,97.0,89.0,78.0,78.0,0.0,0.0,0.0,6.0,14.0,28.0,16.0,1377.0,20180419T101031_20180419T101457_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
37,65.0,91.0,105.0,91.0,221.0,283.0,146.0,122.0,91.0,113.0,101.0,116.0,59.0,0.0,0.0,0.0,6.0,22.0,28.0,14.0,1018.0,20180507T102019_20180507T102022_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
38,65.0,79.0,111.0,95.0,240.0,282.0,137.0,121.0,89.0,111.0,96.0,114.0,88.0,0.0,0.0,0.0,6.0,24.0,28.0,13.0,1253.0,20180507T102019_20180507T102022_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
39,101.0,1.0,72.0,60.0,81.0,229.0,138.0,125.0,47.0,65.0,57.0,48.0,21.0,0.0,0.0,0.0,6.0,9.0,24.0,15.0,1680.0,20180807T101021_20180807T101024_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
40,95.0,1.0,75.0,60.0,82.0,234.0,141.0,126.0,57.0,68.0,65.0,53.0,17.0,0.0,0.0,0.0,6.0,9.0,24.0,15.0,1679.0,20180807T101021_20180807T101024_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
