system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,17.0,19.0,7.0,99.0,79.0,94.0,26.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,12.0,9.0,504.0,20190216T102111_20190216T102131_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
1,65.0,1.0,21.0,16.0,12.0,128.0,95.0,106.0,15.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,15.0,11.0,499.0,20190216T102111_20190216T102131_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
2,59.0,111.0,80.0,76.0,205.0,330.0,201.0,193.0,99.0,117.0,104.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,35.0,21.0,683.0,20190422T102029_20190422T102029_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
3,59.0,114.0,82.0,77.0,202.0,340.0,194.0,199.0,105.0,117.0,105.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,35.0,20.0,686.0,20190422T102029_20190422T102029_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
4,96.0,184.0,88.0,65.0,168.0,397.0,228.0,199.0,126.0,141.0,136.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,41.0,24.0,1835.0,20190726T102031_20190726T102028_T32UQE,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
5,96.0,179.0,86.0,61.0,165.0,383.0,226.0,196.0,125.0,146.0,126.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,39.0,23.0,1832.0,20190726T102031_20190726T102028_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
6,65.0,25.0,19.0,21.0,68.0,137.0,99.0,108.0,36.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,14.0,11.0,454.0,20190216T102111_20190216T102131_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
7,102.0,199.0,86.0,61.0,178.0,390.0,230.0,201.0,130.0,151.0,127.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,40.0,24.0,2024.0,20190726T102031_20190726T102028_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
8,95.0,273.0,88.0,63.0,255.0,325.0,224.0,208.0,163.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,34.0,23.0,682.0,20190407T102021_20190407T102458_T33UUU,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
9,59.0,171.0,71.0,44.0,209.0,298.0,178.0,190.0,138.0,143.0,130.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,31.0,19.0,607.0,20190402T102029_20190402T102026_T33UUV,Baalsee,53.2135494030641,12.64934677564753,"{""type"":""Point"",""coordinates"":[12.64934677564753,53.2135494030641]}"
