system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,118.0,2864.0,864.0,832.0,2975.0,2867.0,2915.0,3036.0,2868.0,2849.0,2892.0,2758.0,2513.0,0.0,0.0,0.0,9.0,255.0,255.0,255.0,548.0,20180213T101119_20180213T101559_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
1,118.0,1.0,1.0,1.0,80.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,1.0,,304.0,20180206T102209_20180206T102206_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
2,112.0,1.0,1.0,1.0,20.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,,,277.0,20180206T102209_20180206T102206_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
3,118.0,81.0,23.0,25.0,172.0,155.0,135.0,125.0,35.0,42.0,32.0,12.0,1.0,0.0,0.0,0.0,6.0,18.0,16.0,14.0,1181.0,20181014T102019_20181014T102019_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
4,112.0,334.0,79.0,63.0,308.0,234.0,177.0,175.0,162.0,160.0,155.0,141.0,55.0,0.0,0.0,0.0,6.0,31.0,23.0,18.0,613.0,20180216T102059_20180216T102601_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
5,119.0,67.0,22.0,24.0,167.0,153.0,135.0,125.0,37.0,46.0,35.0,12.0,,0.0,0.0,0.0,6.0,17.0,15.0,13.0,1095.0,20181014T102019_20181014T102019_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
6,101.0,76.0,42.0,32.0,186.0,159.0,96.0,139.0,56.0,62.0,59.0,59.0,2.0,0.0,0.0,0.0,6.0,19.0,16.0,9.0,934.0,20181011T101019_20181011T101020_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
7,113.0,23.0,34.0,29.0,146.0,130.0,77.0,112.0,27.0,35.0,35.0,39.0,,0.0,0.0,0.0,6.0,15.0,14.0,8.0,786.0,20181011T101019_20181011T101020_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
8,142.0,226.0,177.0,105.0,274.0,311.0,220.0,239.0,232.0,231.0,239.0,239.0,223.0,0.0,0.0,0.0,6.0,27.0,31.0,22.0,965.0,20180409T101031_20180409T101343_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
9,160.0,300.0,32.0,16.0,385.0,705.0,300.0,224.0,80.0,74.0,47.0,45.0,1.0,0.0,0.0,0.0,6.0,40.0,72.0,31.0,2507.0,20180731T102021_20180731T102024_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
