system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,9.0,17.0,10.0,70.0,22.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,8.0,3.0,454.0,20190216T102111_20190216T102131_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
1,65.0,1.0,12.0,19.0,1.0,86.0,14.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,9.0,2.0,452.0,20190216T102111_20190216T102131_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
2,96.0,227.0,112.0,103.0,278.0,615.0,312.0,297.0,155.0,162.0,148.0,124.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,63.0,32.0,2035.0,20190726T102031_20190726T102028_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
3,96.0,226.0,112.0,103.0,268.0,622.0,311.0,298.0,158.0,162.0,146.0,119.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,65.0,33.0,2024.0,20190726T102031_20190726T102028_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
4,101.0,210.0,83.0,69.0,232.0,326.0,217.0,224.0,164.0,163.0,144.0,107.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,34.0,23.0,682.0,20190407T102021_20190407T102458_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
5,107.0,201.0,80.0,71.0,217.0,320.0,209.0,219.0,158.0,154.0,136.0,105.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,33.0,22.0,699.0,20190407T102021_20190407T102458_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
6,65.0,296.0,67.0,70.0,311.0,299.0,196.0,203.0,149.0,166.0,125.0,98.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,31.0,20.0,700.0,20190419T101029_20190419T101030_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
7,65.0,295.0,66.0,69.0,298.0,286.0,195.0,200.0,148.0,165.0,124.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,30.0,20.0,708.0,20190419T101029_20190419T101030_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
8,83.0,166.0,64.0,49.0,238.0,254.0,162.0,194.0,153.0,155.0,127.0,63.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,26.0,17.0,712.0,20190402T102029_20190402T102026_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
9,89.0,155.0,61.0,47.0,230.0,259.0,156.0,189.0,145.0,148.0,118.0,49.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,27.0,16.0,724.0,20190402T102029_20190402T102026_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
10,198.0,288.0,71.0,58.0,205.0,278.0,172.0,205.0,145.0,148.0,115.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,29.0,18.0,1317.0,20190911T101021_20190911T101023_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
11,114.0,366.0,67.0,50.0,244.0,253.0,111.0,120.0,101.0,112.0,130.0,66.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,26.0,12.0,697.0,20191210T101411_20191210T101409_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
12,192.0,298.0,73.0,59.0,222.0,279.0,184.0,214.0,155.0,156.0,124.0,41.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,29.0,19.0,1316.0,20190911T101021_20190911T101023_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
13,95.0,297.0,44.0,49.0,312.0,317.0,212.0,223.0,164.0,181.0,126.0,115.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,33.0,22.0,588.0,20190409T101029_20190409T101028_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
14,312.0,400.0,142.0,80.0,399.0,626.0,403.0,465.0,380.0,445.0,341.0,257.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,64.0,41.0,2879.0,20190825T102031_20190825T102430_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
15,126.0,337.0,58.0,44.0,240.0,208.0,103.0,73.0,63.0,83.0,105.0,34.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,22.0,11.0,690.0,20191210T101411_20191210T101409_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
16,300.0,419.0,144.0,81.0,419.0,632.0,408.0,471.0,400.0,456.0,364.0,254.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,65.0,42.0,2842.0,20190825T102031_20190825T102430_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
17,59.0,86.0,66.0,59.0,182.0,242.0,138.0,135.0,70.0,78.0,69.0,52.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,25.0,15.0,655.0,20190422T102029_20190422T102029_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
