system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
105,95.0,345.0,871.0,625.0,597.0,686.0,626.0,766.0,854.0,988.0,1130.0,1018.0,885.0,0.0,0.0,0.0,2.0,61.0,70.0,64.0,1102.0,20180701T102021_20180701T102404_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
106,149.0,668.0,1368.0,1294.0,812.0,752.0,763.0,885.0,932.0,994.0,1112.0,1045.0,1172.0,0.0,0.0,0.0,10.0,82.0,76.0,77.0,334.0,20180226T102019_20180226T102050_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
107,226.0,96.0,324.0,264.0,255.0,402.0,368.0,578.0,406.0,419.0,403.0,368.0,668.0,0.0,0.0,0.0,2.0,26.0,41.0,38.0,1563.0,20180812T101019_20180812T101124_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
108,107.0,958.0,1537.0,1402.0,1572.0,1194.0,1094.0,1218.0,1185.0,1179.0,1824.0,1120.0,1328.0,0.0,0.0,0.0,10.0,160.0,122.0,112.0,893.0,20181210T101409_20181210T101406_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
109,226.0,107.0,320.0,249.0,256.0,403.0,369.0,591.0,404.0,419.0,406.0,376.0,663.0,0.0,0.0,0.0,2.0,27.0,41.0,38.0,1568.0,20180812T101019_20180812T101124_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
110,142.0,624.0,1472.0,1403.0,841.0,765.0,785.0,974.0,1063.0,1106.0,1165.0,1140.0,1167.0,0.0,0.0,0.0,10.0,85.0,78.0,80.0,332.0,20180226T102019_20180226T102050_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
111,113.0,1172.0,1773.0,1669.0,1670.0,1346.0,1206.0,1431.0,1375.0,1347.0,1974.0,1323.0,1742.0,0.0,0.0,0.0,10.0,170.0,137.0,123.0,857.0,20181210T101409_20181210T101406_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
112,267.0,761.0,751.0,602.0,742.0,868.0,796.0,1142.0,1053.0,1118.0,1056.0,1074.0,2157.0,0.0,0.0,2048.0,10.0,76.0,89.0,81.0,2087.0,20180817T101021_20180817T101024_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
113,220.0,5982.0,6192.0,5567.0,5049.0,5195.0,5516.0,6620.0,6749.0,6802.0,5687.0,6680.0,8138.0,0.0,0.0,0.0,9.0,255.0,255.0,255.0,1882.0,20180512T102031_20180512T102148_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
114,65.0,60.0,288.0,241.0,202.0,317.0,270.0,309.0,285.0,297.0,318.0,299.0,337.0,0.0,0.0,2048.0,2.0,20.0,32.0,27.0,310.0,20180407T102019_20180407T102020_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
