system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,113.0,1.0,64.0,46.0,42.0,157.0,172.0,227.0,120.0,117.0,130.0,136.0,26.0,0.0,0.0,0.0,6.0,4.0,16.0,17.0,304.0,20180208T101151_20180208T101153_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
1,113.0,1.0,60.0,53.0,50.0,160.0,171.0,225.0,131.0,115.0,128.0,123.0,29.0,0.0,0.0,0.0,6.0,5.0,16.0,17.0,302.0,20180208T101151_20180208T101153_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
2,113.0,919.0,397.0,353.0,1043.0,930.0,949.0,1043.0,925.0,880.0,906.0,897.0,769.0,0.0,0.0,0.0,6.0,106.0,94.0,96.0,584.0,20180213T101119_20180213T101559_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
3,118.0,896.0,380.0,338.0,1054.0,944.0,962.0,989.0,878.0,821.0,898.0,849.0,770.0,0.0,0.0,0.0,6.0,107.0,96.0,98.0,548.0,20180213T101119_20180213T101559_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
4,113.0,950.0,385.0,341.0,1050.0,944.0,962.0,1007.0,898.0,839.0,907.0,858.0,837.0,0.0,0.0,0.0,6.0,107.0,96.0,98.0,589.0,20180213T101119_20180213T101559_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
5,167.0,133.0,51.0,57.0,200.0,273.0,220.0,245.0,124.0,108.0,97.0,107.0,36.0,0.0,0.0,0.0,6.0,20.0,27.0,22.0,231.0,20180303T102021_20180303T102019_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
6,202.0,18.0,48.0,54.0,161.0,209.0,166.0,205.0,66.0,50.0,38.0,53.0,1.0,0.0,0.0,0.0,6.0,16.0,21.0,16.0,236.0,20180303T102021_20180303T102019_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
7,118.0,1.0,11.0,21.0,33.0,43.0,1.0,39.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,4.0,,305.0,20180206T102209_20180206T102206_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
8,125.0,32.0,75.0,55.0,235.0,322.0,231.0,242.0,139.0,151.0,148.0,112.0,90.0,0.0,0.0,0.0,6.0,23.0,32.0,23.0,204.0,20180223T101019_20180223T101508_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
9,95.0,95.0,62.0,48.0,244.0,399.0,238.0,443.0,200.0,187.0,147.0,96.0,1.0,0.0,0.0,0.0,6.0,28.0,42.0,26.0,1018.0,20181014T102019_20181014T102019_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
10,89.0,112.0,63.0,52.0,260.0,411.0,240.0,456.0,204.0,194.0,153.0,105.0,5.0,0.0,0.0,0.0,6.0,27.0,42.0,25.0,1015.0,20181014T102019_20181014T102019_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
11,118.0,138.0,51.0,48.0,272.0,416.0,226.0,443.0,166.0,152.0,114.0,65.0,,0.0,0.0,0.0,6.0,29.0,43.0,24.0,1095.0,20181014T102019_20181014T102019_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
12,112.0,153.0,36.0,27.0,288.0,380.0,235.0,388.0,136.0,133.0,101.0,45.0,2.0,0.0,0.0,0.0,6.0,29.0,40.0,26.0,786.0,20181011T101019_20181011T101020_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
13,101.0,109.0,39.0,28.0,258.0,360.0,229.0,384.0,144.0,141.0,111.0,56.0,1.0,0.0,0.0,0.0,6.0,27.0,37.0,24.0,829.0,20181011T101019_20181011T101020_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
14,95.0,131.0,47.0,29.0,266.0,370.0,238.0,401.0,153.0,153.0,122.0,71.0,1.0,0.0,0.0,0.0,6.0,28.0,38.0,25.0,826.0,20181011T101019_20181011T101020_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
15,118.0,187.0,45.0,31.0,131.0,96.0,111.0,108.0,27.0,19.0,48.0,18.0,1.0,0.0,0.0,0.0,6.0,14.0,9.0,12.0,477.0,20181128T102351_20181128T102346_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
16,119.0,34.0,78.0,61.0,225.0,332.0,236.0,251.0,156.0,171.0,157.0,130.0,78.0,0.0,0.0,0.0,6.0,22.0,33.0,24.0,202.0,20180223T101019_20180223T101508_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
17,113.0,163.0,20.0,40.0,55.0,71.0,31.0,86.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,827.0,20181205T101401_20181205T101359_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
18,113.0,172.0,17.0,50.0,65.0,69.0,34.0,69.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,837.0,20181205T101401_20181205T101359_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
19,119.0,149.0,43.0,32.0,111.0,89.0,112.0,112.0,32.0,21.0,52.0,22.0,,0.0,0.0,0.0,6.0,13.0,9.0,11.0,513.0,20181128T102351_20181128T102346_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
20,89.0,232.0,62.0,31.0,184.0,154.0,161.0,172.0,102.0,93.0,113.0,80.0,34.0,0.0,0.0,0.0,6.0,20.0,18.0,17.0,505.0,20181128T102351_20181128T102346_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
21,148.0,150.0,232.0,153.0,208.0,359.0,277.0,402.0,316.0,324.0,332.0,300.0,257.0,0.0,0.0,0.0,2.0,21.0,36.0,28.0,963.0,20180409T101031_20180409T101343_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
22,154.0,90.0,223.0,150.0,155.0,323.0,255.0,382.0,292.0,298.0,309.0,277.0,276.0,0.0,0.0,0.0,2.0,15.0,32.0,26.0,1132.0,20180409T101031_20180409T101343_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
23,155.0,90.0,221.0,153.0,158.0,319.0,257.0,381.0,293.0,302.0,315.0,281.0,295.0,0.0,0.0,0.0,2.0,16.0,32.0,26.0,1128.0,20180409T101031_20180409T101343_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
24,95.0,1.0,63.0,57.0,98.0,245.0,185.0,302.0,133.0,159.0,122.0,81.0,1.0,0.0,0.0,0.0,6.0,10.0,25.0,19.0,1514.0,20180822T101019_20180822T101321_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
25,95.0,1.0,64.0,46.0,109.0,245.0,185.0,301.0,129.0,164.0,123.0,84.0,7.0,0.0,0.0,0.0,6.0,12.0,25.0,19.0,1499.0,20180822T101019_20180822T101321_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
26,71.0,141.0,176.0,162.0,269.0,389.0,268.0,302.0,221.0,229.0,233.0,211.0,143.0,0.0,0.0,0.0,6.0,27.0,39.0,27.0,1034.0,20180507T102019_20180507T102022_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
27,207.0,80.0,126.0,91.0,136.0,322.0,236.0,278.0,194.0,187.0,184.0,150.0,177.0,0.0,0.0,0.0,6.0,13.0,32.0,24.0,1393.0,20180419T101031_20180419T101457_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
28,65.0,109.0,176.0,162.0,280.0,385.0,260.0,300.0,223.0,230.0,235.0,215.0,175.0,0.0,0.0,0.0,6.0,28.0,39.0,26.0,1253.0,20180507T102019_20180507T102022_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
29,101.0,28.0,88.0,66.0,77.0,278.0,187.0,259.0,118.0,128.0,105.0,104.0,61.0,0.0,0.0,0.0,6.0,8.0,29.0,19.0,1680.0,20180807T101021_20180807T101024_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
30,95.0,32.0,89.0,67.0,81.0,283.0,190.0,263.0,123.0,137.0,113.0,99.0,56.0,0.0,0.0,0.0,6.0,9.0,29.0,20.0,1679.0,20180807T101021_20180807T101024_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
31,65.0,93.0,181.0,162.0,236.0,369.0,261.0,300.0,221.0,231.0,236.0,207.0,155.0,0.0,0.0,0.0,6.0,24.0,37.0,26.0,1242.0,20180507T102019_20180507T102022_T32UQD,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
32,207.0,50.0,68.0,61.0,143.0,250.0,149.0,365.0,99.0,91.0,70.0,13.0,3.0,0.0,0.0,0.0,6.0,13.0,26.0,16.0,2481.0,20180919T102021_20180919T102018_T33UUT,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
33,65.0,83.0,96.0,61.0,124.0,239.0,179.0,225.0,195.0,196.0,190.0,178.0,124.0,0.0,0.0,0.0,6.0,12.0,24.0,18.0,1598.0,20180429T101031_20180429T101258_T33UUU,Siethener_See,52.29054964738273,13.204728644505902,"{""type"":""Point"",""coordinates"":[13.204728644505902,52.290549647382726]}"
