system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,60.0,141.0,90.0,86.0,168.0,282.0,236.0,342.0,167.0,161.0,169.0,130.0,81.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,28.0,23.0,726.0,20200421T102021_20200421T102321_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
1,60.0,140.0,93.0,91.0,177.0,290.0,233.0,343.0,175.0,160.0,164.0,130.0,72.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,29.0,23.0,727.0,20200421T102021_20200421T102321_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
2,168.0,148.0,89.0,81.0,150.0,296.0,141.0,218.0,67.0,99.0,71.0,69.0,38.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,31.0,15.0,2272.0,20200811T100559_20200811T101318_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
3,174.0,140.0,88.0,77.0,145.0,287.0,135.0,209.0,70.0,94.0,61.0,54.0,31.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,30.0,14.0,2279.0,20200811T100559_20200811T101318_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
4,60.0,100.0,79.0,69.0,179.0,282.0,197.0,272.0,125.0,129.0,129.0,94.0,44.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,29.0,21.0,445.0,20200406T101559_20200406T101807_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
5,60.0,191.0,82.0,57.0,232.0,334.0,228.0,345.0,148.0,175.0,148.0,123.0,97.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,34.0,24.0,800.0,20200423T100549_20200423T100736_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
6,60.0,101.0,80.0,66.0,183.0,277.0,196.0,275.0,123.0,125.0,126.0,94.0,50.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,29.0,21.0,449.0,20200406T101559_20200406T101807_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
7,60.0,190.0,82.0,65.0,223.0,334.0,230.0,346.0,146.0,173.0,149.0,122.0,90.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,34.0,24.0,799.0,20200423T100549_20200423T100736_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
8,72.0,213.0,115.0,94.0,247.0,342.0,246.0,331.0,182.0,216.0,185.0,184.0,174.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,35.0,25.0,1915.0,20200602T100559_20200602T101204_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
9,72.0,214.0,113.0,90.0,250.0,347.0,248.0,328.0,183.0,211.0,187.0,185.0,166.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,36.0,26.0,1911.0,20200602T100559_20200602T101204_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
10,90.0,164.0,46.0,43.0,245.0,166.0,178.0,207.0,101.0,94.0,86.0,86.0,40.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,17.0,20.0,1125.0,20200117T102249_20200117T102248_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
11,90.0,169.0,41.0,36.0,232.0,164.0,176.0,222.0,101.0,99.0,80.0,74.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,18.0,19.0,1125.0,20200117T102249_20200117T102248_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
12,60.0,160.0,98.0,80.0,149.0,308.0,212.0,331.0,147.0,138.0,150.0,124.0,89.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,32.0,22.0,524.0,20200418T101031_20200418T101517_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
13,84.0,104.0,109.0,61.0,80.0,198.0,136.0,210.0,95.0,108.0,109.0,129.0,50.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,21.0,14.0,743.0,20200208T101151_20200208T101153_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
14,78.0,124.0,113.0,65.0,102.0,231.0,145.0,231.0,122.0,119.0,123.0,122.0,76.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,24.0,15.0,736.0,20200208T101151_20200208T101153_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
15,126.0,190.0,142.0,111.0,152.0,310.0,170.0,263.0,131.0,136.0,128.0,124.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,32.0,18.0,1726.0,20200816T101031_20200816T101030_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
16,66.0,95.0,65.0,45.0,159.0,246.0,172.0,272.0,103.0,118.0,104.0,79.0,64.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,25.0,18.0,880.0,20200506T101559_20200506T102006_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
17,120.0,371.0,6.0,17.0,306.0,251.0,130.0,163.0,43.0,46.0,14.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,26.0,14.0,1584.0,20201219T101329_20201219T101331_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
18,126.0,200.0,137.0,112.0,158.0,301.0,184.0,262.0,131.0,129.0,127.0,122.0,63.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,31.0,19.0,1738.0,20200816T101031_20200816T101030_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
19,66.0,90.0,66.0,47.0,152.0,265.0,178.0,279.0,99.0,123.0,106.0,77.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,27.0,20.0,885.0,20200506T101559_20200506T102006_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
20,114.0,376.0,12.0,29.0,352.0,225.0,131.0,168.0,54.0,56.0,34.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,23.0,14.0,1575.0,20201219T101329_20201219T101331_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
21,60.0,159.0,100.0,80.0,156.0,299.0,205.0,336.0,147.0,140.0,150.0,129.0,90.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,31.0,21.0,539.0,20200418T101031_20200418T101517_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
22,138.0,332.0,99.0,90.0,311.0,250.0,247.0,252.0,150.0,186.0,163.0,145.0,56.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,26.0,26.0,1322.0,20200124T101219_20200124T101215_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
23,132.0,344.0,103.0,83.0,334.0,256.0,251.0,262.0,153.0,217.0,176.0,125.0,71.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,27.0,26.0,1304.0,20200124T101219_20200124T101215_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
24,144.0,371.0,154.0,121.0,317.0,412.0,302.0,407.0,286.0,292.0,265.0,250.0,193.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,42.0,31.0,998.0,20200408T101021_20200408T101022_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
25,78.0,83.0,74.0,66.0,100.0,133.0,77.0,174.0,59.0,95.0,69.0,63.0,35.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,14.0,8.0,1777.0,20200801T100559_20200801T101400_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
26,144.0,369.0,159.0,124.0,316.0,423.0,307.0,398.0,287.0,296.0,291.0,253.0,192.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,43.0,32.0,992.0,20200408T101021_20200408T101022_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
27,78.0,84.0,76.0,64.0,117.0,140.0,77.0,175.0,60.0,97.0,68.0,54.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,15.0,8.0,1769.0,20200801T100559_20200801T101400_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
28,90.0,150.0,77.0,75.0,187.0,224.0,141.0,271.0,154.0,174.0,134.0,123.0,80.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,23.0,15.0,1825.0,20200930T100729_20200930T101030_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
29,90.0,143.0,98.0,81.0,91.0,194.0,110.0,199.0,79.0,96.0,77.0,68.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,20.0,12.0,1745.0,20200806T101031_20200806T101511_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
30,66.0,1.0,91.0,61.0,58.0,178.0,109.0,266.0,128.0,152.0,134.0,115.0,83.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,19.0,12.0,812.0,20200918T102031_20200918T102401_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
31,90.0,145.0,101.0,82.0,85.0,200.0,95.0,202.0,77.0,91.0,76.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,21.0,10.0,1746.0,20200806T101031_20200806T101511_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
32,60.0,273.0,118.0,103.0,337.0,348.0,287.0,340.0,203.0,225.0,201.0,192.0,118.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,36.0,30.0,256.0,20200324T100649_20200324T100644_T32UQD,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
33,126.0,116.0,52.0,39.0,133.0,303.0,181.0,251.0,33.0,59.0,46.0,49.0,62.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,31.0,19.0,1888.0,20200615T101559_20200615T101946_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
34,84.0,162.0,78.0,73.0,194.0,235.0,148.0,275.0,163.0,181.0,143.0,144.0,97.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,24.0,16.0,1827.0,20200930T100729_20200930T101030_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
35,66.0,3.0,85.0,57.0,72.0,180.0,114.0,265.0,119.0,148.0,136.0,116.0,76.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,19.0,12.0,813.0,20200918T102031_20200918T102401_T33UUU,Vielitzsee,52.94682293339109,12.997730438414008,"{""type"":""Point"",""coordinates"":[12.99773043841401,52.94682293339109]}"
