system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,WVP,id,lake,lat,lon,.geo
16,60.0,987.0,1035.0,1025.0,1112.0,1088.0,999.0,985.0,981.0,993.0,1013.0,1007.0,979.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,9.0,583.0,20220307T101759_20220307T102247_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
17,84.0,1206.0,1052.0,1038.0,1231.0,1198.0,1074.0,1052.0,995.0,1018.0,1006.0,1005.0,1043.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,21.0,1264.0,20220622T100559_20220622T101515_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
18,78.0,127.0,37.0,47.0,223.0,131.0,42.0,34.0,26.0,45.0,5.0,18.0,38.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,13.0,451.0,20220106T102319_20220106T102345_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
19,78.0,137.0,35.0,16.0,215.0,129.0,45.0,33.0,5.0,49.0,4.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,15.0,456.0,20220106T102319_20220106T102345_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
20,60.0,987.0,1033.0,1032.0,1110.0,1086.0,1001.0,987.0,985.0,990.0,1013.0,998.0,989.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,9.0,587.0,20220307T101759_20220307T102247_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
21,78.0,1217.0,1053.0,1038.0,1226.0,1195.0,1090.0,1062.0,1006.0,1023.0,1016.0,1006.0,1029.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,20.0,1279.0,20220622T100559_20220622T101515_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
22,60.0,1104.0,1037.0,1035.0,1091.0,1113.0,1031.0,1008.0,1010.0,1009.0,1023.0,1015.0,988.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,12.0,384.0,20220309T100841_20220309T101114_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
23,156.0,1295.0,1212.0,1157.0,1318.0,1381.0,1229.0,1229.0,1203.0,1237.0,1219.0,1224.0,1215.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,39.0,1928.0,20220720T101611_20220720T101819_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
24,66.0,1252.0,1056.0,1037.0,1243.0,1240.0,1117.0,1102.0,1099.0,1121.0,1093.0,1093.0,1076.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,25.0,403.0,20220314T101019_20220314T101022_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
25,60.0,991.0,1028.0,1032.0,1057.0,1085.0,1029.0,996.0,1002.0,1008.0,1021.0,1018.0,993.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,9.0,188.0,20220312T101831_20220312T102427_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
26,60.0,1000.0,1038.0,1032.0,1056.0,1088.0,1029.0,993.0,1003.0,1005.0,1022.0,1018.0,1014.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,9.0,189.0,20220312T101831_20220312T102427_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
27,78.0,1236.0,1054.0,1031.0,1232.0,1230.0,1105.0,1096.0,1085.0,1109.0,1078.0,1075.0,1090.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,24.0,397.0,20220314T101019_20220314T101022_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
28,150.0,1297.0,1200.0,1163.0,1325.0,1381.0,1229.0,1234.0,1200.0,1235.0,1217.0,1233.0,1241.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,39.0,1927.0,20220720T101611_20220720T101819_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
29,168.0,1045.0,1180.0,1116.0,1162.0,1171.0,1089.0,1110.0,1103.0,1158.0,1142.0,1166.0,1029.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,18.0,1923.0,20221030T101039_20221030T101041_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
30,67.0,1286.0,1120.0,1089.0,1296.0,1258.0,1140.0,1144.0,1155.0,1169.0,1182.0,1162.0,1145.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,27.0,435.0,20220324T100649_20220324T100645_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
31,168.0,1044.0,1172.0,1120.0,1108.0,1169.0,1089.0,1097.0,1107.0,1155.0,1144.0,1170.0,1079.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,18.0,1921.0,20221030T101039_20221030T101041_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
32,78.0,1952.0,1924.0,2030.0,1607.0,1571.0,1602.0,1635.0,1775.0,1820.0,1750.0,1958.0,2279.0,0.0,0.0,0.0,0.0,0.0,6.0,62.0,59.0,770.0,20220128T101301_20220128T101258_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
33,66.0,1277.0,1122.0,1085.0,1296.0,1261.0,1142.0,1151.0,1160.0,1180.0,1186.0,1171.0,1155.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,27.0,423.0,20220324T100649_20220324T100645_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
34,126.0,1348.0,1092.0,1080.0,1310.0,1245.0,1138.0,1147.0,1143.0,1117.0,1119.0,1149.0,949.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,25.0,1183.0,20221114T101301_20221114T101258_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
35,60.0,1097.0,1037.0,1025.0,1089.0,1106.0,1027.0,997.0,1009.0,1002.0,1022.0,1000.0,967.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,11.0,382.0,20220309T100841_20220309T101114_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
36,72.0,1926.0,2052.0,2107.0,1616.0,1539.0,1575.0,1785.0,1923.0,1940.0,1744.0,2024.0,2348.0,0.0,0.0,0.0,0.0,0.0,6.0,63.0,55.0,777.0,20220128T101301_20220128T101258_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
37,216.0,1270.0,1050.0,1042.0,1194.0,1152.0,1072.0,1073.0,1042.0,1012.0,993.0,1014.0,915.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,16.0,2764.0,20220816T100611_20220816T100922_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
38,216.0,1251.0,1055.0,1045.0,1193.0,1162.0,1074.0,1070.0,1034.0,1003.0,998.0,1015.0,919.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,17.0,2764.0,20220816T100611_20220816T100922_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
39,60.0,1034.0,1038.0,1032.0,1077.0,1100.0,1036.0,1000.0,1010.0,1011.0,1026.0,1023.0,1015.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,11.0,182.0,20220312T101831_20220312T102427_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
40,78.0,1112.0,1071.0,1055.0,1128.0,1165.0,1085.0,1093.0,1099.0,1113.0,1122.0,1098.0,1101.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,17.0,233.0,20220322T101711_20220322T102531_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
41,78.0,1111.0,1068.0,1048.0,1124.0,1167.0,1089.0,1092.0,1097.0,1104.0,1114.0,1098.0,1095.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,17.0,238.0,20220322T101711_20220322T102531_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
42,66.0,1172.0,1072.0,1050.0,1170.0,1198.0,1112.0,1107.0,1113.0,1120.0,1137.0,1119.0,1093.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,21.0,203.0,20220322T101711_20220322T102531_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
43,60.0,1032.0,1028.0,1032.0,1083.0,1100.0,1036.0,1004.0,1006.0,1011.0,1025.0,1023.0,999.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,10.0,183.0,20220312T101831_20220312T102427_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
44,72.0,1270.0,1055.0,1037.0,1254.0,1244.0,1117.0,1105.0,1100.0,1120.0,1089.0,1088.0,1083.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,25.0,450.0,20220314T101019_20220314T101022_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
45,126.0,1328.0,1090.0,1064.0,1281.0,1229.0,1148.0,1139.0,1132.0,1127.0,1116.0,1158.0,875.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,24.0,1205.0,20221114T101301_20221114T101258_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
46,66.0,1165.0,1076.0,1056.0,1169.0,1194.0,1108.0,1107.0,1114.0,1127.0,1145.0,1118.0,1105.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,21.0,206.0,20220322T101711_20220322T102531_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
47,102.0,1218.0,1112.0,1088.0,1252.0,1239.0,1050.0,1057.0,1058.0,1100.0,1086.0,1105.0,1274.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,25.0,2028.0,20220811T100559_20220811T101510_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
48,84.0,1251.0,1100.0,1084.0,1226.0,1242.0,1130.0,1121.0,1106.0,1109.0,1092.0,1097.0,1098.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,24.0,1140.0,20220610T101611_20220610T101606_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
49,96.0,1313.0,1111.0,1089.0,1296.0,1272.0,1153.0,1142.0,1125.0,1142.0,1136.0,1148.0,1131.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,28.0,1428.0,20220518T100601_20220518T100944_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
50,78.0,1258.0,1055.0,1032.0,1248.0,1239.0,1110.0,1102.0,1090.0,1113.0,1081.0,1078.0,1105.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,25.0,466.0,20220314T101019_20220314T101022_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
51,102.0,1222.0,1111.0,1094.0,1259.0,1245.0,1055.0,1057.0,1063.0,1107.0,1084.0,1108.0,1296.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,25.0,2022.0,20220811T100559_20220811T101510_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
52,78.0,1226.0,1042.0,1034.0,1228.0,1216.0,1069.0,1036.0,991.0,1005.0,997.0,1001.0,1031.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,22.0,1894.0,20220712T100559_20220712T101515_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
53,96.0,1306.0,1109.0,1079.0,1286.0,1265.0,1145.0,1137.0,1111.0,1130.0,1125.0,1132.0,1096.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,27.0,1438.0,20220518T100601_20220518T100944_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
54,78.0,1214.0,1082.0,1052.0,1184.0,1181.0,1099.0,1105.0,1097.0,1090.0,1089.0,1103.0,1098.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,18.0,1171.0,20221127T102351_20221127T102351_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
55,84.0,1238.0,1106.0,1084.0,1238.0,1253.0,1138.0,1117.0,1109.0,1105.0,1096.0,1101.0,1132.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,26.0,1144.0,20220610T101611_20220610T101606_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
56,78.0,1226.0,1096.0,1048.0,1199.0,1180.0,1099.0,1105.0,1083.0,1093.0,1080.0,1095.0,1048.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,20.0,1177.0,20221127T102351_20221127T102351_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
57,90.0,1254.0,1066.0,1051.0,1251.0,1209.0,1102.0,1098.0,1089.0,1104.0,1085.0,1069.0,1103.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,22.0,929.0,20220423T100549_20220423T100842_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
58,90.0,1247.0,1063.0,1048.0,1249.0,1206.0,1099.0,1088.0,1075.0,1096.0,1073.0,1060.0,1087.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,21.0,941.0,20220423T100549_20220423T100842_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
