system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,78.0,61.0,26.0,13.0,79.0,139.0,96.0,93.0,26.0,29.0,34.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,15.0,10.0,546.0,20211010T100941_20211010T101120_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
1,126.0,127.0,45.0,38.0,216.0,205.0,144.0,110.0,68.0,81.0,64.0,51.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,21.0,15.0,1125.0,20211008T101829_20211008T102448_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
2,84.0,56.0,25.0,18.0,73.0,147.0,76.0,86.0,42.0,53.0,31.0,37.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,15.0,8.0,729.0,20210222T101021_20210222T101415_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
3,204.0,214.0,434.0,313.0,326.0,466.0,477.0,509.0,459.0,493.0,491.0,499.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,48.0,48.0,991.0,20210225T102021_20210225T102421_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
4,204.0,223.0,435.0,314.0,320.0,458.0,469.0,504.0,464.0,495.0,495.0,503.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,47.0,48.0,1013.0,20210225T102021_20210225T102421_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
5,66.0,59.0,29.0,19.0,82.0,161.0,91.0,90.0,53.0,64.0,49.0,57.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,17.0,10.0,618.0,20210222T101021_20210222T101415_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
6,90.0,176.0,29.0,22.0,262.0,289.0,141.0,154.0,99.0,108.0,88.0,76.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,30.0,15.0,1951.0,20210908T101559_20210908T102114_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
7,66.0,1.0,,17.0,80.0,92.0,37.0,29.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,6.0,8.0,10.0,4.0,1126.0,20211028T102039_20211028T102038_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
8,72.0,52.0,26.0,13.0,76.0,138.0,98.0,89.0,27.0,30.0,42.0,26.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,15.0,10.0,518.0,20211010T100941_20211010T101120_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
9,156.0,293.0,112.0,113.0,352.0,383.0,225.0,222.0,128.0,154.0,111.0,119.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,39.0,23.0,2256.0,20210617T100559_20210617T101301_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
10,66.0,1.0,1.0,17.0,90.0,97.0,38.0,30.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,10.0,4.0,1187.0,20211028T102039_20211028T102038_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
11,102.0,173.0,25.0,20.0,255.0,280.0,131.0,143.0,80.0,88.0,67.0,54.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,29.0,14.0,2000.0,20210908T101559_20210908T102114_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
12,60.0,159.0,39.0,31.0,228.0,310.0,160.0,137.0,70.0,84.0,68.0,57.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,32.0,17.0,917.0,20210531T101559_20210531T101558_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
13,102.0,216.0,80.0,58.0,265.0,301.0,198.0,200.0,172.0,167.0,156.0,140.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,31.0,21.0,747.0,20210421T101549_20210421T102336_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
14,60.0,146.0,1.0,40.0,163.0,107.0,71.0,60.0,9.0,23.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0,8.0,666.0,20211202T102401_20211202T102433_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
15,84.0,222.0,44.0,33.0,277.0,495.0,205.0,170.0,64.0,84.0,55.0,51.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,51.0,21.0,1865.0,20210814T102031_20210814T102609_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
16,60.0,178.0,39.0,31.0,239.0,317.0,163.0,140.0,71.0,85.0,68.0,58.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,33.0,17.0,954.0,20210531T101559_20210531T101558_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
17,84.0,95.0,23.0,27.0,119.0,133.0,74.0,79.0,43.0,30.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,15.0,9.0,729.0,20211030T101141_20211030T101420_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
18,174.0,232.0,100.0,72.0,227.0,388.0,184.0,214.0,165.0,187.0,138.0,176.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,40.0,19.0,2708.0,20210910T101031_20210910T101503_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
19,84.0,215.0,84.0,60.0,268.0,306.0,205.0,210.0,185.0,181.0,170.0,154.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,32.0,21.0,729.0,20210421T101549_20210421T102336_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
20,144.0,341.0,116.0,115.0,386.0,408.0,244.0,241.0,156.0,189.0,143.0,146.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,42.0,25.0,2087.0,20210617T100559_20210617T101301_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
21,66.0,42.0,72.0,69.0,112.0,128.0,99.0,111.0,75.0,77.0,73.0,69.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,14.0,11.0,639.0,20210322T101649_20210322T101644_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
22,144.0,275.0,152.0,110.0,297.0,368.0,276.0,250.0,225.0,208.0,158.0,167.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,39.0,29.0,1852.0,20210602T101031_20210602T101235_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
23,98.0,362.0,93.0,62.0,393.0,401.0,266.0,298.0,287.0,297.0,277.0,252.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,41.0,28.0,832.0,20210428T100549_20210428T100550_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
24,60.0,136.0,1.0,40.0,157.0,105.0,72.0,64.0,11.0,26.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,11.0,8.0,678.0,20211202T102401_20211202T102433_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
25,78.0,1.0,71.0,70.0,78.0,104.0,84.0,107.0,68.0,68.0,59.0,56.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,10.0,8.0,762.0,20210322T101649_20210322T101644_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
26,204.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,270.0,20210131T102149_20210131T102348_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
27,90.0,194.0,44.0,32.0,260.0,485.0,199.0,163.0,54.0,72.0,47.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,51.0,22.0,1835.0,20210814T102031_20210814T102609_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
28,114.0,1488.0,2201.0,1940.0,1606.0,1548.0,1482.0,1743.0,1945.0,2010.0,2138.0,1954.0,9.0,0.0,0.0,0.0,2048.0,10.0,164.0,158.0,151.0,1235.0,20210411T101559_20210411T102418_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
29,112.0,226.0,122.0,87.0,286.0,296.0,191.0,203.0,177.0,203.0,190.0,183.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,31.0,20.0,2088.0,20210511T101559_20210511T102340_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
30,150.0,266.0,86.0,89.0,326.0,342.0,213.0,210.0,152.0,171.0,135.0,122.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,35.0,22.0,1906.0,20210607T100559_20210607T101225_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
31,126.0,179.0,34.0,29.0,166.0,265.0,134.0,138.0,59.0,57.0,57.0,39.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,27.0,14.0,1462.0,20210903T102021_20210903T102024_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
32,78.0,1.0,1.0,1.0,17.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,1.0,303.0,20210131T102149_20210131T102348_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
33,66.0,207.0,30.0,19.0,238.0,196.0,120.0,114.0,60.0,64.0,52.0,40.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,20.0,13.0,687.0,20210302T101839_20210302T101835_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
34,54.0,55.0,41.0,53.0,198.0,159.0,110.0,76.0,39.0,32.0,84.0,53.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,17.0,12.0,1350.0,20210121T102239_20210121T102236_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
35,114.0,221.0,36.0,30.0,196.0,286.0,146.0,155.0,82.0,80.0,72.0,57.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,30.0,15.0,1425.0,20210903T102021_20210903T102024_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
36,132.0,346.0,82.0,58.0,377.0,383.0,248.0,274.0,252.0,263.0,246.0,221.0,0.0,0.0,0.0,0.0,0.0,6.0,39.0,39.0,26.0,873.0,20210428T100549_20210428T100550_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
37,168.0,204.0,56.0,48.0,216.0,250.0,144.0,136.0,45.0,42.0,51.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,26.0,15.0,2064.0,20210605T102021_20210605T102024_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
38,173.0,197.0,77.0,85.0,275.0,302.0,183.0,181.0,106.0,114.0,81.0,70.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,31.0,19.0,2072.0,20210607T100559_20210607T101225_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
39,120.0,300.0,95.0,84.0,332.0,278.0,176.0,163.0,137.0,148.0,138.0,121.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,29.0,18.0,2417.0,20210727T100559_20210727T100556_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
40,156.0,26.0,35.0,34.0,139.0,144.0,100.0,67.0,10.0,22.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,15.0,11.0,1495.0,20211008T101829_20211008T102448_T33UUT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
41,336.0,356.0,183.0,151.0,371.0,480.0,269.0,280.0,231.0,250.0,198.0,205.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,49.0,28.0,2658.0,20210725T102031_20210725T102548_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
42,204.0,6535.0,2507.0,2573.0,6456.0,6528.0,6676.0,6758.0,6683.0,6746.0,7188.0,6754.0,0.0,20.0,0.0,0.0,1024.0,11.0,255.0,255.0,255.0,292.0,20211212T102431_20211212T102427_T33UVT,Paeter_VorderSee,52.233631730992876,13.653728766846024,"{""type"":""Point"",""coordinates"":[13.653728766846022,52.233631730992876]}"
