system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,113.0,4035.0,759.0,761.0,4292.0,3996.0,4328.0,4361.0,4137.0,4116.0,4505.0,4068.0,3822.0,0.0,0.0,0.0,8.0,255.0,255.0,255.0,304.0,20180208T101151_20180208T101153_T32UQD,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
1,113.0,4378.0,766.0,776.0,4361.0,4011.0,4303.0,4408.0,4160.0,4116.0,4490.0,4064.0,4643.0,0.0,0.0,0.0,8.0,255.0,255.0,255.0,430.0,20180208T101151_20180208T101153_T32UQE,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
2,113.0,3787.0,755.0,778.0,4301.0,4042.0,4245.0,4411.0,4243.0,4171.0,4540.0,4190.0,3932.0,0.0,0.0,0.0,8.0,255.0,255.0,255.0,302.0,20180208T101151_20180208T101153_T33UUU,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
3,120.0,275.0,86.0,81.0,473.0,395.0,402.0,386.0,353.0,344.0,378.0,302.0,218.0,0.0,0.0,0.0,6.0,48.0,40.0,41.0,614.0,20180213T101119_20180213T101118_T32UQD,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
4,167.0,8312.0,796.0,868.0,8489.0,8134.0,8293.0,8572.0,8451.0,8297.0,8228.0,8144.0,7009.0,0.0,0.0,0.0,10.0,255.0,255.0,255.0,231.0,20180303T102021_20180303T102019_T32UQD,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
5,202.0,8672.0,777.0,834.0,8806.0,8388.0,8469.0,8678.0,8496.0,8284.0,8306.0,8182.0,7090.0,0.0,0.0,0.0,7.0,255.0,255.0,255.0,236.0,20180303T102021_20180303T102019_T33UUU,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
6,89.0,117.0,61.0,40.0,154.0,174.0,92.0,80.0,77.0,102.0,69.0,69.0,45.0,0.0,0.0,0.0,6.0,16.0,18.0,10.0,846.0,20181011T101019_20181011T101020_T32UQE,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
7,190.0,77.0,153.0,108.0,70.0,117.0,82.0,87.0,94.0,101.0,101.0,126.0,28.0,0.0,0.0,0.0,6.0,8.0,12.0,9.0,1609.0,20181016T101021_20181016T101021_T32UQE,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
8,89.0,1.0,52.0,20.0,120.0,103.0,51.0,53.0,40.0,60.0,48.0,44.0,15.0,0.0,0.0,0.0,6.0,12.0,11.0,6.0,947.0,20181014T102019_20181014T102019_T32UQE,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
9,202.0,8201.0,784.0,856.0,8222.0,7955.0,8155.0,8490.0,8336.0,8165.0,8104.0,8013.0,7516.0,0.0,0.0,0.0,6.0,255.0,255.0,255.0,309.0,20180303T102021_20180303T102019_T32UQE,Roofensee,53.112598201587446,13.033463095306152,"{""type"":""Point"",""coordinates"":[13.033463095306152,53.112598201587446]}"
